id,invoice_no,vendor_name,product_name,department,quantity,amount,status,delivery_status,quality_status,payment_status,transaction_id
1,INV0981,"Paucek, Hudson and Kulas",Gamma Thingamajig Order,Finance,10,5100,Approved,Delivered,Checked,Paid,TXN-91368024
2,INV0123,Simonis-Bins,Gamma Thingamajig Order,Network,5,6100,Approved,Delivered,Checked,Paid,TXN-91368024
3,INV2190,Dach-Hamill,Delta Doohickey Order,Management,68,9400,Approved,Delivered,Checked,Paid,TXN-13580246
4,INV6789,"Rodriguez, Cartwright and Gislason",Delta Doohickey Order,HR,13,2900,Approved,Delivered,Checked,Paid,TXN-24691357
5,INV4326,"Hudson, Reichel and Powlowski",Epsilon Whatchamacallit Order,Cyber Security,83,4900,Approved,Delivered,Checked,Paid,TXN-46813579
6,INV6789,"Stamm, Hammes and Williamson",Delta Doohickey Order,HR,59,7400,Approved,Delivered,Checked,Paid,TXN-46813579
7,INV8765,"Harber, Donnelly and Anderson",Epsilon Whatchamacallit Order,Software Develpoment,89,8900,Approved,Delivered,Checked,Paid,TXN-46813579
8,INV2190,Kuhic-Koelpin,Alpha Widget Order,Procurement,4,3600,Approved,Delivered,Checked,Paid,TXN-02479135
9,INV0987,West and Sons,Epsilon Whatchamacallit Order,Procurement,70,6500,Approved,Delivered,Checked,Paid,TXN-13580246
10,INV6543,Bogan-Jacobson,Delta Doohickey Order,Software Develpoment,79,2100,Approved,Delivered,Checked,Paid,TXN-46813579
11,INV5432,Bechtelar-Swaniawski,Gamma Thingamajig Order,Procurement,66,5100,Approved,Delivered,Checked,Paid,TXN-46813579
12,INV4567,"Trantow, Ledner and Mante",Epsilon Whatchamacallit Order,Management,14,1200,Approved,Delivered,Checked,Paid,TXN-02479135
13,INV4326,"Sporer, Mayert and Mills",Delta Doohickey Order,Management,82,2800,Approved,Delivered,Checked,Paid,TXN-13580246
14,INV4326,Prosacco-Funk,Epsilon Whatchamacallit Order,Cyber Security,83,2400,Approved,Delivered,Checked,Paid,TXN-02479135
15,INV4326,Stamm LLC,Delta Doohickey Order,Software Develpoment,35,3500,Approved,Delivered,Checked,Paid,TXN-46813579
16,INV8765,Leannon Group,Beta Gizmo Order,Management,21,4400,Approved,Delivered,Checked,Paid,TXN-24681357
17,INV6543,Mertz and Sons,Delta Doohickey Order,Network,98,9200,Approved,Delivered,Checked,Paid,TXN-80257913
18,INV4326,O'Kon-Witting,Beta Gizmo Order,Finance,50,1350,Approved,Delivered,Checked,Paid,TXN-13580246
19,INV2190,"Adams, Howell and Smitham",Beta Gizmo Order,Finance,3,8100,Approved,Delivered,Checked,Paid,TXN-80257913
20,INV2109,Hand Group,Delta Doohickey Order,Management,30,6200,Approved,Delivered,Checked,Paid,TXN-79146802
21,INV8765,"Bailey, Stiedemann and Treutel",Gamma Thingamajig Order,HR,83,3500,Approved,Delivered,Checked,Paid,TXN-57924680
22,INV0981,"Monahan, Schmidt and Lubowitz",Epsilon Whatchamacallit Order,Finance,46,2000,Approved,Delivered,Checked,Paid,TXN-13580246
23,INV0981,"Veum, McGlynn and Anderson",Gamma Thingamajig Order,HR,58,1050,Approved,Delivered,Checked,Paid,TXN-78901234
24,INV0987,Harber Group,Epsilon Whatchamacallit Order,Procurement,60,8700,Approved,Delivered,Checked,Paid,TXN-68035791
25,INV2190,Bruen Group,Delta Doohickey Order,Software Develpoment,18,6600,Approved,Delivered,Checked,Paid,TXN-57924680
