id,invoice_no,vendor_name,product_name,quantity,department,creation_date,expiry_date,total_value,order_status,completed_units,production_status
1,INV0981,"Paucek, Hudson and Kulas",Gamma Thingamajig Order,10,Finance,08-02-2022,15-06-2025,5100,Accepted by Vendor,67,Delivered
2,INV0123,Simonis-Bins,Gamma Thingamajig Order,5,Network,23-01-2022,14-09-2023,6100,Accepted by Vendor,23,Delivered
3,INV2190,Dach-Hamill,Delta Doohickey Order,68,Management,13-03-2022,10-05-2026,9400,Accepted by Vendor,13,Delivered
4,INV6789,"Rodriguez, Cartwright and Gislason",Delta Doohickey Order,13,HR,21-02-2022,25-12-2026,2900,Accepted by Vendor,53,Delivered
5,INV4326,"Hudson, Reichel and Powlowski",Epsilon Whatchamacallit Order,83,Cyber Security,13-03-2022,15-04-2024,4900,Accepted by Vendor,3,Delivered
6,INV6789,"Stamm, Hammes and Williamson",Delta Doohickey Order,59,HR,31-01-2022,29-11-2025,7400,Accepted by Vendor,12,Delivered
7,INV8765,"Harber, Donnelly and Anderson",Epsilon Whatchamacallit Order,89,Software Develpoment,04-03-2022,05-10-2023,8900,Accepted by Vendor,71,Delivered
8,INV2190,Kuhic-Koelpin,Alpha Widget Order,4,Procurement,24-01-2022,28-02-2025,3600,Accepted by Vendor,98,Delivered
9,INV0987,West and Sons,Epsilon Whatchamacallit Order,70,Procurement,09-02-2022,05-09-2025,6500,Accepted by Vendor,81,Delivered
10,INV6543,Bogan-Jacobson,Delta Doohickey Order,79,Software Develpoment,23-03-2022,22-03-2024,2100,Accepted by Vendor,44,Delivered
11,INV5432,Bechtelar-Swaniawski,Gamma Thingamajig Order,66,Procurement,04-01-2022,05-10-2023,5100,Accepted by Vendor,40,Delivered
12,INV4567,"Trantow, Ledner and Mante",Epsilon Whatchamacallit Order,14,Management,26-03-2022,25-12-2026,1200,Accepted by Vendor,11,Delivered
13,INV4326,"Sporer, Mayert and Mills",Delta Doohickey Order,82,Management,22-02-2022,25-10-2025,2800,Accepted by Vendor,46,Delivered
14,INV4326,Prosacco-Funk,Epsilon Whatchamacallit Order,83,Cyber Security,04-01-2022,07-07-2022,2400,Accepted by Vendor,58,Delivered
15,INV4326,Stamm LLC,Delta Doohickey Order,35,Software Develpoment,15-02-2022,20-11-2026,3500,Accepted by Vendor,91,Delivered
16,INV8765,Leannon Group,Beta Gizmo Order,21,Management,26-02-2022,10-02-2022,4400,Accepted by Vendor,97,Delivered
17,INV6543,Mertz and Sons,Delta Doohickey Order,98,Network,05-01-2022,05-09-2025,9200,Accepted by Vendor,82,Delivered
18,INV4326,O'Kon-Witting,Beta Gizmo Order,50,Finance,13-03-2022,20-12-2023,1350,Accepted by Vendor,56,Delivered
19,INV2190,"Adams, Howell and Smitham",Beta Gizmo Order,3,Finance,20-03-2022,20-12-2026,8100,Accepted by Vendor,30,Delivered
20,INV2109,Hand Group,Delta Doohickey Order,30,Management,26-02-2022,30-06-2026,6200,Accepted by Vendor,6,Delivered
