id,vendor_name,contact_person,email,phone,category,reliability_score,risk_tire,status,registered_at,last_order_date,contract_ended_date
1,"Paucek, Hudson and Kulas","Paucek, Hudson and Kulas",jarpin0@google.de,6753410538,Logistics Partners,83,Medium Risk,Accepting Orders,,,
2,Simonis-Bins,Simonis-Bins,jsizzey1@businessinsider.com,7331432364,IT Vendors,100,High Risk,Not Accepting Orders,,,
3,Dach-Hamill,Dach-Hamill,dleuty2@pagesperso-orange.fr,2076469493,Maintenance Vendors,97,Low Risk,Accepting Orders,,,
4,"Rodriguez, Cartwright and Gislason","Rodriguez, Cartwright and Gislason",lballingal3@google.ca,4348224234,Service Providers,83,High Risk,Accepting Orders,,,
5,"Hudson, Reichel and Powlowski","Hudson, Reichel and Powlowski",cpetrishchev4@xrea.com,8897380831,Service Providers,81,Medium Risk,Accepting Orders,,,
6,"Stamm, Hammes and Williamson","Stamm, Hammes and Williamson",hkedslie5@upenn.edu,4631438253,Raw Material Suppliers,100,Low Risk,Not Accepting Orders,,,
7,"Harber, Donnelly and Anderson","Harber, Donnelly and Anderson",hparfrey6@cargocollective.com,5295238635,Equipment Vendors,83,Medium Risk,Accepting Orders,,,
8,Kuhic-Koelpin,Kuhic-Koelpin,jarrault7@imdb.com,5687298276,IT Vendors,83,High Risk,Accepting Orders,,,
9,West and Sons,West and Sons,whelks8@cpanel.net,2383051544,Maintenance Vendors,100,Medium Risk,Not Accepting Orders,,,
10,Bogan-Jacobson,Bogan-Jacobson,rtrigg9@odnoklassniki.ru,1275803074,Maintenance Vendors,83,High Risk,Not Accepting Orders,,,
11,Bechtelar-Swaniawski,Bechtelar-Swaniawski,ddonisia@exblog.jp,3436574766,Service Providers,83,Medium Risk,Accepting Orders,,,
12,"Trantow, Ledner and Mante","Trantow, Ledner and Mante",sdibiasib@upenn.edu,2598304598,Raw Material Suppliers,98,High Risk,Accepting Orders,,,
13,"Sporer, Mayert and Mills","Sporer, Mayert and Mills",oethridgec@github.com,7928315362,IT Vendors,100,Medium Risk,Accepting Orders,,,
14,Prosacco-Funk,Prosacco-Funk,rjeynesd@wikipedia.org,1855401209,Logistics Partners,97,Medium Risk,Accepting Orders,,,
15,Stamm LLC,Stamm LLC,mhuytone@mapy.cz,9868918983,Equipment Vendors,75,High Risk,Accepting Orders,,,
16,Leannon Group,Leannon Group,feccleshallf@youku.com,5131478700,Maintenance Vendors,100,Low Risk,Accepting Orders,,,
17,Mertz and Sons,Mertz and Sons,ajanatag@berkeley.edu,9197714637,Service Providers,75,High Risk,Accepting Orders,,,
18,O'Kon-Witting,O'Kon-Witting,dormistoneh@shinystat.com,3711440847,Equipment Vendors,81,Low Risk,Accepting Orders,,,
19,"Adams, Howell and Smitham","Adams, Howell and Smitham",hohagertyi@amazonaws.com,1193441874,Service Providers,81,Low Risk,Not Accepting Orders,,,
20,Hand Group,Hand Group,dmacevillyj@earthlink.net,6125481958,Maintenance Vendors,98,Low Risk,Accepting Orders,,,
21,"Bailey, Stiedemann and Treutel","Bailey, Stiedemann and Treutel",nrosparsk@state.tx.us,5364771819,Logistics Partners,81,High Risk,Accepting Orders,,,
22,"Monahan, Schmidt and Lubowitz","Monahan, Schmidt and Lubowitz",restcourtl@cisco.com,3817847431,Service Providers,83,Low Risk,Accepting Orders,,,
23,"Veum, McGlynn and Anderson","Veum, McGlynn and Anderson",rkellowaym@ebay.com,8985842445,Equipment Vendors,81,Medium Risk,Accepting Orders,,,
24,Harber Group,Harber Group,sshippardn@census.gov,2583751330,Equipment Vendors,100,High Risk,Accepting Orders,,,
25,Bruen Group,Bruen Group,ovanyushino@infoseek.co.jp,6047587103,Raw Material Suppliers,80,High Risk,Not Accepting Orders,,,
26,"Abbott, Treutel and Heaney","Abbott, Treutel and Heaney",nokellp@ocn.ne.jp,4138538224,Raw Material Suppliers,81,High Risk,Not Accepting Orders,,,
27,Davis Inc,Davis Inc,blegrandq@tinypic.com,3008581740,Raw Material Suppliers,80,Low Risk,Accepting Orders,,,
28,Hackett-Williamson,Hackett-Williamson,dyerrellr@oaic.gov.au,4423254039,Logistics Partners,81,Low Risk,Accepting Orders,,,
29,"Klocko, Gulgowski and Schinner","Klocko, Gulgowski and Schinner",jheitzs@pen.io,4476549267,Logistics Partners,97,High Risk,Accepting Orders,,,
30,Pacocha-Purdy,Pacocha-Purdy,bmacauleyt@usnews.com,2733553885,IT Vendors,75,High Risk,Accepting Orders,,,
31,Brakus and Sons,Brakus and Sons,saimsonu@alibaba.com,7403557313,Service Providers,75,High Risk,Accepting Orders,,,
32,"Kerluke, Auer and Lueilwitz","Kerluke, Auer and Lueilwitz",bgibbev@icio.us,2168415108,Equipment Vendors,97,Medium Risk,Not Accepting Orders,,,
33,Sauer and Sons,Sauer and Sons,eilyasw@eepurl.com,5234208917,Service Providers,98,High Risk,Accepting Orders,,,
34,Turcotte Inc,Turcotte Inc,akingsnodex@virginia.edu,6128511279,Raw Material Suppliers,83,Low Risk,Not Accepting Orders,,,
35,Purdy-Kris,Purdy-Kris,ifrilly@linkedin.com,7881426628,Maintenance Vendors,75,Medium Risk,Not Accepting Orders,,,
