Vendor,total_orders,late_orders,average_shipping_days,average_scheduled_days,total_sales,on_time_rate,late_delivery_rate,reliability_score,reliability_status
Vendor-208,15,6,3.533333333333333,3.3333333333333335,29999.84985,60.0,40.0,60.0,Good
Vendor-715,68,29,3.264705882352941,3.1176470588235294,8839.320373999999,57.35294117647059,42.64705882352941,57.35294117647059,Average
Vendor-61,28,12,3.0714285714285716,3.0357142857142856,8399.7197256,57.14285714285714,42.857142857142854,57.14285714285714,Average
Vendor-652,58,25,3.1551724137931036,2.9827586206896552,7539.420319,56.896551724137936,43.103448275862064,56.896551724137936,Average
Vendor-647,70,33,3.3142857142857145,3.1142857142857143,9449.300385,52.85714285714286,47.14285714285714,52.85714285714286,Average
Vendor-311,54,26,3.759259259259259,3.2777777777777777,5937.2998326,51.85185185185185,48.148148148148145,51.85185185185185,Average
Vendor-666,85,41,3.4705882352941178,3.1294117647058823,9349.149821500001,51.76470588235295,48.23529411764706,51.76470588235295,Average
Vendor-251,66,32,3.4545454545454546,2.9545454545454546,19077.88003532,51.515151515151516,48.484848484848484,51.515151515151516,Average
Vendor-625,63,31,3.3968253968253967,3.0317460317460316,12599.3703465,50.79365079365079,49.2063492063492,50.79365079365079,Average
Vendor-705,70,35,3.557142857142857,3.1142857142857143,8399.299853,50.0,50.0,50.0,Average
Vendor-730,66,33,3.1818181818181817,2.878787878787879,15600.0,50.0,50.0,50.0,Average
Vendor-24,74,37,3.554054054054054,3.0405405405405403,18477.6899717,50.0,50.0,50.0,Average
Vendor-982,60,30,3.25,2.9,8999.40033,50.0,50.0,50.0,Average
Vendor-135,308,155,3.4415584415584415,3.0162337662337664,19426.0,49.67532467532468,50.324675324675326,49.67532467532468,Average
Vendor-1351,442,224,3.6153846153846154,3.160633484162896,663000.0,49.321266968325794,50.678733031674206,49.321266968325794,Average
Vendor-858,59,30,3.694915254237288,3.0,11799.4103245,49.152542372881356,50.847457627118644,49.152542372881356,Average
Vendor-981,57,29,3.456140350877193,3.1052631578947367,17919.0,49.122807017543856,50.877192982456144,49.122807017543856,Average
Vendor-691,53,27,3.358490566037736,2.9056603773584904,11598.549881160001,49.056603773584904,50.943396226415096,49.056603773584904,Average
Vendor-646,70,36,3.7857142857142856,3.2285714285714286,20697.92999222,48.57142857142857,51.42857142857142,48.57142857142857,Average
Vendor-565,314,162,3.4426751592356686,2.949044585987261,67830.0,48.40764331210191,51.59235668789809,48.40764331210191,Average
Vendor-295,62,32,3.5161290322580645,3.032258064516129,18690.64982615,48.38709677419355,51.61290322580645,48.38709677419355,Average
Vendor-44,305,158,3.5114754098360654,2.9737704918032786,56330.61164488,48.19672131147541,51.80327868852459,48.19672131147541,Average
Vendor-127,27,14,3.4074074074074074,3.1481481481481484,8909.7297354,48.148148148148145,51.85185185185185,48.148148148148145,Average
Vendor-818,291,151,3.415807560137457,3.020618556701031,41415.37052844,48.10996563573883,51.890034364261176,48.10996563573883,Average
