id,snapshot_date,revenue,cost,profit,total_orders,total_shipments,service_level,on_time_delivery,order_fulfillment,perfect_order_rate,on_time_shipments,inventory_accuracy,inventory_value,inventory_turnover,created_at
51,2025-12-19,524840.74,886777.52,405478.44,2254,3527,763821.4,590057.15,190307.23,1.92,354371.48,2.92,493419.38,170710.19,2026-01-17 17:18:18
52,2026-11-17,520869.99,79468.77,334657.37,3319,2011,305889.15,120416.1,355763.27,22.0,412388.65,13.16,98896.72,306768.27,2026-05-24 11:51:30
53,2027-01-03,286607.15,555281.18,674941.49,4431,4172,209759.94,658375.93,21170.73,13.67,435637.77,24.72,451222.62,431876.61,2027-02-20 13:55:53
54,2026-01-15,296103.61,577493.28,443773.17,1099,231,644110.28,96083.94,525117.37,12.34,45179.98,22.6,516894.87,586393.67,2026-04-26 10:45:01
55,2025-11-21,488342.68,458745.92,782812.42,3700,3099,159616.67,873744.6,119223.12,21.41,676778.96,6.27,135450.67,349592.07,2026-07-28 12:44:26
56,2026-09-19,686207.6,322632.48,494040.91,3282,4137,202576.41,679416.38,481179.35,24.34,621236.27,5.51,243272.6,516441.81,2027-02-12 10:59:17
57,2026-09-30,654778.92,556134.31,170380.56,4593,491,788907.74,495713.99,735562.89,15.09,702220.98,20.74,331514.82,866511.43,2027-02-26 13:57:32
58,2025-10-28,671223.06,482949.89,190496.05,1427,590,726971.46,604276.37,19138.01,18.5,426398.17,16.56,124786.67,881523.8,2027-01-01 15:15:50
59,2025-10-21,115897.36,426736.66,515471.24,2930,3559,250685.23,208873.54,146294.87,24.37,249739.07,4.45,331158.98,267871.39,2027-02-24 08:55:18
60,2026-05-28,582854.4,190290.51,711077.98,3869,4728,691063.66,785405.54,424394.75,21.18,675714.58,17.99,546726.06,546930.03,2025-11-29 13:57:45
61,2026-07-21,73832.73,319956.16,86214.21,781,4276,249904.03,604531.21,42014.86,14.72,451370.85,20.58,700335.73,216344.69,2025-11-27 11:20:58
62,2027-01-07,693490.22,800079.27,265622.03,4554,3812,751522.67,591219.93,220846.82,1.45,276050.21,20.78,387355.02,388181.41,2026-12-02 14:49:36
