id,workflow_id,step_order,step_name,approver_user_id,status,comments,acted_at,created_at
1,1,1,Request Submission,2,Approved,,2026-09-15 10:21:37.688600,2026-09-15 10:21:37.692460
2,1,2,Finance Officer Approval,4,Approved,,2026-09-15 10:24:35.525507,2026-09-15 10:21:37.692469
3,2,1,Request Submission,3,Approved,,2026-09-15 10:30:29.614373,2026-09-15 10:30:29.615604
4,2,2,Finance Officer Approval,4,Approved,,2026-09-15 10:32:15.319557,2026-09-15 10:30:29.615616
5,3,1,Request Submission,2,Approved,,2026-09-15 10:52:13.476456,2026-09-15 10:52:13.487384
6,3,2,Finance Officer Approval,4,Approved,,2026-09-15 10:58:30.751459,2026-09-15 10:52:13.487429
7,4,1,Request Submission,2,Approved,,2026-09-15 13:52:37.743850,2026-09-15 13:52:37.754924
8,4,2,Finance Officer Approval,4,Rejected,Low Budget,2026-09-15 13:53:22.141352,2026-09-15 13:52:37.754935
9,5,1,Request Submission,2,Approved,,2026-09-15 14:02:01.574805,2026-09-15 14:02:01.577282
10,5,2,Finance Officer Approval,4,Rejected,Budget Exceeded,2026-09-15 14:03:04.466635,2026-09-15 14:02:01.577300
