id,audit_id,progress,status,recorded_by,recorded_at
1,51,527209.43,In Progress,3,2027-03-30 13:01:19
2,52,603631.37,In Progress,1,2026-04-28 08:13:06
3,53,114327.75,In Progress,3,2026-11-20 17:26:54
4,54,257155.62,In Progress,2,2026-10-28 12:09:46
5,55,330594.35,In Progress,4,2026-09-26 16:28:13
6,56,780050.02,In Progress,1,2026-12-03 15:51:22
7,57,646971.66,In Progress,3,2026-11-12 15:38:01
8,58,162401.26,In Progress,1,2025-09-29 08:54:27
9,59,852984.19,In Progress,4,2026-05-05 17:34:14
10,60,659030.51,In Progress,3,2026-09-03 13:31:00
11,61,497032.12,In Progress,4,2026-10-21 18:42:05
12,62,528012.04,In Progress,5,2027-02-21 11:47:38
13,63,783333.95,In Progress,5,2026-02-07 11:19:59
14,64,824611.17,In Progress,3,2027-01-15 13:02:20
15,65,491761.89,In Progress,3,2026-06-04 10:29:49
16,66,569559.8,In Progress,2,2026-02-13 15:40:16
17,67,709388.7,In Progress,3,2027-03-23 13:24:02
18,68,378712.39,In Progress,3,2025-12-14 10:21:58
19,69,137089.73,In Progress,3,2026-12-21 12:17:29
20,70,120723.96,In Progress,1,2025-12-01 17:24:06
21,71,133885.72,In Progress,5,2025-10-29 09:58:49
22,72,66521.04,In Progress,3,2026-10-17 13:21:40
23,73,180740.18,In Progress,1,2025-09-12 08:31:36
24,74,475657.79,In Progress,1,2025-10-19 09:09:59
25,75,23013.3,In Progress,2,2026-09-02 11:09:20
26,76,366544.8,In Progress,2,2026-07-25 16:44:06
27,77,238286.37,In Progress,1,2026-11-07 18:46:20
28,78,625849.07,In Progress,3,2026-02-21 10:35:12
29,79,894138.38,In Progress,3,2026-01-08 18:14:40
30,80,792067.27,In Progress,2,2025-11-17 17:28:06
31,81,346364.26,In Progress,3,2026-03-23 14:25:41
32,82,589022.68,In Progress,3,2025-12-27 17:10:45
33,83,288267.81,In Progress,2,2025-10-15 17:32:24
34,84,140164.1,In Progress,1,2025-09-03 15:34:57
35,85,515516.06,In Progress,2,2025-12-03 16:55:31
36,86,739474.21,In Progress,2,2026-10-02 12:20:21
37,87,773581.04,In Progress,5,2026-10-23 18:37:54
38,88,605272.91,In Progress,3,2026-07-10 15:27:20
39,89,886625.79,In Progress,3,2026-10-05 10:12:07
40,90,137929.49,In Progress,3,2025-09-03 17:15:48
41,91,594506.3,In Progress,1,2026-10-18 16:14:36
42,92,143600.62,In Progress,1,2025-11-15 18:56:55
43,93,99544.77,In Progress,1,2025-11-15 15:33:04
44,94,733622.38,In Progress,2,2026-02-18 11:41:26
45,95,850159.78,In Progress,3,2026-04-18 13:01:09
46,96,591923.04,In Progress,4,2026-12-10 16:36:20
47,97,223918.76,In Progress,2,2026-06-13 12:20:02
48,98,703757.47,In Progress,3,2025-09-18 13:47:32
49,99,417081.71,In Progress,4,2026-05-08 13:20:50
50,100,335558.06,In Progress,4,2026-08-25 18:41:13
51,51,671088.03,In Progress,4,2026-07-21 16:34:00
52,52,644146.47,In Progress,2,2026-04-09 12:39:19
53,53,564794.05,In Progress,3,2026-06-16 08:42:13
54,54,699388.99,In Progress,4,2025-10-22 18:51:35
55,55,237576.57,In Progress,4,2027-02-04 10:52:59
56,56,219240.23,In Progress,5,2026-05-28 10:25:25
57,57,847783.71,In Progress,5,2026-09-06 12:31:45
58,58,656194.56,In Progress,2,2026-05-15 16:39:40
59,59,516979.29,In Progress,4,2026-05-22 15:57:31
60,60,582308.65,In Progress,4,2025-12-10 15:42:45
61,61,775572.63,In Progress,3,2026-02-26 14:01:20
62,62,97413.31,In Progress,3,2026-03-14 14:11:38
63,63,825342.8,In Progress,2,2027-02-19 11:48:12
64,64,368504.53,In Progress,3,2027-03-11 12:57:04
65,65,467330.27,In Progress,1,2026-03-29 12:02:04
66,66,103520.1,In Progress,3,2026-05-22 15:48:38
67,67,551198.44,In Progress,3,2026-05-13 16:59:04
68,68,796652.8,In Progress,2,2026-02-24 13:32:44
69,69,650949.39,In Progress,1,2026-07-31 18:26:00
70,70,418920.18,In Progress,3,2026-08-02 17:44:04
71,71,483473.73,In Progress,4,2026-09-08 10:35:29
72,72,126740.49,In Progress,3,2025-09-13 09:17:00
73,73,809386.74,In Progress,2,2026-10-20 12:03:23
74,74,61680.77,In Progress,3,2026-02-27 13:10:57
75,75,470624.89,In Progress,4,2027-03-23 11:53:26
76,76,823870.24,In Progress,1,2025-11-28 16:33:11
