id,vendor_id,month,year,compliance_score,compliant_count,expiring_count,pending_count,non_compliant_count,overdue_count,created_at
3,VND0000005,Active,2025,92.31,12,0,0,1,0,2026-03-01 14:24:45
4,VND0000004,Pending,2025,52.38,11,3,3,2,2,2026-12-23 15:57:59
5,VND0000002,Completed,2025,71.43,10,2,0,1,1,2026-02-15 13:02:31
6,VND0000001,Open,2025,33.33,3,3,2,0,1,2026-12-26 13:26:44
7,VND0000001,Closed,2025,22.22,2,3,2,2,0,2026-02-27 18:18:21
8,VND0000003,In Progress,2025,69.23,9,2,1,0,1,2026-09-07 11:15:04
9,VND0000005,Active-D1,2025,50.0,4,0,2,0,2,2027-02-06 18:02:47
10,VND0000003,Pending-D1,2025,70.59,12,0,3,1,1,2026-04-04 09:53:41
11,VND0000003,Completed-D1,2025,50.0,4,0,1,2,1,2025-09-23 11:56:28
12,VND0000002,Open-D1,2025,33.33,3,0,3,2,1,2026-10-05 17:56:58
13,VND0000005,Closed-D1,2025,43.75,7,3,3,2,1,2026-06-21 15:50:53
14,VND0000003,In Progress-D1,2025,30.0,3,3,2,2,0,2026-06-25 09:46:22
15,VND0000003,Active-D2,2026,46.67,7,1,3,2,2,2025-10-03 09:35:23
16,VND0000005,Pending-D2,2026,66.67,10,3,0,1,1,2026-03-05 16:54:10
17,VND0000006,Completed-D2,2026,85.71,12,0,0,2,0,2026-09-07 13:35:58
18,VND0000002,Open-D2,2026,61.11,11,3,1,1,2,2026-07-16 18:41:56
19,VND0000001,Closed-D2,2026,77.78,7,0,1,0,1,2026-04-23 09:07:30
20,VND0000002,In Progress-D2,2026,37.5,3,2,1,1,1,2027-01-17 13:03:13
21,VND0000004,Active-D3,2026,30.0,3,0,3,2,2,2026-01-15 13:15:43
22,VND0000001,Pending-D3,2026,64.71,11,3,2,1,0,2025-11-27 09:49:40
23,VND0000006,Completed-D3,2026,71.43,5,2,0,0,0,2027-02-13 10:07:42
24,VND0000001,Open-D3,2026,50.0,10,3,3,2,2,2025-09-26 15:59:45
25,VND0000001,Closed-D3,2026,50.0,4,2,0,2,0,2026-02-07 18:58:29
26,VND0000006,In Progress-D3,2026,91.67,11,0,1,0,0,2025-11-27 14:14:51
27,VND0000002,Active-D4,2027,50.0,6,3,0,1,2,2025-09-07 18:34:12
28,VND0000003,Pending-D4,2027,42.86,6,3,3,2,0,2025-12-02 12:01:04
29,VND0000002,Completed-D4,2027,44.44,4,3,1,1,0,2026-11-01 10:05:58
30,VND0000001,Open-D4,2027,72.73,8,2,1,0,0,2026-10-15 17:31:09
31,VND0000004,Closed-D4,2027,85.71,12,0,2,0,0,2026-06-26 13:36:06
32,VND0000001,In Progress-D4,2027,70.0,7,0,2,1,0,2026-05-13 15:38:12
33,VND0000006,Active-D5,2027,56.25,9,2,3,1,1,2026-01-03 12:37:43
34,VND0000005,Pending-D5,2027,40.0,2,0,1,1,1,2026-01-16 15:12:21
35,VND0000005,Completed-D5,2027,57.89,11,1,3,2,2,2026-02-03 13:08:48
36,VND0000002,Open-D5,2027,42.86,3,0,3,0,1,2026-01-16 10:11:06
37,VND0000005,Closed-D5,2027,88.89,8,0,1,0,0,2026-08-06 16:59:56
