id,month,year,compliance_score,compliant_count,partially_compliant_count,non_compliant_count,not_assessed_count,created_at
1,COMPLIAN-000001,2025,6.18,4883,2648,1809,2086,2026-08-14 15:04:12
2,COMPLIAN-000002,2025,6.9,1411,3112,2604,1684,2027-01-27 11:00:22
3,COMPLIAN-000003,2026,22.31,4805,4780,2115,1599,2026-08-05 16:32:09
4,COMPLIAN-000004,2026,6.7,3111,652,4053,4916,2026-06-17 10:47:49
5,COMPLIAN-000005,2025,15.83,1885,4894,4676,3641,2026-09-17 11:53:44
6,COMPLIAN-000006,2026,23.43,1513,3488,2935,3861,2027-03-19 12:33:24
7,COMPLIAN-000007,2026,3.34,4910,4489,394,2870,2026-08-13 11:50:46
8,COMPLIAN-000008,2025,9.89,1872,1056,1145,3805,2026-07-23 12:35:42
9,COMPLIAN-000009,2025,17.67,2743,2607,1528,1253,2026-11-30 18:20:54
10,COMPLIAN-000010,2025,12.39,3885,4761,2387,769,2025-09-28 12:30:44
11,COMPLIAN-000011,2025,7.84,404,653,4239,1929,2025-10-09 14:54:42
12,COMPLIAN-000012,2025,24.45,4358,4290,2742,3901,2025-12-13 17:45:49
13,COMPLIAN-000013,2025,24.71,2683,2341,1514,1029,2027-01-22 14:04:20
14,COMPLIAN-000014,2025,16.08,2135,4310,327,2353,2027-01-26 14:47:20
15,COMPLIAN-000015,2026,8.16,1221,1410,4687,1548,2026-03-03 17:22:19
16,COMPLIAN-000016,2025,6.77,554,807,674,1365,2026-01-03 13:47:15
17,COMPLIAN-000017,2025,4.31,2980,2304,2377,961,2027-03-01 17:41:46
18,COMPLIAN-000018,2025,21.98,910,1400,3801,4734,2026-12-01 18:35:49
19,COMPLIAN-000019,2026,15.07,4440,3887,2892,2553,2026-09-02 08:43:05
20,COMPLIAN-000020,2026,6.17,3894,504,2654,1616,2025-09-23 16:15:33
21,COMPLIAN-000021,2026,13.87,933,807,1102,3170,2026-10-18 11:17:42
22,COMPLIAN-000022,2025,21.38,1413,3186,1146,3363,2027-03-19 15:59:25
23,COMPLIAN-000023,2025,16.09,4178,2663,441,1696,2026-09-17 09:36:08
24,COMPLIAN-000024,2025,4.38,3153,2204,4587,1418,2026-06-12 08:55:09
25,COMPLIAN-000025,2026,16.6,2998,2329,2818,3926,2026-07-13 14:20:51
26,COMPLIAN-000026,2026,6.65,4735,548,2782,272,2027-03-23 09:20:23
27,COMPLIAN-000027,2025,15.27,981,202,2378,605,2025-11-08 18:58:01
28,COMPLIAN-000028,2026,3.15,4013,4859,3465,2255,2026-09-10 11:44:32
29,COMPLIAN-000029,2025,5.18,175,4521,4412,4948,2026-05-20 10:15:43
30,COMPLIAN-000030,2026,11.08,4364,2348,1292,1265,2026-03-15 09:03:19
31,COMPLIAN-000031,2026,7.9,2630,2034,235,3186,2026-09-20 11:49:04
32,COMPLIAN-000032,2026,12.96,4061,1876,2553,1530,2026-03-07 13:00:39
33,COMPLIAN-000033,2026,23.24,4077,3530,1891,298,2025-11-30 16:13:02
34,COMPLIAN-000034,2026,3.37,3757,4995,4112,736,2026-10-26 09:30:51
35,COMPLIAN-000035,2026,21.34,1047,4531,2812,1501,2026-08-04 12:16:39
36,COMPLIAN-000036,2025,24.39,4254,1213,1724,3887,2026-08-25 14:42:08
37,COMPLIAN-000037,2026,19.19,1328,2142,3079,3109,2025-12-09 18:45:30
38,COMPLIAN-000038,2025,19.03,4110,1623,3777,145,2026-08-15 14:59:15
39,COMPLIAN-000039,2025,10.4,1511,2190,3402,2891,2027-01-30 11:40:39
40,COMPLIAN-000040,2026,24.78,1802,4862,1271,3969,2026-09-15 17:54:42
41,COMPLIAN-000041,2026,13.27,3533,4077,3255,2417,2026-02-08 15:40:39
42,COMPLIAN-000042,2025,5.32,4501,1065,3088,2122,2026-11-28 10:50:27
43,COMPLIAN-000043,2025,1.22,103,1812,2213,260,2025-09-23 14:07:47
44,COMPLIAN-000044,2026,1.76,3438,1650,556,4671,2026-07-16 11:16:10
45,COMPLIAN-000045,2025,24.22,3088,2444,2217,3030,2026-08-11 14:38:55
46,COMPLIAN-000046,2026,18.5,1790,3511,2365,484,2025-12-16 13:16:42
47,COMPLIAN-000047,2025,6.41,2727,2041,3542,3088,2026-01-12 09:36:43
