id,contract_number,vendor_id,status,expiry_date,renewal_date,contract_value,compliance_status,risk_level,renewal_status
1,CON-DEV-00001,VND0000001,Compliant,2027-06-01,2027-06-03,1420386.7,CONTRACT-000001,CONTRACT-000001,CONTRACT-000001
2,CON-DEV-00002,VND0000005,Pending,2027-06-25,2027-06-27,5307840.35,CONTRACT-000002,CONTRACT-000002,CONTRACT-000002
3,CON-DEV-00003,VND0000005,Expiring,2027-04-02,2027-04-04,8186152.43,CONTRACT-000003,CONTRACT-000003,CONTRACT-000003
4,CON-DEV-00004,VND0000002,Non-Compliant,2028-04-17,2028-04-19,7639389.73,CONTRACT-000004,CONTRACT-000004,CONTRACT-000004
5,CON-DEV-00005,VND0000001,Overdue,2028-02-22,2028-02-24,1616617.31,CONTRACT-000005,CONTRACT-000005,CONTRACT-000005
6,CON-DEV-00006,VND0000002,Compliant,2026-10-07,2026-10-09,755297.22,CONTRACT-000006,CONTRACT-000006,CONTRACT-000006
7,CON-DEV-00007,VND0000005,Pending,2027-09-14,2027-09-16,6755049.13,CONTRACT-000007,CONTRACT-000007,CONTRACT-000007
8,CON-DEV-00008,VND0000001,Expiring,2028-06-09,2028-06-11,3721140.54,CONTRACT-000008,CONTRACT-000008,CONTRACT-000008
9,CON-DEV-00009,VND0000003,Non-Compliant,2026-04-07,2026-04-09,8021072.54,CONTRACT-000009,CONTRACT-000009,CONTRACT-000009
10,CON-DEV-00010,VND0000001,Overdue,2026-06-30,2026-07-02,7112892.24,CONTRACT-000010,CONTRACT-000010,CONTRACT-000010
11,CON-DEV-00011,VND0000004,Compliant,2026-06-21,2026-06-23,4823071.02,CONTRACT-000011,CONTRACT-000011,CONTRACT-000011
12,CON-DEV-00012,VND0000005,Pending,2027-05-03,2027-05-05,4882598.32,CONTRACT-000012,CONTRACT-000012,CONTRACT-000012
13,CON-DEV-00013,VND0000004,Expiring,2026-08-15,2026-08-17,6746473.43,CONTRACT-000013,CONTRACT-000013,CONTRACT-000013
14,CON-DEV-00014,VND0000001,Non-Compliant,2026-03-31,2026-04-02,5615447.39,CONTRACT-000014,CONTRACT-000014,CONTRACT-000014
15,CON-DEV-00015,VND0000002,Overdue,2028-01-26,2028-01-28,6118894.68,CONTRACT-000015,CONTRACT-000015,CONTRACT-000015
16,CON-DEV-00016,VND0000005,Compliant,2025-12-27,2025-12-29,7228853.77,CONTRACT-000016,CONTRACT-000016,CONTRACT-000016
17,CON-DEV-00017,VND0000002,Pending,2027-10-08,2027-10-10,8103461.19,CONTRACT-000017,CONTRACT-000017,CONTRACT-000017
18,CON-DEV-00018,VND0000006,Expiring,2026-10-19,2026-10-21,5147433.17,CONTRACT-000018,CONTRACT-000018,CONTRACT-000018
19,CON-DEV-00019,VND0000005,Non-Compliant,2027-07-30,2027-08-01,5922994.8,CONTRACT-000019,CONTRACT-000019,CONTRACT-000019
20,CON-DEV-00020,VND0000002,Overdue,2027-05-22,2027-05-24,2365982.41,CONTRACT-000020,CONTRACT-000020,CONTRACT-000020
21,CON-DEV-00021,VND0000001,Compliant,2027-12-11,2027-12-13,2788409.96,CONTRACT-000021,CONTRACT-000021,CONTRACT-000021
22,CON-DEV-00022,VND0000004,Pending,2027-09-15,2027-09-17,6997295.62,CONTRACT-000022,CONTRACT-000022,CONTRACT-000022
23,CON-DEV-00023,VND0000006,Expiring,2028-06-15,2028-06-17,6622592.53,CONTRACT-000023,CONTRACT-000023,CONTRACT-000023
24,CON-DEV-00024,VND0000005,Non-Compliant,2026-12-12,2026-12-14,7148805.61,CONTRACT-000024,CONTRACT-000024,CONTRACT-000024
25,CON-DEV-00025,VND0000003,Overdue,2027-07-15,2027-07-17,2949630.05,CONTRACT-000025,CONTRACT-000025,CONTRACT-000025
26,CON-DEV-00026,VND0000004,Compliant,2027-03-15,2027-03-17,1352403.87,CONTRACT-000026,CONTRACT-000026,CONTRACT-000026
27,CON-DEV-00027,VND0000004,Pending,2027-04-28,2027-04-30,1427097.15,CONTRACT-000027,CONTRACT-000027,CONTRACT-000027
28,CON-DEV-00028,VND0000005,Expiring,2027-05-21,2027-05-23,807132.03,CONTRACT-000028,CONTRACT-000028,CONTRACT-000028
29,CON-DEV-00029,VND0000006,Non-Compliant,2026-06-09,2026-06-11,233334.08,CONTRACT-000029,CONTRACT-000029,CONTRACT-000029
30,CON-DEV-00030,VND0000002,Overdue,2026-07-02,2026-07-04,807897.31,CONTRACT-000030,CONTRACT-000030,CONTRACT-000030
31,CON-DEV-00031,VND0000005,Compliant,2025-11-24,2025-11-26,6631709.46,CONTRACT-000031,CONTRACT-000031,CONTRACT-000031
32,CON-DEV-00032,VND0000003,Pending,2027-03-19,2027-03-21,2319644.54,CONTRACT-000032,CONTRACT-000032,CONTRACT-000032
33,CON-DEV-00033,VND0000006,Expiring,2027-10-01,2027-10-03,6366906.67,CONTRACT-000033,CONTRACT-000033,CONTRACT-000033
34,CON-DEV-00034,VND0000005,Non-Compliant,2027-02-11,2027-02-13,1184250.75,CONTRACT-000034,CONTRACT-000034,CONTRACT-000034
35,CON-DEV-00035,VND0000005,Overdue,2026-03-21,2026-03-23,1443987.89,CONTRACT-000035,CONTRACT-000035,CONTRACT-000035
36,CON-DEV-00036,VND0000006,Compliant,2027-02-02,2027-02-04,5812007.17,CONTRACT-000036,CONTRACT-000036,CONTRACT-000036
37,CON-DEV-00037,VND0000005,Pending,2027-03-11,2027-03-13,7080826.04,CONTRACT-000037,CONTRACT-000037,CONTRACT-000037
38,CON-DEV-00038,VND0000006,Expiring,2027-04-28,2027-04-30,4563936.44,CONTRACT-000038,CONTRACT-000038,CONTRACT-000038
39,CON-DEV-00039,VND0000004,Non-Compliant,2026-07-29,2026-07-31,2291674.25,CONTRACT-000039,CONTRACT-000039,CONTRACT-000039
40,CON-DEV-00040,VND0000003,Overdue,2028-06-10,2028-06-12,5510687.12,CONTRACT-000040,CONTRACT-000040,CONTRACT-000040
41,CON-DEV-00041,VND0000005,Compliant,2027-04-07,2027-04-09,4096420.39,CONTRACT-000041,CONTRACT-000041,CONTRACT-000041
42,CON-DEV-00042,VND0000005,Pending,2028-04-09,2028-04-11,5607366.19,CONTRACT-000042,CONTRACT-000042,CONTRACT-000042
43,CON-DEV-00043,VND0000004,Expiring,2026-01-27,2026-01-29,6376887.7,CONTRACT-000043,CONTRACT-000043,CONTRACT-000043
44,CON-DEV-00044,VND0000001,Non-Compliant,2027-12-30,2028-01-01,2835598.04,CONTRACT-000044,CONTRACT-000044,CONTRACT-000044
45,CON-DEV-00045,VND0000004,Overdue,2026-01-18,2026-01-20,3892172.52,CONTRACT-000045,CONTRACT-000045,CONTRACT-000045
46,CON-DEV-00046,VND0000006,Compliant,2026-10-16,2026-10-18,7259576.25,CONTRACT-000046,CONTRACT-000046,CONTRACT-000046
47,CON-DEV-00047,VND0000005,Pending,2027-09-27,2027-09-29,5293671.2,CONTRACT-000047,CONTRACT-000047,CONTRACT-000047
48,CON-DEV-00048,VND0000005,Expiring,2027-03-10,2027-03-12,7994971.64,CONTRACT-000048,CONTRACT-000048,CONTRACT-000048
49,CON-DEV-00049,VND0000006,Non-Compliant,2027-11-22,2027-11-24,7575361.28,CONTRACT-000049,CONTRACT-000049,CONTRACT-000049
50,CON-DEV-00050,VND0000005,Overdue,2027-09-06,2027-09-08,4214914.5,CONTRACT-000050,CONTRACT-000050,CONTRACT-000050
51,CON-DEV-00051,VND0000004,Compliant,2027-01-12,2027-01-14,6947735.21,CONTRACT-000051,CONTRACT-000051,CONTRACT-000051
52,CON-DEV-00052,VND0000005,Pending,2027-12-16,2027-12-18,4204681.7,CONTRACT-000052,CONTRACT-000052,CONTRACT-000052
53,CON-DEV-00053,VND0000003,Expiring,2026-04-27,2026-04-29,5304073.86,CONTRACT-000053,CONTRACT-000053,CONTRACT-000053
54,CON-DEV-00054,VND0000003,Non-Compliant,2027-07-01,2027-07-03,6010492.79,CONTRACT-000054,CONTRACT-000054,CONTRACT-000054
55,CON-DEV-00055,VND0000001,Overdue,2027-10-06,2027-10-08,3209155.59,CONTRACT-000055,CONTRACT-000055,CONTRACT-000055
56,CON-DEV-00056,VND0000003,Compliant,2027-01-15,2027-01-17,7109031.18,CONTRACT-000056,CONTRACT-000056,CONTRACT-000056
57,CON-DEV-00057,VND0000006,Pending,2026-03-17,2026-03-19,7572838.18,CONTRACT-000057,CONTRACT-000057,CONTRACT-000057
58,CON-DEV-00058,VND0000002,Expiring,2027-06-11,2027-06-13,5904689.8,CONTRACT-000058,CONTRACT-000058,CONTRACT-000058
59,CON-DEV-00059,VND0000001,Non-Compliant,2026-10-10,2026-10-12,2378967.29,CONTRACT-000059,CONTRACT-000059,CONTRACT-000059
60,CON-DEV-00060,VND0000004,Overdue,2026-07-21,2026-07-23,5309456.67,CONTRACT-000060,CONTRACT-000060,CONTRACT-000060
61,CON-DEV-00061,VND0000006,Compliant,2026-07-15,2026-07-17,967034.72,CONTRACT-000061,CONTRACT-000061,CONTRACT-000061
62,CON-DEV-00062,VND0000004,Pending,2026-09-17,2026-09-19,2804678.74,CONTRACT-000062,CONTRACT-000062,CONTRACT-000062
