id,order_id,item_code,item_name,quantity,unit_price,total_price
1,1,DC-PROD-1360,Smart watch,1,327.75,314.64
2,2,DC-PROD-1360,Smart watch,1,327.75,311.36
3,3,DC-PROD-1360,Smart watch,1,327.75,309.72
4,4,DC-PROD-1360,Smart watch,1,327.75,304.81
5,5,DC-PROD-1360,Smart watch,1,327.75,298.25
6,6,DC-PROD-1360,Smart watch,1,327.75,294.98
7,7,DC-PROD-1360,Smart watch,1,327.75,288.42
8,8,DC-PROD-1360,Smart watch,1,327.75,285.14
9,9,DC-PROD-1360,Smart watch,1,327.75,278.59
10,10,DC-PROD-1360,Smart watch,1,327.75,275.31
11,11,DC-PROD-1360,Smart watch,1,327.75,272.03
12,12,DC-PROD-1360,Smart watch,1,327.75,268.76
13,13,DC-PROD-1360,Smart watch,1,327.75,262.2
14,14,DC-PROD-1360,Smart watch,1,327.75,245.81
15,15,DC-PROD-1360,Smart watch,1,327.75,327.75
16,16,DC-PROD-1360,Smart watch,1,327.75,324.47
17,17,DC-PROD-1360,Smart watch,1,327.75,321.2
18,18,DC-PROD-1360,Smart watch,1,327.75,317.92
19,19,DC-PROD-1360,Smart watch,1,327.75,314.64
20,20,DC-PROD-1360,Smart watch,1,327.75,311.36
21,21,DC-PROD-1360,Smart watch,1,327.75,309.72
22,22,DC-PROD-1360,Smart watch,1,327.75,304.81
23,23,DC-PROD-1360,Smart watch,1,327.75,298.25
24,24,DC-PROD-1360,Smart watch,1,327.75,294.98
25,25,DC-PROD-1360,Smart watch,1,327.75,288.42
26,26,DC-PROD-1360,Smart watch,1,327.75,285.14
27,27,DC-PROD-1360,Smart watch,1,327.75,278.59
28,28,DC-PROD-1360,Smart watch,1,327.75,275.31
29,29,DC-PROD-1360,Smart watch,1,327.75,272.03
30,30,DC-PROD-1360,Smart watch,1,327.75,268.76
31,31,DC-PROD-1360,Smart watch,1,327.75,262.2
32,32,DC-PROD-1360,Smart watch,1,327.75,245.81
33,33,DC-PROD-1360,Smart watch,1,327.75,327.75
34,34,DC-PROD-1360,Smart watch,1,327.75,324.47
35,35,DC-PROD-1360,Smart watch,1,327.75,321.2
36,36,DC-PROD-1360,Smart watch,1,327.75,317.92
37,37,DC-PROD-1360,Smart watch,1,327.75,314.64
38,38,DC-PROD-1360,Smart watch,1,327.75,311.36
39,39,DC-PROD-1360,Smart watch,1,327.75,309.72
40,40,DC-PROD-1360,Smart watch,1,327.75,304.81
41,41,DC-PROD-1360,Smart watch,1,327.75,298.25
42,42,DC-PROD-1360,Smart watch,1,327.75,294.98
43,43,DC-PROD-1360,Smart watch,1,327.75,288.42
44,44,DC-PROD-1360,Smart watch,1,327.75,285.14
45,45,DC-PROD-1360,Smart watch,1,327.75,278.59
46,46,DC-PROD-1360,Smart watch,1,327.75,275.31
47,47,DC-PROD-1360,Smart watch,1,327.75,272.03
48,48,DC-PROD-1360,Smart watch,1,327.75,268.76
49,49,DC-PROD-365,Perfect Fitness Perfect Rip Deck,2,59.99,115.18
50,50,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,2,39.99,79.18
51,51,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,2,50.0,96.0
52,52,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,2,39.99,75.98
53,53,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,2,50.0,91.0
54,54,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,2,50.0,87.0
55,55,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,2,50.0,82.0
56,56,DC-PROD-278,Under Armour Men's Compression EV SL Slide,2,44.99,74.68
57,57,DC-PROD-249,Under Armour Women's Micro G Skulpt Running S,2,54.97,90.15
58,58,DC-PROD-365,Perfect Fitness Perfect Rip Deck,2,59.99,117.58
59,59,DC-PROD-365,Perfect Fitness Perfect Rip Deck,2,59.99,95.98
60,60,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,3,99.99,263.97
61,61,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,3,39.99,113.97
62,62,DC-PROD-917,Glove It Women's Mod Oval 3-Zip Carry All Gol,3,21.99,63.99
63,63,DC-PROD-828,Bridgestone e6 Straight Distance NFL San Dieg,3,31.99,79.66
64,64,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,3,99.99,293.97
65,65,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,3,99.99,269.97
66,66,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,3,99.99,224.98
67,67,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3,59.99,176.37
68,68,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3,59.99,167.37
69,69,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3,59.99,163.77
70,70,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3,59.99,161.97
71,65,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3,50.0,139.5
72,71,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,3,39.99,107.97
73,72,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3,50.0,112.5
74,73,DC-PROD-917,Glove It Women's Mod Oval 3-Zip Carry All Gol,3,21.99,55.41
75,74,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,3,99.99,299.97
76,75,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3,59.99,178.17
77,76,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3,59.99,170.97
78,77,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3,59.99,170.07
79,78,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3,59.99,167.37
80,78,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3,59.99,163.77
81,79,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3,59.99,152.97
82,80,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3,59.99,152.97
83,81,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3,50.0,150.0
84,82,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,3,39.99,115.17
85,83,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3,50.0,144.0
86,77,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3,50.0,142.5
87,84,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3,50.0,139.5
88,85,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3,50.0,132.0
89,86,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3,50.0,132.0
90,86,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3,50.0,130.5
91,87,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3,50.0,124.5
92,88,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,3,39.99,99.58
93,89,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,240.0
94,90,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,39.99,189.95
95,91,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,39.99,188.95
96,92,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,236.25
97,93,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,236.25
98,94,DC-PROD-642,Columbia Men's PFG Anchor Tough T-Shirt,5,30.0,136.5
99,95,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,39.99,181.95
100,96,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,225.0
101,97,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,225.0
102,98,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,39.99,173.96
103,99,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,217.5
104,100,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,217.5
105,101,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,39.99,169.96
106,102,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,212.5
107,103,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,39.99,167.96
108,104,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,207.5
109,105,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,207.5
110,106,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,200.0
111,107,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,200.0
112,108,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5,39.99,149.96
113,109,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,187.5
114,90,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,187.5
115,110,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5,50.0,187.5
116,111,DC-PROD-818,Titleist Pro V1x Golf Balls,5,47.99,237.55
117,97,DC-PROD-825,Bridgestone e6 Straight Distance NFL Tennesse,5,31.99,153.55
118,112,DC-PROD-306,Polar FT4 Heart Rate Monitor,5,89.99,395.96
119,113,DC-PROD-977,ENO Atlas Hammock Straps,5,29.99,124.46
120,114,DC-PROD-44,adidas Men's F10 Messi TRX FG Soccer Cleat,5,59.99,284.95
121,115,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5,99.99,499.95
122,116,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5,99.99,494.95
123,117,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5,99.99,484.95
124,118,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5,99.99,479.95
125,119,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5,99.99,479.95
126,120,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5,99.99,474.95
