id,order_number,customer_id,order_date,status,amount,expected_delivery,actual_delivery,priority,created_at,updated_at
1,DC-ORD-77202,1,2018-01-31,COMPLETE,314.64,2018-02-04,2018-02-03,Normal,2018-01-31 22:56:00,2018-01-31 22:56:00
2,DC-ORD-75939,2,2018-01-13,PENDING,311.36,2018-01-17,2018-01-18,High,2018-01-13 12:27:00,2018-01-13 12:27:00
3,DC-ORD-75938,3,2018-01-13,CLOSED,309.72,2018-01-17,2018-01-17,Normal,2018-01-13 12:06:00,2018-01-13 12:06:00
4,DC-ORD-75937,4,2018-01-13,COMPLETE,304.81,2018-01-17,2018-01-16,Normal,2018-01-13 11:45:00,2018-01-13 11:45:00
5,DC-ORD-75936,5,2018-01-13,PENDING_PAYMENT,298.25,2018-01-17,2018-01-15,Normal,2018-01-13 11:24:00,2018-01-13 11:24:00
6,DC-ORD-75935,6,2018-01-13,CANCELED,294.98,2018-01-17,2018-01-19,Normal,2018-01-13 11:03:00,2018-01-13 11:03:00
7,DC-ORD-75934,7,2018-01-13,COMPLETE,288.42,2018-01-14,2018-01-15,High,2018-01-13 10:42:00,2018-01-13 10:42:00
8,DC-ORD-75933,8,2018-01-13,PROCESSING,285.14,2018-01-14,2018-01-15,High,2018-01-13 10:21:00,2018-01-13 10:21:00
9,DC-ORD-75932,9,2018-01-13,CLOSED,278.59,2018-01-15,2018-01-16,High,2018-01-13 10:00:00,2018-01-13 10:00:00
10,DC-ORD-75931,10,2018-01-13,CLOSED,275.31,2018-01-14,2018-01-15,High,2018-01-13 09:39:00,2018-01-13 09:39:00
11,DC-ORD-75930,11,2018-01-13,SUSPECTED_FRAUD,272.03,2018-01-15,2018-01-19,Normal,2018-01-13 09:18:00,2018-01-13 09:18:00
12,DC-ORD-75929,12,2018-01-13,PENDING,268.76,2018-01-15,2018-01-18,High,2018-01-13 08:57:00,2018-01-13 08:57:00
13,DC-ORD-75928,13,2018-01-13,PENDING,262.2,2018-01-15,2018-01-17,High,2018-01-13 08:36:00,2018-01-13 08:36:00
14,DC-ORD-75927,14,2018-01-13,COMPLETE,245.81,2018-01-14,2018-01-15,High,2018-01-13 08:15:00,2018-01-13 08:15:00
15,DC-ORD-75926,15,2018-01-13,PROCESSING,327.75,2018-01-14,2018-01-15,High,2018-01-13 07:54:00,2018-01-13 07:54:00
16,DC-ORD-75925,16,2018-01-13,COMPLETE,324.47,2018-01-14,2018-01-15,High,2018-01-13 07:33:00,2018-01-13 07:33:00
17,DC-ORD-75924,17,2018-01-13,PENDING_PAYMENT,321.2,2018-01-15,2018-01-18,High,2018-01-13 07:12:00,2018-01-13 07:12:00
18,DC-ORD-75923,18,2018-01-13,CLOSED,317.92,2018-01-14,2018-01-15,High,2018-01-13 06:51:00,2018-01-13 06:51:00
