id,plan_name,time_horizon,start_date,end_date,total_demand,planned_orders,inventory_required,service_level_target,created_by,last_updated,status,created_at
1,Demand Plan - New,12 Weeks,2026-09-15,2026-12-08,0,0,0,95.0,Supply Chain Manager,2026-09-15 04:27:07.758016,Active,2026-09-15 04:27:07.758034
2,Demand Plan - Sep 2025,6 Months,2025-09-01,2026-02-01,64681,12,26419,95.0,DEMANDP-000001,2026-07-02 14:40:15.000000,Active,2026-08-22 10:39:11.000000
3,Demand Plan - Oct 2025,6 Months,2025-10-01,2026-03-01,72131,20,24763,95.0,DEMANDP-000002,2025-11-02 13:22:44.000000,Active,2026-10-21 10:04:35.000000
4,Demand Plan - Nov 2025,6 Months,2025-11-01,2026-04-01,29625,13,7409,95.0,DEMANDP-000003,2025-09-21 18:07:18.000000,Active,2026-09-20 16:06:54.000000
5,Demand Plan - Dec 2025,6 Months,2025-12-01,2026-05-01,59366,26,23099,95.0,DEMANDP-000004,2025-09-20 13:53:08.000000,Active,2025-11-20 13:57:36.000000
6,Demand Plan - Jan 2026,6 Months,2026-01-01,2026-06-01,73263,70,28846,95.0,DEMANDP-000005,2025-09-25 12:16:45.000000,Active,2026-07-25 12:47:55.000000
7,Demand Plan - Feb 2026,6 Months,2026-02-01,2026-07-01,22695,31,7349,95.0,DEMANDP-000006,2027-02-01 12:13:40.000000,Active,2025-09-16 16:16:12.000000
8,Demand Plan - Mar 2026,6 Months,2026-03-01,2026-08-01,24967,75,8002,95.0,DEMANDP-000007,2025-09-08 11:16:57.000000,Active,2026-09-16 14:38:03.000000
9,Demand Plan - Apr 2026,6 Months,2026-04-01,2026-09-01,89417,55,25549,95.0,DEMANDP-000008,2027-02-05 18:48:52.000000,Active,2026-09-26 12:47:21.000000
10,Demand Plan - May 2026,6 Months,2026-05-01,2026-10-01,36540,43,10657,95.0,DEMANDP-000009,2026-09-27 18:23:56.000000,Active,2026-07-13 18:43:41.000000
11,Demand Plan - Jun 2026,6 Months,2026-06-01,2026-11-01,93888,49,25734,95.0,DEMANDP-000010,2027-01-29 17:48:42.000000,Active,2025-11-24 16:03:42.000000
12,Demand Plan - Jul 2026,6 Months,2026-07-01,2026-12-01,51151,23,17023,95.0,DEMANDP-000011,2026-05-24 09:21:53.000000,Active,2026-03-14 08:31:19.000000
13,Demand Plan - Aug 2026,6 Months,2026-08-01,2027-01-01,59996,23,24059,95.0,DEMANDP-000012,2026-10-30 15:48:00.000000,Active,2026-05-06 08:14:08.000000
14,Demand Plan - Sep 2026,6 Months,2026-09-01,2027-02-01,18305,59,4583,95.0,DEMANDP-000013,2025-10-06 11:18:15.000000,Active,2026-07-08 11:21:10.000000
15,Demand Plan - Oct 2026,6 Months,2026-10-01,2027-03-01,79276,71,26119,95.0,DEMANDP-000014,2026-04-30 16:31:46.000000,Active,2026-03-28 10:06:19.000000
16,Demand Plan - Nov 2026,6 Months,2026-11-01,2027-04-01,67928,65,30384,95.0,DEMANDP-000015,2026-05-17 12:51:30.000000,Active,2026-11-20 16:32:17.000000
17,Demand Plan - Dec 2026,6 Months,2026-12-01,2027-05-01,63950,37,24674,95.0,DEMANDP-000016,2026-07-18 16:28:30.000000,Active,2026-05-03 13:32:16.000000
18,Demand Plan - Jan 2027,6 Months,2027-01-01,2027-06-01,31499,60,9046,95.0,DEMANDP-000017,2027-03-11 16:43:36.000000,Active,2026-07-10 09:00:32.000000
19,Demand Plan - Feb 2027,6 Months,2027-02-01,2027-07-01,66045,49,29659,95.0,DEMANDP-000018,2026-11-02 14:16:50.000000,Active,2025-09-08 10:22:55.000000
20,Demand Plan - Sep 2025,6 Months,2025-09-01,2026-02-01,55003,49,15124,95.0,DEMANDP-000019,2026-01-06 12:14:52.000000,Active,2026-04-24 12:52:51.000000
21,Demand Plan - Oct 2025,6 Months,2025-10-01,2026-03-01,30237,49,9523,95.0,DEMANDP-000020,2025-10-26 10:31:31.000000,Active,2026-02-16 14:52:33.000000
22,Demand Plan - Nov 2025,6 Months,2025-11-01,2026-04-01,60632,35,18927,95.0,DEMANDP-000021,2025-11-07 15:24:32.000000,Active,2026-08-07 15:16:49.000000
23,Demand Plan - Dec 2025,6 Months,2025-12-01,2026-05-01,26214,39,8549,95.0,DEMANDP-000022,2026-06-07 16:04:18.000000,Active,2026-05-12 15:58:57.000000
24,Demand Plan - Jan 2026,6 Months,2026-01-01,2026-06-01,80049,72,33299,95.0,DEMANDP-000023,2027-03-08 10:46:57.000000,Active,2026-10-12 08:06:13.000000
25,Demand Plan - Feb 2026,6 Months,2026-02-01,2026-07-01,61609,12,26648,95.0,DEMANDP-000024,2026-04-17 10:58:39.000000,Active,2026-03-05 13:17:33.000000
26,Demand Plan - Mar 2026,6 Months,2026-03-01,2026-08-01,36835,29,13732,95.0,DEMANDP-000025,2026-02-15 08:57:42.000000,Active,2026-07-29 14:01:36.000000
27,Demand Plan - Apr 2026,6 Months,2026-04-01,2026-09-01,62461,21,23495,95.0,DEMANDP-000026,2026-10-25 13:25:42.000000,Active,2026-12-31 09:24:01.000000
28,Demand Plan - May 2026,6 Months,2026-05-01,2026-10-01,37114,56,11510,95.0,DEMANDP-000027,2026-09-21 15:40:20.000000,Active,2025-11-22 08:42:14.000000
29,Demand Plan - Jun 2026,6 Months,2026-06-01,2026-11-01,48502,34,18552,95.0,DEMANDP-000028,2026-05-18 11:56:00.000000,Active,2026-08-27 08:24:28.000000
30,Demand Plan - Jul 2026,6 Months,2026-07-01,2026-12-01,91637,35,28123,95.0,DEMANDP-000029,2026-11-27 12:09:04.000000,Active,2027-03-07 08:18:18.000000
31,Demand Plan - Aug 2026,6 Months,2026-08-01,2027-01-01,89603,17,34239,95.0,DEMANDP-000030,2026-09-22 16:16:03.000000,Active,2026-07-21 12:37:58.000000
32,Demand Plan - Sep 2026,6 Months,2026-09-01,2027-02-01,42991,70,13859,95.0,DEMANDP-000031,2025-10-08 14:59:20.000000,Active,2026-10-28 08:51:12.000000
33,Demand Plan - Oct 2026,6 Months,2026-10-01,2027-03-01,23730,23,7008,95.0,DEMANDP-000032,2027-01-19 11:06:28.000000,Active,2026-11-04 17:09:20.000000
34,Demand Plan - Nov 2026,6 Months,2026-11-01,2027-04-01,54079,35,18154,95.0,DEMANDP-000033,2026-09-19 14:27:11.000000,Active,2026-08-15 12:48:07.000000
35,Demand Plan - Dec 2026,6 Months,2026-12-01,2027-05-01,65164,74,22094,95.0,DEMANDP-000034,2026-08-23 15:40:53.000000,Active,2025-09-13 13:49:46.000000
36,Demand Plan - Jan 2027,6 Months,2027-01-01,2027-06-01,87142,13,24105,95.0,DEMANDP-000035,2027-02-01 14:59:45.000000,Active,2026-07-02 11:03:19.000000
37,Demand Plan - Feb 2027,6 Months,2027-02-01,2027-07-01,60506,70,15270,95.0,DEMANDP-000036,2027-03-12 13:18:23.000000,Active,2027-02-11 17:42:19.000000
38,Demand Plan - Sep 2025,6 Months,2025-09-01,2026-02-01,87675,12,21940,95.0,DEMANDP-000037,2026-12-18 18:24:11.000000,Active,2026-02-26 09:54:20.000000
39,Demand Plan - Oct 2025,6 Months,2025-10-01,2026-03-01,52904,55,13765,95.0,DEMANDP-000038,2025-10-16 13:51:59.000000,Active,2025-12-08 10:13:09.000000
40,Demand Plan - Nov 2025,6 Months,2025-11-01,2026-04-01,61646,31,22984,95.0,DEMANDP-000039,2026-10-25 09:52:54.000000,Active,2026-01-14 15:20:10.000000
41,Demand Plan - Dec 2025,6 Months,2025-12-01,2026-05-01,65640,71,24180,95.0,DEMANDP-000040,2026-12-26 18:51:31.000000,Active,2026-04-11 09:34:34.000000
42,Demand Plan - Jan 2026,6 Months,2026-01-01,2026-06-01,51407,57,22430,95.0,DEMANDP-000041,2026-10-29 09:58:30.000000,Active,2026-06-22 15:06:35.000000
43,Demand Plan - Feb 2026,6 Months,2026-02-01,2026-07-01,82642,58,31267,95.0,DEMANDP-000042,2026-10-08 16:01:27.000000,Active,2025-10-28 13:43:48.000000
44,Demand Plan - Mar 2026,6 Months,2026-03-01,2026-08-01,30664,75,13666,95.0,DEMANDP-000043,2026-01-23 15:57:48.000000,Active,2026-11-03 16:32:10.000000
45,Demand Plan - Apr 2026,6 Months,2026-04-01,2026-09-01,71842,67,26118,95.0,DEMANDP-000044,2026-01-27 08:34:19.000000,Active,2026-11-10 08:48:20.000000
46,Demand Plan - May 2026,6 Months,2026-05-01,2026-10-01,20665,40,5780,95.0,DEMANDP-000045,2026-09-28 17:56:17.000000,Active,2026-07-26 13:00:59.000000
47,Demand Plan - Jun 2026,6 Months,2026-06-01,2026-11-01,92590,36,30752,95.0,DEMANDP-000046,2025-09-26 09:16:20.000000,Active,2027-03-14 10:23:36.000000
48,Demand Plan - Jul 2026,6 Months,2026-07-01,2026-12-01,64975,49,27258,95.0,DEMANDP-000047,2026-10-03 10:26:24.000000,Active,2026-09-24 09:29:33.000000
49,Demand Plan - Aug 2026,6 Months,2026-08-01,2027-01-01,61714,52,20989,95.0,DEMANDP-000048,2025-12-22 10:48:38.000000,Active,2026-02-27 15:12:03.000000
50,Demand Plan - Sep 2026,6 Months,2026-09-01,2027-02-01,75021,59,24809,95.0,DEMANDP-000049,2026-12-06 08:40:40.000000,Active,2026-04-25 14:39:33.000000
51,Demand Plan - Oct 2026,6 Months,2026-10-01,2027-03-01,66300,57,28494,95.0,DEMANDP-000050,2026-05-01 12:19:40.000000,Active,2026-05-13 18:35:53.000000
