id,department,budget,actual,year,allocated,status,created_at,updated_at
1,IT,10000000.0,0.0,2026,1000000.0,Active,2026-09-15 10:23:47.337676,2026-09-15 10:23:47.337704
2,Transportation,1000000.0,0.0,2026,100000.0,Active,2026-09-15 10:31:42.270343,2026-09-15 10:31:42.270390
3,Procurement - Dev 1,16567432.02,3603599.21,2026,10026339.54,Active,2025-11-04 08:15:20.000000,2026-02-17 08:38:04.000000
4,Finance - Dev 2,12732574.99,3527472.97,2026,4037041.92,Active,2026-07-22 10:27:55.000000,2025-11-07 12:35:34.000000
5,Supply Chain - Dev 3,5944636.98,7365200.39,2026,3727019.9,Active,2026-02-05 15:09:38.000000,2025-12-25 13:21:58.000000
6,Warehouse - Dev 4,8962461.83,1219742.52,2026,17954485.46,Active,2025-12-30 16:51:57.000000,2027-02-25 11:18:18.000000
7,IT - Dev 5,5370986.02,1984556.03,2026,3823618.79,Active,2027-03-08 15:37:57.000000,2026-10-30 10:33:26.000000
8,Quality - Dev 6,11634305.46,4920759.6,2026,10103597.25,Active,2026-05-28 14:21:55.000000,2026-11-10 17:49:46.000000
9,Compliance - Dev 7,6046968.41,12421958.37,2026,11454917.42,Active,2026-02-07 11:43:04.000000,2027-03-21 14:27:49.000000
10,Logistics - Dev 8,8371294.74,2651127.34,2026,9859749.6,Active,2027-01-25 12:11:26.000000,2026-02-17 09:16:00.000000
11,Procurement - Dev 9,21860446.0,12931164.46,2026,13076417.65,Active,2025-12-23 08:25:56.000000,2026-06-22 09:31:28.000000
12,Finance - Dev 10,4651233.69,10376830.07,2026,13992099.36,Active,2027-03-02 16:41:47.000000,2027-03-19 17:55:10.000000
13,Supply Chain - Dev 11,18126969.76,930669.87,2026,15155037.23,Active,2026-11-28 10:56:20.000000,2027-03-27 13:57:22.000000
14,Warehouse - Dev 12,5243795.56,13145380.41,2026,14473955.32,Active,2027-03-10 11:54:37.000000,2026-07-08 11:58:28.000000
15,IT - Dev 13,3356702.72,9951380.23,2026,5033883.69,Active,2027-03-12 18:50:47.000000,2027-03-23 18:00:36.000000
16,Quality - Dev 14,3390347.16,12983873.45,2026,16095986.78,Active,2025-09-17 15:47:48.000000,2027-03-08 18:48:44.000000
17,Compliance - Dev 15,19517694.64,11911104.92,2026,12684768.98,Active,2025-09-28 15:55:51.000000,2026-03-10 11:35:49.000000
18,Logistics - Dev 16,11366689.49,11804083.1,2026,17927816.63,Active,2026-09-23 18:12:31.000000,2025-11-25 09:40:55.000000
19,Procurement - Dev 17,3343642.95,2286703.06,2026,9894402.94,Active,2026-11-23 15:11:47.000000,2027-01-10 12:42:21.000000
20,Finance - Dev 18,18132367.8,9036262.01,2026,17330644.98,Active,2025-12-26 15:05:42.000000,2025-10-04 14:08:12.000000
21,Supply Chain - Dev 19,9719427.27,8935628.74,2026,13359373.02,Active,2026-03-25 09:22:06.000000,2025-11-09 11:30:18.000000
22,Warehouse - Dev 20,7107513.98,7461108.08,2026,17563684.53,Active,2027-03-05 13:23:19.000000,2026-01-19 13:51:02.000000
