id,month,inflow,outflow,net_cash_flow
1,2025-09,6873768.7,23356568.46,2074526.49
2,2025-10,17842766.65,23441762.49,8621719.32
3,2025-11,20396458.46,10323501.03,5747869.37
4,2025-12,16295203.66,6506322.47,1024086.7
5,2026-01,26262768.83,22679742.41,3333090.73
6,2026-02,23150802.85,10881573.27,3092697.52
7,2026-03,17277343.14,3641252.96,-447156.28
8,2026-04,20745733.01,21513635.9,4272441.85
9,2026-05,21365855.32,23742498.63,2189125.81
10,2026-06,26974213.25,16332127.89,-12795.74
11,2026-07,14490485.46,9901932.02,6120146.98
12,2026-08,21703287.81,18173830.67,1526444.97
13,2026-09,29791424.37,15294512.13,4882438.97
14,2026-10,10733827.92,12163447.95,-26667.56
15,2026-11,28876842.61,14609224.09,2532168.09
16,2026-12,20524462.31,11044681.8,8641770.05
17,2027-01,28309331.23,19328698.22,4440795.65
18,2027-02,9359665.62,21120414.28,5454802.95
19,2027-03,27146013.73,6142024.94,5533838.44
20,2027-04,28525356.74,19193621.4,2617552.32
21,2027-05,29147511.17,7747448.38,7434999.67
22,2027-06,23544137.9,5592585.68,2136015.04
23,2027-07,20921018.76,18972427.96,-425521.48
24,2027-08,18256467.93,23104302.96,8392697.33
25,2027-09,8723327.66,22088559.79,1589145.36
26,2027-10,15598602.61,15092749.91,4533085.06
27,2027-11,14133383.56,23035731.17,4930462.34
28,2027-12,19325027.0,20342582.82,1611746.9
29,2028-01,11569129.23,8424434.13,8170831.67
30,2028-02,19590399.79,17847286.48,-131806.39
31,2028-03,9033239.44,15244630.5,258739.3
32,2028-04,16710148.31,18453056.87,6080504.37
33,2028-05,5627036.41,17564424.22,-342732.09
34,2028-06,8719708.09,3801606.53,8528330.35
35,2028-07,22190440.74,12391970.31,6338731.45
36,2028-08,21716739.6,5237223.36,684642.85
37,2028-09,5122934.33,8672613.35,4724383.51
38,2028-10,24128681.52,23592112.27,6873354.41
39,2028-11,10026740.18,5892660.99,5743455.89
40,2028-12,22277961.63,8320512.58,1679466.57
41,2029-01,13199187.23,22717781.54,3606616.76
42,2029-02,23160534.32,22775073.09,3464989.66
43,2029-03,14019837.26,23823626.92,1215482.16
44,2029-04,21070789.19,8857443.05,8301890.67
45,2029-05,6278658.13,13568463.82,7585463.78
46,2029-06,28289528.12,21916845.92,1616669.9
47,2029-07,14550973.15,16394260.99,6489838.97
48,2029-08,15314147.5,18675870.85,4290176.93
49,2029-09,10131955.1,8454416.59,8054622.77
50,2029-10,5216418.12,15433447.32,5417895.6
