id,total_budget,total_expenses,total_savings,total_payments,outstanding_payables,cash_balance,gross_margin,operating_margin,expense_ratio,current_ratio,quick_ratio,return_on_assets
1,767032.22,633386.0,654661.92,496504.84,861689.25,554494.01,514376.69,637233.73,715256.75,386634.53,255112.22,310938.58
2,742358.66,299568.04,747509.51,722863.97,114187.21,89574.14,302360.33,843267.62,346844.07,16017.18,774300.14,886994.74
3,615818.57,210856.32,142771.62,677536.55,475552.68,543226.87,828172.69,417581.26,366943.56,441335.99,754228.09,320501.25
4,293916.68,812994.81,708164.53,304700.11,474842.72,122170.98,860278.07,756972.39,177668.64,801924.91,682121.45,406955.67
5,153481.61,390991.66,653134.78,265893.98,598475.34,386243.0,327329.09,629284.91,333027.61,14242.56,725460.98,40587.81
6,130720.83,427820.61,446677.72,536897.93,211796.78,292834.62,591839.72,644471.11,466990.01,378253.31,234865.81,411321.7
7,80721.95,497390.15,656685.0,43469.66,363192.57,649978.3,89021.69,376645.87,222461.59,324110.26,31992.31,674729.9
8,100293.41,322443.09,171792.37,880146.28,737177.66,784522.66,847668.28,133396.63,58347.2,204021.52,700412.91,153368.69
9,195615.83,233861.0,677331.47,194787.35,198692.99,658981.16,120925.42,531158.31,44371.86,242695.84,79417.72,759001.25
10,534394.05,97466.24,609547.08,862742.27,422894.2,721474.38,464181.75,56429.52,5968.22,186608.42,863151.17,778017.4
11,380724.48,643568.52,350928.88,684331.34,249024.28,7059.27,814960.88,93524.6,262727.5,617522.15,692015.47,166604.12
12,482306.06,258818.47,107977.76,468757.74,491208.61,517583.04,273863.08,146931.93,137114.31,126494.13,324246.12,617947.98
13,196615.31,431916.19,386503.03,352898.57,811564.72,261950.47,630873.12,385895.18,326815.98,774536.14,244474.79,586444.97
14,813856.78,162201.05,465452.56,847703.56,185703.9,509411.02,554945.82,375771.6,238863.07,543531.02,655051.62,136458.82
15,752257.14,191776.82,37525.01,277086.89,286195.12,244410.44,367267.29,551476.26,138050.04,708846.44,850566.33,583511.12
16,567610.89,620889.98,503097.16,186928.48,121515.8,130107.25,609371.57,397503.88,134728.91,27232.11,571470.36,885251.87
17,442948.09,490323.03,686503.08,127960.0,519339.69,324643.89,556595.03,800955.21,120100.21,48013.56,509510.83,316234.11
18,238696.69,172934.33,223761.03,821010.63,614037.41,836315.42,112112.67,172725.57,191916.37,875223.18,573869.19,220991.29
19,627223.64,101036.68,28881.81,668094.88,391559.79,554857.14,750008.69,235964.56,804601.45,541153.77,76578.31,322905.02
20,312228.63,52022.11,495934.08,233540.35,670409.82,781703.46,138125.02,512471.01,335279.86,175443.07,453375.4,889721.37
21,821650.46,712742.42,817642.95,661741.97,332468.2,476021.73,375227.51,380807.34,591952.54,299821.65,5589.63,173311.78
22,830819.92,245512.76,59381.99,285619.57,273205.39,441315.25,377041.27,524087.65,717339.18,454296.82,807491.51,67236.84
23,877569.02,142913.75,620036.22,332011.99,411852.46,14040.36,461554.79,733726.96,364017.77,652368.69,699656.2,685713.29
24,525289.41,204228.05,418012.9,464071.82,768016.78,629815.45,223285.36,336370.54,454670.92,664688.61,823003.36,173308.27
25,183827.58,144618.76,768670.51,649188.09,319605.2,247632.24,574965.86,484050.7,259818.03,125574.42,759280.68,612653.86
26,624075.71,249101.11,261894.76,327380.24,672952.37,511337.88,861393.19,566983.9,538326.93,259077.19,61025.4,487715.65
27,773823.87,712192.73,803566.28,835987.83,132344.45,785071.95,506714.85,169063.29,728990.91,779094.46,219237.42,654378.85
28,107030.68,765490.26,759354.79,523013.63,550509.11,506635.77,69806.94,837576.27,436021.74,845233.79,710042.86,692108.08
29,228848.16,893731.76,799507.86,344518.75,298038.58,363777.9,311139.17,482951.64,343958.89,500133.33,514036.4,688138.6
30,763497.38,433720.77,237771.65,299033.32,210078.64,101466.4,387048.82,845439.94,407813.51,479146.31,68294.34,673785.87
31,260294.93,72853.21,218724.39,821769.36,259473.16,200495.1,435456.36,208572.84,686480.7,242397.34,515061.24,443896.23
32,688302.93,605144.97,257059.85,802504.85,445835.39,767928.81,493233.49,691387.37,586993.44,146122.5,691632.73,110539.37
33,103475.36,694736.07,746920.54,440715.62,465871.31,325510.69,681490.61,307025.46,205132.67,734442.89,595496.31,606279.02
34,545437.92,449247.37,339420.08,70534.08,529148.36,305177.48,566654.25,626335.99,585107.13,176474.8,534309.69,92737.55
35,793871.92,365056.17,721644.13,660880.33,280207.04,362668.26,294098.79,405590.95,402319.07,841316.19,410522.86,285397.17
36,528635.44,397502.61,634152.02,210633.21,570885.66,440772.23,520866.35,23356.73,648823.5,203533.05,893597.4,618792.49
37,138906.04,65355.13,25783.41,292140.78,453751.21,198561.24,97112.9,124241.75,560391.53,621132.63,833474.23,189728.43
38,353898.46,22930.66,217531.6,773191.39,482209.03,683228.47,337536.64,572868.95,574540.51,427102.43,292769.26,376930.63
39,843892.95,66476.46,265875.81,700075.28,591912.72,200048.94,664450.35,397799.58,416124.69,729944.74,349359.57,582569.35
40,221795.72,568010.07,503174.75,179143.88,57071.55,24574.53,649798.82,595293.36,405516.62,656503.62,269036.38,148036.58
41,319325.16,244382.51,340267.75,836444.3,12035.76,219979.13,76886.73,98390.22,505529.87,397955.37,832323.52,64086.57
42,403237.32,886264.82,577335.69,792386.43,713799.09,661655.21,377662.27,478847.31,502457.22,721865.73,49367.26,784575.18
43,460313.78,325425.07,233532.23,669096.33,276121.28,21087.26,708946.79,85119.41,459879.86,172829.56,698686.7,513507.5
44,386368.87,192079.81,523789.25,64097.98,100299.8,768536.34,649490.99,159329.31,204932.38,721013.42,856790.39,335323.77
45,526064.19,33495.44,39008.2,328826.69,147754.79,842780.52,21129.76,524792.14,527957.05,838571.52,724092.54,431988.82
46,257721.73,340131.5,331928.21,95649.93,585589.44,470125.34,547389.41,296224.27,138347.9,330280.17,670361.23,610082.98
47,588416.15,899400.56,821680.61,880437.9,245642.08,469110.61,509202.22,615325.2,543182.19,547987.33,71891.86,648395.19
48,162196.71,56956.86,300099.5,628658.29,278952.02,684672.75,724750.21,127643.03,698521.49,19509.73,234824.84,203423.95
49,473789.55,658771.37,442725.97,757931.99,818881.15,719555.19,388643.96,663672.6,86665.88,844313.44,741092.01,154423.15
50,301197.57,273870.07,764355.66,365200.79,641425.69,117680.51,59451.49,505124.26,276440.23,398729.79,646214.11,271727.08
