id,month,actual_expense,budget
1,2025-09,892734.09,818376.08
2,2025-10,469916.71,188702.2
3,2025-11,713114.08,737396.0
4,2025-12,791978.47,386312.66
5,2026-01,214748.32,582808.9
6,2026-02,126928.91,418894.93
7,2026-03,110129.33,71863.53
8,2026-04,242188.44,691206.2
9,2026-05,479174.19,93496.4
10,2026-06,278699.19,711030.46
11,2026-07,319637.34,767686.35
12,2026-08,611992.99,118044.57
13,2026-09,172413.02,399988.83
14,2026-10,205702.23,223341.07
15,2026-11,684686.96,390300.4
16,2026-12,790973.81,562475.0
17,2027-01,689894.31,208890.06
18,2027-02,548966.57,379603.74
19,2027-03,813371.0,831066.39
20,2027-04,96088.85,313733.23
21,2027-05,613533.52,116245.19
22,2027-06,408119.61,840932.98
23,2027-07,73449.97,334160.0
24,2027-08,794202.39,426490.68
25,2027-09,661404.14,688349.54
26,2027-10,415251.83,790647.95
27,2027-11,192728.88,335489.03
28,2027-12,562492.8,530050.67
29,2028-01,81288.16,341648.7
30,2028-02,794864.5,670228.42
31,2028-03,353187.29,272825.5
32,2028-04,201355.57,73712.82
33,2028-05,6757.14,368524.73
34,2028-06,397522.35,515716.91
35,2028-07,376224.95,519151.12
36,2028-08,635809.5,651677.17
37,2028-09,606650.67,154958.0
38,2028-10,337977.52,405447.75
39,2028-11,184128.81,672868.88
40,2028-12,260632.62,279993.58
41,2029-01,652125.33,631267.16
42,2029-02,159509.98,797846.01
43,2029-03,212815.24,653924.64
44,2029-04,7580.7,199266.24
45,2029-05,335534.57,356782.09
46,2029-06,694215.86,600299.64
47,2029-07,545059.23,273194.9
48,2029-08,184137.68,211842.58
49,2029-09,239936.7,604979.02
50,2029-10,649503.44,777323.09
