id,obligation_type,reference,amount,due_date
1,FINANCE-000001,REF-DEV-000001,281770.74,2026-12-29
2,FINANCE-000002,REF-DEV-000002,440749.26,2026-05-02
3,FINANCE-000003,REF-DEV-000003,855834.85,2026-11-24
4,FINANCE-000004,REF-DEV-000004,148356.0,2026-01-08
5,FINANCE-000005,REF-DEV-000005,623374.61,2026-12-31
6,FINANCE-000006,REF-DEV-000006,881706.54,2026-04-08
7,FINANCE-000007,REF-DEV-000007,675527.14,2026-04-28
8,FINANCE-000008,REF-DEV-000008,343955.33,2025-10-17
9,FINANCE-000009,REF-DEV-000009,170730.17,2026-10-02
10,FINANCE-000010,REF-DEV-000010,395616.64,2026-10-15
11,FINANCE-000011,REF-DEV-000011,791481.48,2025-09-20
12,FINANCE-000012,REF-DEV-000012,620006.99,2026-07-15
13,FINANCE-000013,REF-DEV-000013,106039.54,2027-03-17
14,FINANCE-000014,REF-DEV-000014,707529.29,2026-08-05
15,FINANCE-000015,REF-DEV-000015,43575.37,2025-09-01
16,FINANCE-000016,REF-DEV-000016,817352.62,2025-10-02
17,FINANCE-000017,REF-DEV-000017,794687.37,2025-11-02
18,FINANCE-000018,REF-DEV-000018,554304.4,2026-01-25
19,FINANCE-000019,REF-DEV-000019,692026.22,2026-09-12
20,FINANCE-000020,REF-DEV-000020,715438.01,2027-01-19
21,FINANCE-000021,REF-DEV-000021,267988.51,2026-01-30
22,FINANCE-000022,REF-DEV-000022,25337.55,2026-05-18
23,FINANCE-000023,REF-DEV-000023,122010.79,2026-01-10
24,FINANCE-000024,REF-DEV-000024,378907.02,2027-03-11
25,FINANCE-000025,REF-DEV-000025,686355.54,2026-10-17
26,FINANCE-000026,REF-DEV-000026,277958.52,2026-11-23
27,FINANCE-000027,REF-DEV-000027,677755.65,2027-03-07
28,FINANCE-000028,REF-DEV-000028,260259.14,2027-02-20
29,FINANCE-000029,REF-DEV-000029,897634.41,2026-06-19
30,FINANCE-000030,REF-DEV-000030,278373.12,2025-09-13
31,FINANCE-000031,REF-DEV-000031,192061.88,2026-07-03
32,FINANCE-000032,REF-DEV-000032,778644.76,2025-12-09
33,FINANCE-000033,REF-DEV-000033,212639.99,2025-10-11
34,FINANCE-000034,REF-DEV-000034,328287.82,2026-01-02
35,FINANCE-000035,REF-DEV-000035,215431.3,2026-05-28
36,FINANCE-000036,REF-DEV-000036,170835.47,2027-01-13
37,FINANCE-000037,REF-DEV-000037,637333.77,2027-01-29
38,FINANCE-000038,REF-DEV-000038,80628.26,2026-08-04
39,FINANCE-000039,REF-DEV-000039,61664.66,2026-09-10
40,FINANCE-000040,REF-DEV-000040,846834.15,2025-12-16
41,FINANCE-000041,REF-DEV-000041,699840.88,2025-12-10
