id,invoice_no,vendor,amount,due_date,payment_status,bill_date
1,INV-DEV-2025-00001,FINANCE-000001,384448.11,2026-11-03,FINANCE-000001,2025-11-16
2,INV-DEV-2025-00002,FINANCE-000002,196430.8,2025-11-21,FINANCE-000002,2027-01-10
3,INV-DEV-2025-00003,FINANCE-000003,274423.19,2025-10-27,FINANCE-000003,2026-02-15
4,INV-DEV-2025-00004,FINANCE-000004,376223.12,2026-02-16,FINANCE-000004,2026-02-15
5,INV-DEV-2025-00005,FINANCE-000005,111146.52,2025-11-06,FINANCE-000005,2027-03-04
6,INV-DEV-2025-00006,FINANCE-000006,451878.31,2026-09-19,FINANCE-000006,2027-02-01
7,INV-DEV-2025-00007,FINANCE-000007,293047.35,2026-01-12,FINANCE-000007,2026-08-09
8,INV-DEV-2025-00008,FINANCE-000008,157294.49,2026-02-07,FINANCE-000008,2026-01-17
9,INV-DEV-2025-00009,FINANCE-000009,506281.45,2026-01-17,FINANCE-000009,2026-01-04
10,INV-DEV-2025-00010,FINANCE-000010,729559.76,2025-10-17,FINANCE-000010,2026-09-07
11,INV-DEV-2025-00011,FINANCE-000011,851065.66,2027-01-31,FINANCE-000011,2026-11-10
12,INV-DEV-2025-00012,FINANCE-000012,651584.64,2026-02-11,FINANCE-000012,2026-10-21
13,INV-DEV-2025-00013,FINANCE-000013,722094.06,2026-10-03,FINANCE-000013,2026-02-27
14,INV-DEV-2025-00014,FINANCE-000014,502390.48,2025-11-05,FINANCE-000014,2026-05-08
15,INV-DEV-2025-00015,FINANCE-000015,149699.03,2026-01-04,FINANCE-000015,2026-12-15
16,INV-DEV-2025-00016,FINANCE-000016,94097.23,2027-01-09,FINANCE-000016,2026-04-24
17,INV-DEV-2025-00017,FINANCE-000017,545004.96,2026-09-17,FINANCE-000017,2026-11-21
18,INV-DEV-2025-00018,FINANCE-000018,439310.32,2025-12-06,FINANCE-000018,2027-02-19
19,INV-DEV-2025-00019,FINANCE-000019,463554.22,2025-11-02,FINANCE-000019,2026-12-03
20,INV-DEV-2025-00020,FINANCE-000020,103317.17,2025-11-04,FINANCE-000020,2026-06-25
21,INV-DEV-2025-00021,FINANCE-000021,513843.31,2026-04-28,FINANCE-000021,2026-06-21
22,INV-DEV-2025-00022,FINANCE-000022,720922.2,2025-11-01,FINANCE-000022,2026-11-02
23,INV-DEV-2025-00023,FINANCE-000023,534824.15,2026-09-11,FINANCE-000023,2026-01-16
24,INV-DEV-2025-00024,FINANCE-000024,101638.78,2026-08-20,FINANCE-000024,2026-01-23
25,INV-DEV-2025-00025,FINANCE-000025,107992.57,2026-03-17,FINANCE-000025,2026-04-20
26,INV-DEV-2025-00026,FINANCE-000026,298557.64,2026-11-26,FINANCE-000026,2026-08-06
27,INV-DEV-2025-00027,FINANCE-000027,690155.94,2026-01-26,FINANCE-000027,2027-02-09
28,INV-DEV-2025-00028,FINANCE-000028,480505.62,2026-12-27,FINANCE-000028,2026-12-16
29,INV-DEV-2025-00029,FINANCE-000029,216354.04,2026-12-22,FINANCE-000029,2026-04-05
30,INV-DEV-2025-00030,FINANCE-000030,237401.78,2027-02-25,FINANCE-000030,2026-04-06
31,INV-DEV-2025-00031,FINANCE-000031,362243.51,2026-12-22,FINANCE-000031,2026-06-08
32,INV-DEV-2025-00032,FINANCE-000032,110789.41,2026-04-09,FINANCE-000032,2027-01-11
33,INV-DEV-2025-00033,FINANCE-000033,649552.47,2027-03-08,FINANCE-000033,2027-03-13
