id,invoice_no,vendor,amount,payment_date,status,early_payment,discount_amount
1,INV-DEV-2025-00001,FINANCE-000001,741173.85,2026-06-25,Active,True,600290.91
2,INV-DEV-2025-00002,FINANCE-000002,486264.84,2026-07-24,Pending,True,504621.16
3,INV-DEV-2025-00003,FINANCE-000003,310235.12,2026-07-29,Completed,True,13721.55
4,INV-DEV-2025-00004,FINANCE-000004,527289.14,2026-03-21,Open,True,776017.3
5,INV-DEV-2025-00005,FINANCE-000005,252740.46,2026-04-25,Closed,True,571810.75
6,INV-DEV-2025-00006,FINANCE-000006,233721.92,2026-08-08,In Progress,True,683541.0
7,INV-DEV-2025-00007,FINANCE-000007,777791.41,2026-06-04,Active,True,514728.11
8,INV-DEV-2025-00008,FINANCE-000008,342397.49,2026-02-09,Pending,True,70718.51
9,INV-DEV-2025-00009,FINANCE-000009,711575.95,2026-10-31,Completed,True,863045.29
10,INV-DEV-2025-00010,FINANCE-000010,603665.64,2026-07-26,Open,True,202833.08
11,INV-DEV-2025-00011,FINANCE-000011,461604.71,2026-02-25,Closed,True,38058.66
12,INV-DEV-2025-00012,FINANCE-000012,305673.37,2026-07-07,In Progress,True,164707.27
13,INV-DEV-2025-00013,FINANCE-000013,891817.23,2026-04-10,Active,True,620656.54
14,INV-DEV-2025-00014,FINANCE-000014,589007.3,2027-03-21,Pending,True,754412.39
15,INV-DEV-2025-00015,FINANCE-000015,643295.19,2026-04-07,Completed,True,554912.03
16,INV-DEV-2025-00016,FINANCE-000016,416006.55,2025-11-27,Open,True,775750.53
17,INV-DEV-2025-00017,FINANCE-000017,192473.26,2026-07-04,Closed,True,56047.86
18,INV-DEV-2025-00018,FINANCE-000018,405351.9,2026-01-24,In Progress,True,91439.55
19,INV-DEV-2025-00019,FINANCE-000019,95463.17,2027-02-16,Active,True,126452.62
20,INV-DEV-2025-00020,FINANCE-000020,542893.36,2026-03-15,Pending,True,381402.01
21,INV-DEV-2025-00021,FINANCE-000021,66719.69,2027-01-18,Completed,True,416276.86
22,INV-DEV-2025-00022,FINANCE-000022,806645.51,2026-09-07,Open,True,35248.84
