id,source,department,year,budget,annual_target,created_at,updated_at
1,FINANCE-000001,FINANCE-000001,2026,201605.13,584199.15,2026-07-16 12:34:29,2026-05-01 13:59:15
2,FINANCE-000002,FINANCE-000002,2026,311439.85,760900.54,2025-12-16 14:42:45,2026-01-11 13:12:14
3,FINANCE-000003,FINANCE-000003,2026,434560.09,396296.61,2025-09-28 13:23:30,2027-02-18 13:45:58
4,FINANCE-000004,FINANCE-000004,2025,690686.84,489941.31,2026-05-29 12:15:16,2027-03-31 16:34:29
5,FINANCE-000005,FINANCE-000005,2026,319148.03,792492.61,2026-11-11 10:01:04,2026-09-01 13:16:27
6,FINANCE-000006,FINANCE-000006,2026,259371.98,786311.2,2027-03-19 18:04:03,2026-10-04 10:41:50
7,FINANCE-000007,FINANCE-000007,2026,398430.2,755979.75,2025-09-09 12:04:16,2026-09-06 16:19:11
8,FINANCE-000008,FINANCE-000008,2025,851747.46,324838.91,2026-10-08 13:00:51,2026-07-27 08:30:52
9,FINANCE-000009,FINANCE-000009,2026,386496.26,728767.96,2027-01-24 12:47:27,2026-11-30 12:22:07
10,FINANCE-000010,FINANCE-000010,2025,836513.27,844377.19,2026-06-02 14:48:12,2025-11-02 10:34:01
11,FINANCE-000011,FINANCE-000011,2026,525207.28,660179.35,2026-08-17 15:34:22,2025-09-12 14:37:58
12,FINANCE-000012,FINANCE-000012,2025,77199.0,262689.2,2026-08-18 11:00:27,2026-09-05 13:05:00
13,FINANCE-000013,FINANCE-000013,2025,737458.37,683835.22,2027-01-22 18:08:58,2026-06-18 15:40:17
14,FINANCE-000014,FINANCE-000014,2026,298915.23,81788.98,2026-03-08 14:00:41,2026-09-16 12:34:03
15,FINANCE-000015,FINANCE-000015,2025,113771.82,732246.61,2026-04-13 17:24:49,2026-04-23 11:56:50
16,FINANCE-000016,FINANCE-000016,2026,72481.87,99024.83,2026-05-14 09:42:58,2027-03-11 09:57:23
17,FINANCE-000017,FINANCE-000017,2026,376618.14,739097.94,2027-01-29 16:53:24,2026-04-03 15:45:50
18,FINANCE-000018,FINANCE-000018,2025,848738.61,600075.36,2027-02-20 10:22:22,2026-02-02 09:05:34
19,FINANCE-000019,FINANCE-000019,2026,180595.26,484397.92,2026-07-10 15:35:56,2026-08-16 15:09:15
20,FINANCE-000020,FINANCE-000020,2025,184726.75,67255.15,2027-02-23 12:23:24,2025-09-15 11:33:29
21,FINANCE-000021,FINANCE-000021,2025,795187.58,564752.95,2027-03-14 13:07:23,2026-06-21 11:33:12
22,FINANCE-000022,FINANCE-000022,2025,586052.61,773963.16,2026-09-02 10:29:48,2026-02-09 14:22:53
23,FINANCE-000023,FINANCE-000023,2026,98905.23,583567.67,2026-07-23 14:01:43,2026-05-02 10:29:28
24,FINANCE-000024,FINANCE-000024,2025,724784.76,488757.18,2026-09-16 16:37:32,2026-01-14 13:08:11
25,FINANCE-000025,FINANCE-000025,2025,13052.21,720080.3,2027-01-18 08:40:39,2026-02-01 18:25:59
26,FINANCE-000026,FINANCE-000026,2025,164011.78,153718.11,2026-07-04 13:37:18,2027-01-09 11:02:06
27,FINANCE-000027,FINANCE-000027,2026,457707.48,224248.73,2025-09-13 12:36:15,2025-09-14 11:07:55
28,FINANCE-000028,FINANCE-000028,2025,397362.21,70149.11,2026-04-04 14:06:46,2026-01-20 18:09:26
29,FINANCE-000029,FINANCE-000029,2026,350076.29,379684.43,2025-09-03 17:09:16,2026-02-10 08:12:39
30,FINANCE-000030,FINANCE-000030,2025,257413.59,731989.16,2026-10-16 10:31:07,2026-09-07 10:52:07
31,FINANCE-000031,FINANCE-000031,2025,806639.99,495704.53,2026-04-27 11:41:33,2027-01-11 11:04:22
32,FINANCE-000032,FINANCE-000032,2026,610452.67,189456.12,2026-04-27 08:35:04,2026-08-14 13:32:21
33,FINANCE-000033,FINANCE-000033,2025,398013.34,244007.04,2027-02-14 11:24:03,2025-11-18 10:22:56
34,FINANCE-000034,FINANCE-000034,2026,858529.97,821877.7,2027-01-15 16:42:31,2027-01-19 08:40:37
35,FINANCE-000035,FINANCE-000035,2025,250524.99,876124.88,2026-05-25 09:35:15,2025-10-03 11:42:05
36,FINANCE-000036,FINANCE-000036,2026,113445.54,478690.72,2026-08-04 10:33:04,2026-11-10 15:59:51
37,FINANCE-000037,FINANCE-000037,2026,7193.62,332777.7,2026-04-25 18:22:53,2025-09-21 12:34:36
38,FINANCE-000038,FINANCE-000038,2026,754400.14,577115.3,2026-05-18 17:08:56,2026-08-14 10:50:00
39,FINANCE-000039,FINANCE-000039,2025,715031.27,702280.28,2026-11-20 17:04:59,2026-07-15 08:34:16
40,FINANCE-000040,FINANCE-000040,2026,573319.93,95374.17,2026-08-05 13:15:48,2026-02-24 12:41:30
