id,item_code,item_name,category,quantity,minimum_stock,maximum_stock,unit_price,status,created_at,updated_at,reorder_point,warehouse_id
197,DC-PROD-607,Garmin Approach S3 Golf GPS Watch,Trade-In,77,3,15,249.99,Inactive,2026-09-14 13:02:41.793016,2026-09-14 13:02:41.793018,3,
160,DC-PROD-565,adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,969,48,193,70.0,Inactive,2026-09-14 13:02:41.791158,2026-09-14 13:02:41.791159,48,
161,DC-PROD-572,TYR Boys' Team Digi Jammer,Girls' Apparel,880,44,176,39.99,Inactive,2026-09-14 13:02:41.791195,2026-09-14 13:02:41.791196,44,
194,DC-PROD-625,Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,63,3,12,199.99,Inactive,2026-09-14 13:02:41.792823,2026-09-14 13:02:41.792825,3,
173,DC-PROD-810,Glove It Women's Mod Oval Golf Glove,Golf Balls,802,40,160,19.99,Inactive,2026-09-14 13:02:41.791666,2026-09-14 13:02:41.791668,40,
174,DC-PROD-821,Titleist Pro V1 High Numbers Personalized Gol,Electronics,851,42,170,51.99,Inactive,2026-09-14 13:02:41.791704,2026-09-14 13:02:41.791705,42,
187,DC-PROD-797,Hirzl Women's Soffft Flex Golf Glove,Golf Balls,889,44,177,17.99,Inactive,2026-09-14 13:02:41.792322,2026-09-14 13:02:41.792324,44,
196,DC-PROD-1356,First aid kit,Health and Beauty,362,18,72,293.04,Inactive,2026-09-14 13:02:41.792955,2026-09-14 13:02:41.792957,18,
137,DC-PROD-957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,13729,686,2745,299.98,Inactive,2026-09-14 13:02:41.790287,2026-09-14 13:02:41.790289,686,
159,DC-PROD-359,Nike Men's Free TR 5.0 TB Training Shoe,As Seen on TV!,206,10,41,99.99,Inactive,2026-09-14 13:02:41.791121,2026-09-14 13:02:41.791122,10,
177,DC-PROD-305,Mio ALPHA Heart Rate Monitor/Sport Watch,Kids' Golf Clubs,67,3,13,199.0,Inactive,2026-09-14 13:02:41.791814,2026-09-14 13:02:41.791815,3,
179,DC-PROD-1346,Sports Books,Books,405,20,81,31.08,Inactive,2026-09-14 13:02:41.791890,2026-09-14 13:02:41.791891,20,
180,DC-PROD-58,Diamondback Boys' Insight 24 Performance Hybr,Basketball,29,1,5,299.99,Inactive,2026-09-14 13:02:41.791927,2026-09-14 13:02:41.791928,1,
181,DC-PROD-311,Polar Loop Activity Tracker,Kids' Golf Clubs,54,2,10,109.95,Inactive,2026-09-14 13:02:41.791965,2026-09-14 13:02:41.791966,2,
182,DC-PROD-303,Garmin Forerunner 910XT GPS Watch,Kids' Golf Clubs,35,1,7,399.99,Inactive,2026-09-14 13:02:41.792001,2026-09-14 13:02:41.792002,1,
184,DC-PROD-1348,CDs of rock,CDs,271,13,54,11.29,Inactive,2026-09-14 13:02:41.792072,2026-09-14 13:02:41.792074,13,
192,DC-PROD-845,Garmin Approach S4 Golf GPS Watch,Kids' Golf Clubs,36,1,7,299.99,Inactive,2026-09-14 13:02:41.792679,2026-09-14 13:02:41.792681,1,
193,DC-PROD-982,insta-bed Neverflat Air Mattress,Hunting & Shooting,60,3,12,149.99,Inactive,2026-09-14 13:02:41.792749,2026-09-14 13:02:41.792750,3,
