id,item_id,warehouse_id,movement_type,quantity,movement_date,reference_number,notes,created_at
180709,123,,Issue,3,2016-12-23 08:48:00,DC-ORD-49075,DataCo customer order shipment,2026-09-14 13:11:57.782970
180711,122,,Issue,3,2016-09-03 14:02:00,DC-ORD-41623,DataCo customer order shipment,2026-09-14 13:11:57.786138
182346,121,,Issue,5,2016-12-18 17:23:00,DC-ORD-49031,DataCo customer order shipment,2026-09-14 13:11:58.931158
182349,121,,Issue,5,2016-12-08 18:59:00,DC-ORD-48282,DataCo customer order shipment,2026-09-14 13:11:58.932501
182353,123,,Issue,5,2016-10-18 23:47:00,DC-ORD-44802,DataCo customer order shipment,2026-09-14 13:11:58.936507
182362,130,,Issue,5,2016-10-18 23:47:00,DC-ORD-44802,DataCo customer order shipment,2026-09-14 13:11:58.943952
182367,126,,Issue,5,2016-09-02 10:11:00,DC-ORD-41612,DataCo customer order shipment,2026-09-14 13:11:58.945912
182373,121,,Issue,5,2016-11-30 16:43:00,DC-ORD-47796,DataCo customer order shipment,2026-09-14 13:11:58.948142
182376,121,,Issue,5,2017-01-10 04:55:00,DC-ORD-50571,DataCo customer order shipment,2026-09-14 13:11:58.951147
182377,122,,Issue,5,2016-11-18 08:09:00,DC-ORD-46744,DataCo customer order shipment,2026-09-14 13:11:58.952405
182380,123,,Issue,5,2016-11-19 23:02:00,DC-ORD-46992,DataCo customer order shipment,2026-09-14 13:11:58.955566
182382,123,,Issue,5,2016-11-30 16:43:00,DC-ORD-47796,DataCo customer order shipment,2026-09-14 13:11:58.957554
182805,126,,Issue,2,2016-12-19 09:09:00,DC-ORD-49076,DataCo customer order shipment,2026-09-14 13:11:59.508946
182828,123,,Issue,2,2016-11-06 09:02:00,DC-ORD-45993,DataCo customer order shipment,2026-09-14 13:11:59.522851
182844,121,,Issue,2,2016-11-03 18:09:00,DC-ORD-45882,DataCo customer order shipment,2026-09-14 13:11:59.529241
182866,121,,Issue,2,2016-12-20 05:29:00,DC-ORD-48860,DataCo customer order shipment,2026-09-14 13:11:59.541944
183040,190,,Issue,2,2016-10-19 13:37:00,DC-ORD-44910,DataCo customer order shipment,2026-09-14 13:11:59.645459
184083,136,,Issue,1,2016-09-07 18:56:00,DC-ORD-42048,DataCo customer order shipment,2026-09-14 13:12:00.264944
185673,126,,Issue,3,2017-01-14 15:46:00,DC-ORD-50876,DataCo customer order shipment,2026-09-14 13:12:01.205481
185674,125,,Issue,3,2016-08-31 08:57:00,DC-ORD-41403,DataCo customer order shipment,2026-09-14 13:12:01.205897
185711,191,,Issue,5,2016-09-10 21:54:00,DC-ORD-42262,DataCo customer order shipment,2026-09-14 13:12:01.221353
186265,121,,Issue,1,2016-09-23 03:08:00,DC-ORD-43099,DataCo customer order shipment,2026-09-14 13:12:01.458810
186269,136,,Issue,1,2016-09-23 03:08:00,DC-ORD-43099,DataCo customer order shipment,2026-09-14 13:12:01.460274
186512,136,,Issue,1,2016-12-21 00:45:00,DC-ORD-48915,DataCo customer order shipment,2026-09-14 13:12:01.576343
186525,136,,Issue,1,2016-12-29 00:12:00,DC-ORD-49667,DataCo customer order shipment,2026-09-14 13:12:01.823379
186527,121,,Issue,1,2016-12-30 11:14:00,DC-ORD-49767,DataCo customer order shipment,2026-09-14 13:12:01.824217
186998,126,,Issue,4,2016-12-30 11:14:00,DC-ORD-49767,DataCo customer order shipment,2026-09-14 13:12:02.052663
