id,snapshot_date,warehouse_id,category,total_items,total_quantity,inventory_value,created_at
1,2017-09-09,1.0,Accessories,6,46,1149.53998942,2026-09-14 12:30:26.648774
2,2017-09-09,1.0,Baseball & Softball,1,3,104.97000503999999,2026-09-14 12:30:26.648778
3,2017-09-09,1.0,Boxing & MMA,1,14,769.58001708,2026-09-14 12:30:26.648780
4,2017-09-09,1.0,Camping & Hiking,1,81,24298.380891000004,2026-09-14 12:30:26.648782
5,2017-09-09,1.0,Cardio Equipment,2,248,24587.5494757,2026-09-14 12:30:26.648784
6,2017-09-09,1.0,Cleats,1,428,25675.720719039997,2026-09-14 12:30:26.648785
7,2017-09-09,1.0,Electronics,9,63,2451.3700409,2026-09-14 12:30:26.648787
8,2017-09-09,1.0,Fishing,1,69,27598.620759,2026-09-14 12:30:26.648788
9,2017-09-09,1.0,Fitness Accessories,1,8,279.92001344,2026-09-14 12:30:26.648790
10,2017-09-09,1.0,Girls' Apparel,4,28,1329.9000168000002,2026-09-14 12:30:26.648791
11,2017-09-09,1.0,Golf Apparel,1,4,79.95999908,2026-09-14 12:30:26.648793
12,2017-09-09,1.0,Golf Balls,5,35,573.64999195,2026-09-14 12:30:26.648794
13,2017-09-09,1.0,Golf Gloves,2,17,439.830013288,2026-09-14 12:30:26.648796
14,2017-09-09,1.0,Golf Shoes,1,10,650.0,2026-09-14 12:30:26.648797
15,2017-09-09,1.0,Hockey,2,7,169.0,2026-09-14 12:30:26.648799
16,2017-09-09,1.0,Hunting & Shooting,1,4,119.95999908,2026-09-14 12:30:26.648800
17,2017-09-09,1.0,Indoor/Outdoor Games,1,334,16693.319846360002,2026-09-14 12:30:26.648802
18,2017-09-09,1.0,Lacrosse,1,5,124.94999885,2026-09-14 12:30:26.648803
19,2017-09-09,1.0,Men's Footwear,1,121,15728.790665500004,2026-09-14 12:30:26.648805
20,2017-09-09,1.0,Shop By Sport,2,189,7448.22029904,2026-09-14 12:30:26.648807
21,2017-09-09,1.0,Tennis & Racquet,1,7,314.93001176,2026-09-14 12:30:26.648808
22,2017-09-09,1.0,Trade-In,3,20,373.79999540000006,2026-09-14 12:30:26.648809
23,2017-09-09,1.0,Water Sports,1,92,18399.080506000002,2026-09-14 12:30:26.648811
24,2017-09-09,1.0,Women's Apparel,1,350,17500.0,2026-09-14 12:30:26.648812
25,2017-09-09,2.0,Accessories,6,220,5497.7999494,2026-09-14 12:30:26.648814
26,2017-09-09,2.0,As Seen on TV!,1,1,99.98999786,2026-09-14 12:30:26.648815
27,2017-09-09,2.0,Baseball & Softball,3,100,5249.00017564,2026-09-14 12:30:26.648817
28,2017-09-09,2.0,Boxing & MMA,3,69,4893.52998338,2026-09-14 12:30:26.648819
29,2017-09-09,2.0,Camping & Hiking,1,661,198286.78727100004,2026-09-14 12:30:26.648820
30,2017-09-09,2.0,Cardio Equipment,2,1886,185151.62606882,2026-09-14 12:30:26.648822
31,2017-09-09,2.0,Cleats,1,3643,218543.57612023997,2026-09-14 12:30:26.648823
32,2017-09-09,2.0,Electronics,11,435,17211.65027622,2026-09-14 12:30:26.648825
33,2017-09-09,2.0,Fishing,1,827,330783.46909699996,2026-09-14 12:30:26.648826
34,2017-09-09,2.0,Fitness Accessories,1,46,1609.54007728,2026-09-14 12:30:26.648828
35,2017-09-09,2.0,Girls' Apparel,4,176,7839.590068880001,2026-09-14 12:30:26.648829
36,2017-09-09,2.0,Golf Apparel,3,62,1759.37999159,2026-09-14 12:30:26.648831
37,2017-09-09,2.0,Golf Bags & Carts,1,1,169.9900055,2026-09-14 12:30:26.648832
38,2017-09-09,2.0,Golf Balls,5,206,3661.9399526200004,2026-09-14 12:30:26.648834
39,2017-09-09,2.0,Golf Gloves,6,179,5913.210023826001,2026-09-14 12:30:26.648836
40,2017-09-09,2.0,Golf Shoes,4,59,4126.0,2026-09-14 12:30:26.648837
41,2017-09-09,2.0,Hockey,2,84,1929.0,2026-09-14 12:30:26.648839
42,2017-09-09,2.0,Hunting & Shooting,3,70,3029.3999976599994,2026-09-14 12:30:26.648840
43,2017-09-09,2.0,Indoor/Outdoor Games,1,2856,142742.87868624003,2026-09-14 12:30:26.648842
44,2017-09-09,2.0,Kids' Golf Clubs,5,25,3226.45998374,2026-09-14 12:30:26.648843
45,2017-09-09,2.0,Lacrosse,1,32,799.6799926400001,2026-09-14 12:30:26.648845
46,2017-09-09,2.0,Men's Footwear,1,1056,137269.44580800005,2026-09-14 12:30:26.648847
47,2017-09-09,2.0,Men's Golf Clubs,4,17,1969.8300172600002,2026-09-14 12:30:26.648848
48,2017-09-09,2.0,Shop By Sport,3,1612,64434.39263393999,2026-09-14 12:30:26.648850
49,2017-09-09,2.0,Soccer,2,16,1549.8399660000002,2026-09-14 12:30:26.648851
50,2017-09-09,2.0,Strength Training,1,3,567.0,2026-09-14 12:30:26.648853
51,2017-09-09,2.0,Tennis & Racquet,1,54,2429.4600907199997,2026-09-14 12:30:26.648854
52,2017-09-09,2.0,Trade-In,4,148,4112.5200003400005,2026-09-14 12:30:26.648856
53,2017-09-09,2.0,Water Sports,1,744,148792.56409200002,2026-09-14 12:30:26.648857
54,2017-09-09,2.0,Women's Apparel,1,2894,144700.0,2026-09-14 12:30:26.648859
55,2017-09-09,2.0,Women's Golf Clubs,3,22,2669.7799911199995,2026-09-14 12:30:26.648860
56,2017-09-09,3.0,Accessories,6,68,1699.3199843600003,2026-09-14 12:30:26.648862
57,2017-09-09,3.0,Baseball & Softball,2,28,1304.7200470399998,2026-09-14 12:30:26.648863
58,2017-09-09,3.0,Boxing & MMA,1,15,824.5500182999999,2026-09-14 12:30:26.648865
59,2017-09-09,3.0,Camping & Hiking,1,127,38097.461397,2026-09-14 12:30:26.648866
60,2017-09-09,3.0,Cardio Equipment,2,353,34596.56926598001,2026-09-14 12:30:26.648868
61,2017-09-09,3.0,Cleats,1,688,41273.121155839995,2026-09-14 12:30:26.648869
