id,invoice_id,file_name,file_path,file_type,file_size,uploaded_by,created_at
1,1,Apex Industrial Supplies Private Limited,INVOICE-000001,INVOICE-000001,216,5,2027-02-07 09:43:36
2,2,Bharat IT Services Private Limited,INVOICE-000002,INVOICE-000002,370,2,2025-09-15 10:11:31
3,3,Deccan Food Ingredients Private Limited,INVOICE-000003,INVOICE-000003,735,5,2025-10-20 11:18:59
4,4,Eastern Electrical Systems Private Limited,INVOICE-000004,INVOICE-000004,238,2,2026-05-02 15:12:34
5,5,Southern Warehouse Equipment Private Limited,INVOICE-000005,INVOICE-000005,991,1,2025-12-13 11:25:51
6,6,Shree Engineering Components Private Limited,INVOICE-000006,INVOICE-000006,567,1,2027-03-03 11:46:14
7,7,Sree Logistics Services Private Limited,INVOICE-000007,INVOICE-000007,302,3,2026-12-30 09:39:07
8,8,Triveni Textile Materials Private Limited,INVOICE-000008,INVOICE-000008,241,2,2026-12-07 17:59:03
9,9,Sai Safety Products Private Limited,INVOICE-000009,INVOICE-000009,82,1,2026-08-08 12:56:54
10,10,Sri Lakshmi MRO Supplies Private Limited,INVOICE-000010,INVOICE-000010,783,3,2026-04-02 10:54:33
11,11,Pragati Packaging Solutions Private Limited,INVOICE-000011,INVOICE-000011,993,1,2026-11-15 18:34:04
12,12,Vardhan Chemical Products Private Limited,INVOICE-000012,INVOICE-000012,903,1,2026-12-12 10:35:22
13,13,Kaveri Industrial Supplies Private Limited,INVOICE-000013,INVOICE-000013,180,2,2026-09-26 16:45:55
14,14,Godavari IT Services Private Limited,INVOICE-000014,INVOICE-000014,562,3,2026-09-09 10:00:40
15,15,Krishna Food Ingredients Private Limited,INVOICE-000015,INVOICE-000015,673,3,2026-05-18 09:32:11
16,16,Nandi Electrical Systems Private Limited,INVOICE-000016,INVOICE-000016,816,3,2027-02-03 18:42:19
17,17,Andhra Warehouse Equipment Private Limited,INVOICE-000017,INVOICE-000017,446,5,2026-05-15 11:34:43
18,18,Telugu Engineering Components Private Limited,INVOICE-000018,INVOICE-000018,474,3,2027-01-29 08:07:30
19,19,Horizon Logistics Services Private Limited,INVOICE-000019,INVOICE-000019,350,3,2026-11-19 10:35:04
20,20,Vertex Textile Materials Private Limited,INVOICE-000020,INVOICE-000020,107,5,2026-08-12 17:00:14
21,21,Prime Safety Products Private Limited,INVOICE-000021,INVOICE-000021,827,3,2025-10-21 18:32:06
22,22,Metro MRO Supplies Private Limited,INVOICE-000022,INVOICE-000022,666,4,2026-01-24 09:56:05
23,23,Reliable Packaging Solutions Private Limited,INVOICE-000023,INVOICE-000023,260,5,2026-10-04 15:34:53
24,24,Precision Chemical Products Private Limited,INVOICE-000024,INVOICE-000024,569,4,2027-01-30 16:43:05
25,25,Apex Industrial Supplies Private Limited,INVOICE-000025,INVOICE-000025,343,4,2025-10-02 17:24:07
26,26,Bharat IT Services Private Limited,INVOICE-000026,INVOICE-000026,811,2,2026-05-03 13:25:31
27,27,Deccan Food Ingredients Private Limited,INVOICE-000027,INVOICE-000027,316,5,2027-01-09 14:34:31
28,28,Eastern Electrical Systems Private Limited,INVOICE-000028,INVOICE-000028,960,3,2025-10-21 11:19:54
29,29,Southern Warehouse Equipment Private Limited,INVOICE-000029,INVOICE-000029,40,1,2027-03-30 11:39:12
30,30,Shree Engineering Components Private Limited,INVOICE-000030,INVOICE-000030,803,4,2026-01-23 09:01:39
31,31,Sree Logistics Services Private Limited,INVOICE-000031,INVOICE-000031,648,2,2026-08-06 12:57:02
32,32,Triveni Textile Materials Private Limited,INVOICE-000032,INVOICE-000032,677,1,2025-09-02 18:51:47
33,33,Sai Safety Products Private Limited,INVOICE-000033,INVOICE-000033,422,1,2025-11-22 17:30:02
34,34,Sri Lakshmi MRO Supplies Private Limited,INVOICE-000034,INVOICE-000034,268,4,2026-04-02 08:41:29
35,35,Pragati Packaging Solutions Private Limited,INVOICE-000035,INVOICE-000035,561,3,2025-10-29 15:52:58
36,36,Vardhan Chemical Products Private Limited,INVOICE-000036,INVOICE-000036,821,5,2026-04-30 14:41:14
37,37,Kaveri Industrial Supplies Private Limited,INVOICE-000037,INVOICE-000037,841,4,2026-06-09 12:05:22
38,38,Godavari IT Services Private Limited,INVOICE-000038,INVOICE-000038,244,3,2026-07-31 18:49:48
39,39,Krishna Food Ingredients Private Limited,INVOICE-000039,INVOICE-000039,19,3,2026-05-29 17:11:09
40,40,Nandi Electrical Systems Private Limited,INVOICE-000040,INVOICE-000040,414,4,2026-03-18 15:31:48
41,41,Andhra Warehouse Equipment Private Limited,INVOICE-000041,INVOICE-000041,670,3,2026-05-11 10:51:40
42,42,Telugu Engineering Components Private Limited,INVOICE-000042,INVOICE-000042,970,5,2027-01-31 16:33:52
43,43,Horizon Logistics Services Private Limited,INVOICE-000043,INVOICE-000043,793,1,2026-06-25 14:25:39
44,44,Vertex Textile Materials Private Limited,INVOICE-000044,INVOICE-000044,654,5,2026-08-19 14:47:31
45,45,Prime Safety Products Private Limited,INVOICE-000045,INVOICE-000045,842,2,2025-09-15 15:35:40
46,46,Metro MRO Supplies Private Limited,INVOICE-000046,INVOICE-000046,908,5,2026-08-26 13:56:52
47,47,Reliable Packaging Solutions Private Limited,INVOICE-000047,INVOICE-000047,144,4,2025-10-19 13:30:13
48,48,Precision Chemical Products Private Limited,INVOICE-000048,INVOICE-000048,912,2,2026-02-23 08:28:27
49,49,Apex Industrial Supplies Private Limited,INVOICE-000049,INVOICE-000049,569,2,2026-09-23 13:51:09
50,50,Bharat IT Services Private Limited,INVOICE-000050,INVOICE-000050,961,4,2026-12-05 15:21:42
51,51,Deccan Food Ingredients Private Limited,INVOICE-000051,INVOICE-000051,655,5,2026-09-23 17:17:21
52,52,Eastern Electrical Systems Private Limited,INVOICE-000052,INVOICE-000052,173,5,2027-03-07 10:47:05
53,53,Southern Warehouse Equipment Private Limited,INVOICE-000053,INVOICE-000053,709,1,2025-09-12 15:35:04
54,54,Shree Engineering Components Private Limited,INVOICE-000054,INVOICE-000054,171,5,2026-08-25 13:44:26
55,55,Sree Logistics Services Private Limited,INVOICE-000055,INVOICE-000055,592,3,2026-03-20 15:56:29
56,56,Triveni Textile Materials Private Limited,INVOICE-000056,INVOICE-000056,454,4,2026-02-16 14:13:18
57,57,Sai Safety Products Private Limited,INVOICE-000057,INVOICE-000057,125,5,2027-02-08 13:18:19
58,58,Sri Lakshmi MRO Supplies Private Limited,INVOICE-000058,INVOICE-000058,179,1,2025-10-17 15:24:03
59,59,Pragati Packaging Solutions Private Limited,INVOICE-000059,INVOICE-000059,585,5,2026-08-21 14:08:08
60,60,Vardhan Chemical Products Private Limited,INVOICE-000060,INVOICE-000060,5,4,2025-09-17 15:19:41
61,61,Kaveri Industrial Supplies Private Limited,INVOICE-000061,INVOICE-000061,564,4,2026-12-12 13:55:54
62,62,Godavari IT Services Private Limited,INVOICE-000062,INVOICE-000062,298,5,2026-05-16 17:27:27
63,63,Krishna Food Ingredients Private Limited,INVOICE-000063,INVOICE-000063,931,4,2027-02-13 17:54:08
64,64,Nandi Electrical Systems Private Limited,INVOICE-000064,INVOICE-000064,684,3,2026-11-03 08:50:32
