id,invoice_id,purchase_order_item_id,item_code,description,quantity,unit_price,tax_rate,tax_amount,amount
1,1,488,ITM-DEV-001,Industrial Safety Gloves,876.0,120.0,18.0,18921.6,124041.6
2,2,379,ITM-DEV-002,Corrugated Shipping Boxes,1000.0,38.0,18.0,6840.0,44840.0
3,3,149,ITM-DEV-003,HDPE Packaging Bags,1000.0,24.0,18.0,4320.0,28320.0
4,4,228,ITM-DEV-004,Stainless Steel Fasteners,1000.0,18.5,18.0,3330.0,21830.0
5,5,120,ITM-DEV-005,Electrical Control Panels,18.0,18500.0,18.0,59940.0,392940.0
6,6,145,ITM-DEV-006,Copper Cable 4 sq mm,1000.0,145.0,18.0,26100.0,171100.0
7,7,89,ITM-DEV-007,Pallet Stretch Film,382.0,165.0,18.0,11345.4,74375.4
8,8,98,ITM-DEV-008,Industrial Lubricant 20L,17.0,3250.0,18.0,9945.0,65195.0
9,9,387,ITM-DEV-009,Warehouse Barcode Labels,1000.0,2.8,18.0,504.0,3304.0
10,10,288,ITM-DEV-010,Pallet Racking Beam,67.0,4200.0,18.0,50652.0,332052.0
11,11,241,ITM-DEV-011,Nitrile Chemical Gloves,1000.0,175.0,18.0,31500.0,206500.0
12,12,455,ITM-DEV-012,PLC Communication Module,39.0,8200.0,18.0,57564.0,377364.0
13,13,237,ITM-DEV-013,Industrial Cleaning Chemical,1000.0,290.0,18.0,52200.0,342200.0
14,14,135,ITM-DEV-014,Thermal Transfer Ribbon,60.0,680.0,18.0,7344.0,48144.0
15,15,68,ITM-DEV-015,HDMI/DisplayPort Adapters,558.0,450.0,18.0,45198.0,296298.0
16,16,377,ITM-DEV-001,Industrial Safety Gloves,256.0,120.0,18.0,5529.6,36249.6
17,17,146,ITM-DEV-002,Corrugated Shipping Boxes,1000.0,38.0,18.0,6840.0,44840.0
18,18,174,ITM-DEV-003,HDPE Packaging Bags,1000.0,24.0,18.0,4320.0,28320.0
19,19,434,ITM-DEV-004,Stainless Steel Fasteners,1000.0,18.5,18.0,3330.0,21830.0
20,20,330,ITM-DEV-005,Electrical Control Panels,1.0,18500.0,18.0,3330.0,21830.0
21,21,303,ITM-DEV-006,Copper Cable 4 sq mm,690.0,145.0,18.0,18009.0,118059.0
22,22,27,ITM-DEV-007,Pallet Stretch Film,1000.0,165.0,18.0,29700.0,194700.0
23,23,342,ITM-DEV-008,Industrial Lubricant 20L,67.0,3250.0,18.0,39195.0,256945.0
24,24,182,ITM-DEV-009,Warehouse Barcode Labels,1000.0,2.8,18.0,504.0,3304.0
25,25,410,ITM-DEV-010,Pallet Racking Beam,85.0,4200.0,18.0,64260.0,421260.0
26,26,293,ITM-DEV-011,Nitrile Chemical Gloves,76.0,175.0,18.0,2394.0,15694.0
27,27,132,ITM-DEV-012,PLC Communication Module,3.0,8200.0,18.0,4428.0,29028.0
28,28,110,ITM-DEV-013,Industrial Cleaning Chemical,653.0,290.0,18.0,34086.6,223456.6
29,29,493,ITM-DEV-014,Thermal Transfer Ribbon,395.0,680.0,18.0,48348.0,316948.0
30,30,475,ITM-DEV-015,HDMI/DisplayPort Adapters,405.0,450.0,18.0,32805.0,215055.0
31,31,434,ITM-DEV-001,Industrial Safety Gloves,1000.0,120.0,18.0,21600.0,141600.0
32,32,266,ITM-DEV-002,Corrugated Shipping Boxes,1000.0,38.0,18.0,6840.0,44840.0
33,33,455,ITM-DEV-003,HDPE Packaging Bags,1000.0,24.0,18.0,4320.0,28320.0
34,34,202,ITM-DEV-004,Stainless Steel Fasteners,1000.0,18.5,18.0,3330.0,21830.0
35,35,78,ITM-DEV-005,Electrical Control Panels,12.0,18500.0,18.0,39960.0,261960.0
36,36,358,ITM-DEV-006,Copper Cable 4 sq mm,661.0,145.0,18.0,17252.1,113097.1
37,37,287,ITM-DEV-007,Pallet Stretch Film,1000.0,165.0,18.0,29700.0,194700.0
38,38,470,ITM-DEV-008,Industrial Lubricant 20L,103.0,3250.0,18.0,60255.0,395005.0
39,39,105,ITM-DEV-009,Warehouse Barcode Labels,1000.0,2.8,18.0,504.0,3304.0
40,40,194,ITM-DEV-010,Pallet Racking Beam,14.0,4200.0,18.0,10584.0,69384.0
41,41,225,ITM-DEV-011,Nitrile Chemical Gloves,1000.0,175.0,18.0,31500.0,206500.0
42,42,220,ITM-DEV-012,PLC Communication Module,3.0,8200.0,18.0,4428.0,29028.0
43,43,172,ITM-DEV-013,Industrial Cleaning Chemical,1000.0,290.0,18.0,52200.0,342200.0
44,44,163,ITM-DEV-014,Thermal Transfer Ribbon,483.0,680.0,18.0,59119.2,387559.2
45,45,460,ITM-DEV-015,HDMI/DisplayPort Adapters,814.0,450.0,18.0,65934.0,432234.0
46,46,5,ITM-DEV-001,Industrial Safety Gloves,1000.0,120.0,18.0,21600.0,141600.0
47,47,175,ITM-DEV-002,Corrugated Shipping Boxes,1000.0,38.0,18.0,6840.0,44840.0
48,48,349,ITM-DEV-003,HDPE Packaging Bags,1000.0,24.0,18.0,4320.0,28320.0
49,49,332,ITM-DEV-004,Stainless Steel Fasteners,1000.0,18.5,18.0,3330.0,21830.0
50,50,407,ITM-DEV-005,Electrical Control Panels,11.0,18500.0,18.0,36630.0,240130.0
51,51,465,ITM-DEV-006,Copper Cable 4 sq mm,993.0,145.0,18.0,25917.3,169902.3
52,52,373,ITM-DEV-007,Pallet Stretch Film,1000.0,165.0,18.0,29700.0,194700.0
53,53,295,ITM-DEV-008,Industrial Lubricant 20L,111.0,3250.0,18.0,64935.0,425685.0
54,54,314,ITM-DEV-009,Warehouse Barcode Labels,1000.0,2.8,18.0,504.0,3304.0
55,55,164,ITM-DEV-010,Pallet Racking Beam,65.0,4200.0,18.0,49140.0,322140.0
56,56,381,ITM-DEV-011,Nitrile Chemical Gloves,1000.0,175.0,18.0,31500.0,206500.0
57,57,138,ITM-DEV-012,PLC Communication Module,15.0,8200.0,18.0,22140.0,145140.0
58,58,303,ITM-DEV-013,Industrial Cleaning Chemical,1000.0,290.0,18.0,52200.0,342200.0
59,59,310,ITM-DEV-014,Thermal Transfer Ribbon,248.0,680.0,18.0,30355.2,198995.2
