id,workflow_id,step_order,step_name,status,assigned_to,completed_at,notes
1,1,84,Apex Industrial Supplies Private Limited,Pending,2,2027-01-29 14:44:01,Development record for Indian supplier and supply-chain operations.
2,2,528,Bharat IT Services Private Limited,Pending,2,2025-09-30 17:44:53,Development record for Indian supplier and supply-chain operations.
3,3,452,Deccan Food Ingredients Private Limited,Pending,4,2025-09-19 11:59:58,Development record for Indian supplier and supply-chain operations.
4,4,877,Eastern Electrical Systems Private Limited,Pending,3,2026-09-18 16:36:26,Development record for Indian supplier and supply-chain operations.
5,5,648,Southern Warehouse Equipment Private Limited,Pending,2,2026-07-09 16:56:31,Development record for Indian supplier and supply-chain operations.
6,6,854,Shree Engineering Components Private Limited,Pending,1,2025-10-31 11:34:11,Development record for Indian supplier and supply-chain operations.
7,7,580,Sree Logistics Services Private Limited,Pending,5,2025-09-13 15:35:10,Development record for Indian supplier and supply-chain operations.
8,8,980,Triveni Textile Materials Private Limited,Pending,2,2026-07-28 12:03:31,Development record for Indian supplier and supply-chain operations.
9,9,317,Sai Safety Products Private Limited,Pending,2,2025-11-11 10:09:13,Development record for Indian supplier and supply-chain operations.
10,10,127,Sri Lakshmi MRO Supplies Private Limited,Pending,3,2026-07-06 17:57:58,Development record for Indian supplier and supply-chain operations.
11,11,542,Pragati Packaging Solutions Private Limited,Pending,5,2026-05-29 10:42:04,Development record for Indian supplier and supply-chain operations.
12,12,663,Vardhan Chemical Products Private Limited,Pending,5,2025-09-03 09:04:37,Development record for Indian supplier and supply-chain operations.
13,13,253,Kaveri Industrial Supplies Private Limited,Pending,4,2026-08-05 14:24:56,Development record for Indian supplier and supply-chain operations.
14,14,125,Godavari IT Services Private Limited,Pending,2,2026-08-18 11:03:25,Development record for Indian supplier and supply-chain operations.
15,15,720,Krishna Food Ingredients Private Limited,Pending,5,2026-04-21 11:02:58,Development record for Indian supplier and supply-chain operations.
16,16,245,Nandi Electrical Systems Private Limited,Pending,3,2026-10-14 11:54:03,Development record for Indian supplier and supply-chain operations.
17,17,628,Andhra Warehouse Equipment Private Limited,Pending,2,2026-11-23 15:37:21,Development record for Indian supplier and supply-chain operations.
18,18,154,Telugu Engineering Components Private Limited,Pending,5,2026-11-25 09:14:22,Development record for Indian supplier and supply-chain operations.
19,19,618,Horizon Logistics Services Private Limited,Pending,4,2025-10-06 16:56:22,Development record for Indian supplier and supply-chain operations.
20,20,153,Vertex Textile Materials Private Limited,Pending,3,2026-06-18 10:18:21,Development record for Indian supplier and supply-chain operations.
21,21,195,Prime Safety Products Private Limited,Pending,2,2027-01-13 17:55:00,Development record for Indian supplier and supply-chain operations.
22,22,650,Metro MRO Supplies Private Limited,Pending,4,2026-10-29 18:40:03,Development record for Indian supplier and supply-chain operations.
23,23,690,Reliable Packaging Solutions Private Limited,Pending,1,2025-09-03 18:45:50,Development record for Indian supplier and supply-chain operations.
24,24,556,Precision Chemical Products Private Limited,Pending,2,2027-03-02 18:31:00,Development record for Indian supplier and supply-chain operations.
25,25,290,Apex Industrial Supplies Private Limited,Pending,4,2026-03-25 14:11:23,Development record for Indian supplier and supply-chain operations.
26,26,589,Bharat IT Services Private Limited,Pending,1,2025-10-21 09:12:09,Development record for Indian supplier and supply-chain operations.
27,27,637,Deccan Food Ingredients Private Limited,Pending,2,2026-11-21 16:37:56,Development record for Indian supplier and supply-chain operations.
28,28,181,Eastern Electrical Systems Private Limited,Pending,2,2027-01-16 09:59:12,Development record for Indian supplier and supply-chain operations.
29,29,129,Southern Warehouse Equipment Private Limited,Pending,2,2026-12-24 18:06:41,Development record for Indian supplier and supply-chain operations.
30,30,707,Shree Engineering Components Private Limited,Pending,2,2026-05-15 16:37:53,Development record for Indian supplier and supply-chain operations.
31,31,507,Sree Logistics Services Private Limited,Pending,4,2025-10-02 15:45:16,Development record for Indian supplier and supply-chain operations.
32,32,842,Triveni Textile Materials Private Limited,Pending,5,2026-05-17 10:43:43,Development record for Indian supplier and supply-chain operations.
33,33,630,Sai Safety Products Private Limited,Pending,1,2026-10-23 17:03:10,Development record for Indian supplier and supply-chain operations.
34,34,664,Sri Lakshmi MRO Supplies Private Limited,Pending,5,2026-05-05 11:22:31,Development record for Indian supplier and supply-chain operations.
35,35,524,Pragati Packaging Solutions Private Limited,Pending,4,2026-03-26 18:21:52,Development record for Indian supplier and supply-chain operations.
36,36,700,Vardhan Chemical Products Private Limited,Pending,1,2026-07-13 17:23:03,Development record for Indian supplier and supply-chain operations.
37,37,557,Kaveri Industrial Supplies Private Limited,Pending,2,2025-09-08 08:48:02,Development record for Indian supplier and supply-chain operations.
