id,invoice_number,po_id,vendor_id,amount,status,invoice_date,due_date,paid_date,customer_id
1,INV-DEV-2025-00001,455,VND0000004,248329.23,Pending,2026-09-16,2026-10-16,2026-09-16,110
2,INV-DEV-2025-00002,239,VND0000006,565740.28,Pending,2026-09-13,2026-10-13,2026-09-16,171
3,INV-DEV-2025-00003,146,VND0000005,300326.12,Pending,2026-09-10,2026-10-10,2026-09-16,210
4,INV-DEV-2025-00004,236,VND0000005,388729.11,Pending,2026-09-07,2026-10-07,2026-09-16,284
5,INV-DEV-2025-00005,110,VND0000002,786509.29,Pending,2026-09-04,2026-10-04,2026-09-16,117
6,INV-DEV-2025-00006,479,VND0000005,804712.88,Pending,2026-09-01,2026-10-01,2026-09-16,311
7,INV-DEV-2025-00007,229,VND0000003,148947.65,Pending,2026-08-29,2026-09-28,2026-09-16,464
8,INV-DEV-2025-00008,147,VND0000006,137582.11,Pending,2026-08-26,2026-09-25,2026-09-16,280
9,INV-DEV-2025-00009,407,VND0000005,416202.79,Pending,2026-08-23,2026-09-22,2026-09-16,3
10,INV-DEV-2025-00010,238,VND0000002,668558.73,Pending,2026-08-20,2026-09-19,2026-09-16,261
11,INV-DEV-2025-00011,436,VND0000003,498471.11,Pending,2026-08-17,2026-09-16,2026-09-14,390
12,INV-DEV-2025-00012,146,VND0000003,769326.56,Pending,2026-08-14,2026-09-13,2026-09-11,407
13,INV-DEV-2025-00013,224,VND0000003,861373.41,Pending,2026-08-11,2026-09-10,2026-09-08,263
14,INV-DEV-2025-00014,372,VND0000003,97873.48,Pending,2026-08-08,2026-09-07,2026-09-05,315
15,INV-DEV-2025-00015,179,VND0000004,593319.01,Pending,2026-08-05,2026-09-04,2026-09-02,215
16,INV-DEV-2025-00016,248,VND0000002,72712.8,Pending,2026-08-02,2026-09-01,2026-08-30,418
17,INV-DEV-2025-00017,260,VND0000001,771960.37,Pending,2026-07-30,2026-08-29,2026-08-27,90
18,INV-DEV-2025-00018,199,VND0000001,162904.74,Pending,2026-07-27,2026-08-26,2026-08-24,298
19,INV-DEV-2025-00019,153,VND0000004,127021.43,Pending,2026-07-24,2026-08-23,2026-08-21,268
20,INV-DEV-2025-00020,85,VND0000003,22550.84,Pending,2026-07-21,2026-08-20,2026-08-18,318
21,INV-DEV-2025-00021,66,VND0000003,236382.78,Pending,2026-07-18,2026-08-17,2026-08-15,187
22,INV-DEV-2025-00022,193,VND0000004,690987.86,Pending,2026-07-15,2026-08-14,2026-08-12,187
