id,recipient,notification_type,subject,message,status,error_message,sent_at,created_by
1,NOTIFICA-000001,NOTIFICA-000001,NOTIFICA-000001,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2027-01-16 15:20:59,4
2,NOTIFICA-000002,NOTIFICA-000002,NOTIFICA-000002,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2025-10-14 17:17:42,5
3,NOTIFICA-000003,NOTIFICA-000003,NOTIFICA-000003,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2025-10-14 13:38:34,1
4,NOTIFICA-000004,NOTIFICA-000004,NOTIFICA-000004,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-01-30 11:56:59,3
5,NOTIFICA-000005,NOTIFICA-000005,NOTIFICA-000005,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-04-05 12:56:23,5
6,NOTIFICA-000006,NOTIFICA-000006,NOTIFICA-000006,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-05-15 12:12:19,5
7,NOTIFICA-000007,NOTIFICA-000007,NOTIFICA-000007,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-02-23 12:29:44,3
8,NOTIFICA-000008,NOTIFICA-000008,NOTIFICA-000008,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-10-07 13:11:05,4
9,NOTIFICA-000009,NOTIFICA-000009,NOTIFICA-000009,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-03-30 10:04:06,3
10,NOTIFICA-000010,NOTIFICA-000010,NOTIFICA-000010,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-09-08 15:55:31,1
11,NOTIFICA-000011,NOTIFICA-000011,NOTIFICA-000011,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-05-07 14:59:31,2
12,NOTIFICA-000012,NOTIFICA-000012,NOTIFICA-000012,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-08-29 12:26:47,2
13,NOTIFICA-000013,NOTIFICA-000013,NOTIFICA-000013,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2027-01-26 10:40:10,2
14,NOTIFICA-000014,NOTIFICA-000014,NOTIFICA-000014,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-08-03 11:20:00,4
15,NOTIFICA-000015,NOTIFICA-000015,NOTIFICA-000015,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-07-31 15:56:13,1
