id,invoice_id,payment_reference,payment_date,amount,payment_method,status,transaction_id,notes,created_at,updated_at
1,1,REF-DEV-000001,2026-10-12,161459.07,PAYMENTS-000001,Completed,PAYMENTS-000001,Development record for Indian supplier and supply-chain operations.,2026-01-05 17:00:27,2026-05-04 09:51:25
2,2,REF-DEV-000002,2026-10-06,486241.3,PAYMENTS-000002,Completed,PAYMENTS-000002,Development record for Indian supplier and supply-chain operations.,2026-08-25 10:35:14,2025-12-05 08:38:44
3,3,REF-DEV-000003,2026-10-03,276802.68,PAYMENTS-000003,Completed,PAYMENTS-000003,Development record for Indian supplier and supply-chain operations.,2025-12-25 10:28:25,2026-08-27 17:02:43
4,4,REF-DEV-000004,2026-09-27,214268.87,PAYMENTS-000004,Completed,PAYMENTS-000004,Development record for Indian supplier and supply-chain operations.,2025-12-27 18:37:41,2025-12-27 17:07:47
5,5,REF-DEV-000005,2026-09-30,302806.34,PAYMENTS-000005,Completed,PAYMENTS-000005,Development record for Indian supplier and supply-chain operations.,2025-10-02 11:54:56,2026-11-24 11:13:44
6,6,REF-DEV-000006,2026-09-28,739285.63,PAYMENTS-000006,Completed,PAYMENTS-000006,Development record for Indian supplier and supply-chain operations.,2026-11-30 15:32:22,2025-09-16 08:19:14
7,7,REF-DEV-000007,2026-09-22,142720.48,PAYMENTS-000007,Completed,PAYMENTS-000007,Development record for Indian supplier and supply-chain operations.,2026-11-28 11:29:26,2026-01-26 13:11:52
8,8,REF-DEV-000008,2026-09-22,99824.86,PAYMENTS-000008,Completed,PAYMENTS-000008,Development record for Indian supplier and supply-chain operations.,2026-10-26 10:12:00,2025-10-30 18:26:36
9,9,REF-DEV-000009,2026-09-17,207793.52,PAYMENTS-000009,Completed,PAYMENTS-000009,Development record for Indian supplier and supply-chain operations.,2026-10-29 11:05:41,2026-07-13 15:07:55
10,10,REF-DEV-000010,2026-09-12,459535.22,PAYMENTS-000010,Completed,PAYMENTS-000010,Development record for Indian supplier and supply-chain operations.,2026-11-13 16:49:54,2026-01-04 17:26:45
11,11,REF-DEV-000011,2026-09-08,451818.22,PAYMENTS-000011,Completed,PAYMENTS-000011,Development record for Indian supplier and supply-chain operations.,2026-10-03 10:24:01,2026-06-30 08:52:31
12,12,REF-DEV-000012,2026-09-13,571688.4,PAYMENTS-000012,Completed,PAYMENTS-000012,Development record for Indian supplier and supply-chain operations.,2025-10-26 09:18:37,2026-05-28 13:38:29
13,13,REF-DEV-000013,2026-08-31,762819.81,PAYMENTS-000013,Completed,PAYMENTS-000013,Development record for Indian supplier and supply-chain operations.,2026-12-31 10:40:14,2026-07-17 15:06:39
14,14,REF-DEV-000014,2026-09-07,70034.75,PAYMENTS-000014,Completed,PAYMENTS-000014,Development record for Indian supplier and supply-chain operations.,2026-01-01 13:31:46,2025-10-09 11:13:17
15,15,REF-DEV-000015,2026-08-31,515412.95,PAYMENTS-000015,Completed,PAYMENTS-000015,Development record for Indian supplier and supply-chain operations.,2025-09-26 16:12:50,2026-01-30 15:18:21
16,16,REF-DEV-000016,2026-08-22,32015.81,PAYMENTS-000016,Completed,PAYMENTS-000016,Development record for Indian supplier and supply-chain operations.,2025-12-07 12:23:09,2025-11-13 17:31:44
