id,purchase_order_id,inventory_item_id,item_code,item_description,uom,quantity,unit_price,tax_rate,tax_amount,amount,received_quantity
1,1,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,314.64,1.0
2,2,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,311.36,1.0
3,3,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,309.72,1.0
4,4,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,304.81,1.0
5,5,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,298.25,1.0
6,6,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,294.98,1.0
7,7,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,288.42,1.0
8,8,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,285.14,1.0
9,9,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,278.59,1.0
10,10,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,275.31,1.0
11,11,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,272.03,1.0
12,12,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,268.76,1.0
13,13,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,262.2,1.0
14,14,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,245.81,1.0
15,15,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,327.75,1.0
16,16,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,324.47,1.0
17,17,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,321.2,1.0
18,18,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,317.92,1.0
19,19,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,314.64,1.0
20,20,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,311.36,1.0
21,21,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,309.72,1.0
22,22,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,304.81,1.0
23,23,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,298.25,1.0
24,24,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,294.98,1.0
25,25,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,288.42,1.0
26,26,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,285.14,1.0
27,27,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,278.59,1.0
28,28,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,275.31,1.0
29,29,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,272.03,1.0
30,30,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,268.76,1.0
31,31,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,262.2,1.0
32,32,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,245.81,1.0
33,33,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,327.75,1.0
34,34,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,324.47,1.0
35,35,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,321.2,1.0
36,36,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,317.92,1.0
37,37,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,314.64,1.0
38,38,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,311.36,1.0
39,39,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,309.72,1.0
40,40,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,304.81,1.0
41,41,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,298.25,1.0
42,42,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,294.98,1.0
43,43,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,288.42,1.0
44,44,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,285.14,1.0
45,45,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,278.59,1.0
46,46,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,275.31,1.0
47,47,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,272.03,1.0
48,48,120.0,DC-PROD-1360,Smart watch,PCS,1.0,327.75,0.0,0.0,268.76,1.0
49,49,121.0,DC-PROD-365,Perfect Fitness Perfect Rip Deck,PCS,2.0,59.99,0.0,0.0,115.18,2.0
50,50,122.0,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,PCS,2.0,39.99,0.0,0.0,79.18,2.0
51,51,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,2.0,50.0,0.0,0.0,96.0,2.0
52,52,122.0,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,PCS,2.0,39.99,0.0,0.0,75.98,2.0
53,53,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,2.0,50.0,0.0,0.0,91.0,2.0
54,54,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,2.0,50.0,0.0,0.0,87.0,2.0
55,55,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,2.0,50.0,0.0,0.0,82.0,2.0
56,56,124.0,DC-PROD-278,Under Armour Men's Compression EV SL Slide,PCS,2.0,44.99,0.0,0.0,74.68,2.0
57,57,125.0,DC-PROD-249,Under Armour Women's Micro G Skulpt Running S,PCS,2.0,54.97,0.0,0.0,90.15,2.0
58,58,121.0,DC-PROD-365,Perfect Fitness Perfect Rip Deck,PCS,2.0,59.99,0.0,0.0,117.58,2.0
59,59,121.0,DC-PROD-365,Perfect Fitness Perfect Rip Deck,PCS,2.0,59.99,0.0,0.0,95.98,2.0
60,60,126.0,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,PCS,3.0,99.99,0.0,0.0,263.97,3.0
61,61,122.0,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,PCS,3.0,39.99,0.0,0.0,113.97,3.0
62,62,127.0,DC-PROD-917,Glove It Women's Mod Oval 3-Zip Carry All Gol,PCS,3.0,21.99,0.0,0.0,63.99,3.0
63,63,128.0,DC-PROD-828,Bridgestone e6 Straight Distance NFL San Dieg,PCS,3.0,31.99,0.0,0.0,79.66,3.0
64,64,126.0,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,PCS,3.0,99.99,0.0,0.0,293.97,3.0
65,65,126.0,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,PCS,3.0,99.99,0.0,0.0,269.97,3.0
66,66,126.0,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,PCS,3.0,99.99,0.0,0.0,224.98,3.0
67,67,121.0,DC-PROD-365,Perfect Fitness Perfect Rip Deck,PCS,3.0,59.99,0.0,0.0,176.37,3.0
68,68,121.0,DC-PROD-365,Perfect Fitness Perfect Rip Deck,PCS,3.0,59.99,0.0,0.0,167.37,3.0
69,69,121.0,DC-PROD-365,Perfect Fitness Perfect Rip Deck,PCS,3.0,59.99,0.0,0.0,163.77,3.0
70,70,121.0,DC-PROD-365,Perfect Fitness Perfect Rip Deck,PCS,3.0,59.99,0.0,0.0,161.97,3.0
71,65,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,3.0,50.0,0.0,0.0,139.5,3.0
72,71,122.0,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,PCS,3.0,39.99,0.0,0.0,107.97,3.0
73,72,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,3.0,50.0,0.0,0.0,112.5,3.0
74,73,127.0,DC-PROD-917,Glove It Women's Mod Oval 3-Zip Carry All Gol,PCS,3.0,21.99,0.0,0.0,55.41,3.0
75,74,126.0,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,PCS,3.0,99.99,0.0,0.0,299.97,3.0
76,75,121.0,DC-PROD-365,Perfect Fitness Perfect Rip Deck,PCS,3.0,59.99,0.0,0.0,178.17,3.0
77,76,121.0,DC-PROD-365,Perfect Fitness Perfect Rip Deck,PCS,3.0,59.99,0.0,0.0,170.97,3.0
78,77,121.0,DC-PROD-365,Perfect Fitness Perfect Rip Deck,PCS,3.0,59.99,0.0,0.0,170.07,3.0
79,78,121.0,DC-PROD-365,Perfect Fitness Perfect Rip Deck,PCS,3.0,59.99,0.0,0.0,167.37,3.0
80,78,121.0,DC-PROD-365,Perfect Fitness Perfect Rip Deck,PCS,3.0,59.99,0.0,0.0,163.77,3.0
81,79,121.0,DC-PROD-365,Perfect Fitness Perfect Rip Deck,PCS,3.0,59.99,0.0,0.0,152.97,3.0
82,80,121.0,DC-PROD-365,Perfect Fitness Perfect Rip Deck,PCS,3.0,59.99,0.0,0.0,152.97,3.0
83,81,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,3.0,50.0,0.0,0.0,150.0,3.0
84,82,122.0,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,PCS,3.0,39.99,0.0,0.0,115.17,3.0
85,83,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,3.0,50.0,0.0,0.0,144.0,3.0
86,77,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,3.0,50.0,0.0,0.0,142.5,3.0
87,84,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,3.0,50.0,0.0,0.0,139.5,3.0
88,85,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,3.0,50.0,0.0,0.0,132.0,3.0
89,86,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,3.0,50.0,0.0,0.0,132.0,3.0
90,86,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,3.0,50.0,0.0,0.0,130.5,3.0
91,87,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,3.0,50.0,0.0,0.0,124.5,3.0
92,88,122.0,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,PCS,3.0,39.99,0.0,0.0,99.58,3.0
93,89,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,5.0,50.0,0.0,0.0,240.0,5.0
94,90,122.0,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,PCS,5.0,39.99,0.0,0.0,189.95,5.0
95,91,122.0,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,PCS,5.0,39.99,0.0,0.0,188.95,5.0
96,92,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,5.0,50.0,0.0,0.0,236.25,5.0
97,93,123.0,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,PCS,5.0,50.0,0.0,0.0,236.25,5.0
