id,po_number,vendor_id,amount,status,order_date,expected_delivery,actual_delivery,pr_id,pr_number,created_at,approved_at,received_at,category,department,created_by
1,DC-PO-77202,VND0000002,314.64,Received,2018-01-31,2018-02-04,2018-02-03,,,2018-01-31 22:56:00,2018-01-31 22:56:00,2018-02-03,Sporting Goods,Fitness,
2,DC-PO-75939,VND0000002,311.36,Received,2018-01-13,2018-01-17,2018-01-18,,,2018-01-13 12:27:00,2018-01-13 12:27:00,2018-01-18,Sporting Goods,Fitness,
3,DC-PO-75938,VND0000002,309.72,Received,2018-01-13,2018-01-17,2018-01-17,,,2018-01-13 12:06:00,2018-01-13 12:06:00,2018-01-17,Sporting Goods,Fitness,
4,DC-PO-75937,VND0000002,304.81,Received,2018-01-13,2018-01-17,2018-01-16,,,2018-01-13 11:45:00,2018-01-13 11:45:00,2018-01-16,Sporting Goods,Fitness,
5,DC-PO-75936,VND0000002,298.25,Received,2018-01-13,2018-01-17,2018-01-15,,,2018-01-13 11:24:00,2018-01-13 11:24:00,2018-01-15,Sporting Goods,Fitness,
6,DC-PO-75935,VND0000002,294.98,Received,2018-01-13,2018-01-17,2018-01-19,,,2018-01-13 11:03:00,2018-01-13 11:03:00,2018-01-19,Sporting Goods,Fitness,
7,DC-PO-75934,VND0000002,288.42,Received,2018-01-13,2018-01-14,2018-01-15,,,2018-01-13 10:42:00,2018-01-13 10:42:00,2018-01-15,Sporting Goods,Fitness,
8,DC-PO-75933,VND0000002,285.14,Received,2018-01-13,2018-01-14,2018-01-15,,,2018-01-13 10:21:00,2018-01-13 10:21:00,2018-01-15,Sporting Goods,Fitness,
9,DC-PO-75932,VND0000002,278.59,Received,2018-01-13,2018-01-15,2018-01-16,,,2018-01-13 10:00:00,2018-01-13 10:00:00,2018-01-16,Sporting Goods,Fitness,
10,DC-PO-75931,VND0000002,275.31,Received,2018-01-13,2018-01-14,2018-01-15,,,2018-01-13 09:39:00,2018-01-13 09:39:00,2018-01-15,Sporting Goods,Fitness,
11,DC-PO-75930,VND0000002,272.03,Received,2018-01-13,2018-01-15,2018-01-19,,,2018-01-13 09:18:00,2018-01-13 09:18:00,2018-01-19,Sporting Goods,Fitness,
12,DC-PO-75929,VND0000002,268.76,Received,2018-01-13,2018-01-15,2018-01-18,,,2018-01-13 08:57:00,2018-01-13 08:57:00,2018-01-18,Sporting Goods,Fitness,
13,DC-PO-75928,VND0000002,262.2,Received,2018-01-13,2018-01-15,2018-01-17,,,2018-01-13 08:36:00,2018-01-13 08:36:00,2018-01-17,Sporting Goods,Fitness,
14,DC-PO-75927,VND0000002,245.81,Received,2018-01-13,2018-01-14,2018-01-15,,,2018-01-13 08:15:00,2018-01-13 08:15:00,2018-01-15,Sporting Goods,Fitness,
15,DC-PO-75926,VND0000002,327.75,Received,2018-01-13,2018-01-14,2018-01-15,,,2018-01-13 07:54:00,2018-01-13 07:54:00,2018-01-15,Sporting Goods,Fitness,
16,DC-PO-75925,VND0000002,324.47,Received,2018-01-13,2018-01-14,2018-01-15,,,2018-01-13 07:33:00,2018-01-13 07:33:00,2018-01-15,Sporting Goods,Fitness,
17,DC-PO-75924,VND0000002,321.2,Received,2018-01-13,2018-01-15,2018-01-18,,,2018-01-13 07:12:00,2018-01-13 07:12:00,2018-01-18,Sporting Goods,Fitness,
18,DC-PO-75923,VND0000002,317.92,Received,2018-01-13,2018-01-14,2018-01-15,,,2018-01-13 06:51:00,2018-01-13 06:51:00,2018-01-15,Sporting Goods,Fitness,
19,DC-PO-75922,VND0000002,314.64,Received,2018-01-13,2018-01-14,2018-01-15,,,2018-01-13 06:30:00,2018-01-13 06:30:00,2018-01-15,Sporting Goods,Fitness,
20,DC-PO-75921,VND0000002,311.36,Received,2018-01-13,2018-01-13,2018-01-13,,,2018-01-13 06:09:00,2018-01-13 06:09:00,2018-01-13,Sporting Goods,Fitness,
21,DC-PO-75920,VND0000002,309.72,Received,2018-01-13,2018-01-13,2018-01-13,,,2018-01-13 05:48:00,2018-01-13 05:48:00,2018-01-13,Sporting Goods,Fitness,
22,DC-PO-75919,VND0000002,304.81,Received,2018-01-13,2018-01-17,2018-01-18,,,2018-01-13 05:27:00,2018-01-13 05:27:00,2018-01-18,Sporting Goods,Fitness,
23,DC-PO-75918,VND0000002,298.25,Received,2018-01-13,2018-01-15,2018-01-17,,,2018-01-13 05:06:00,2018-01-13 05:06:00,2018-01-17,Sporting Goods,Fitness,
24,DC-PO-75917,VND0000002,294.98,Received,2018-01-13,2018-01-15,2018-01-16,,,2018-01-13 04:45:00,2018-01-13 04:45:00,2018-01-16,Sporting Goods,Fitness,
25,DC-PO-75916,VND0000002,288.42,Received,2018-01-13,2018-01-15,2018-01-15,,,2018-01-13 04:24:00,2018-01-13 04:24:00,2018-01-15,Sporting Goods,Fitness,
26,DC-PO-75915,VND0000002,285.14,Received,2018-01-13,2018-01-15,2018-01-19,,,2018-01-13 04:03:00,2018-01-13 04:03:00,2018-01-19,Sporting Goods,Fitness,
27,DC-PO-75914,VND0000002,278.59,Received,2018-01-13,2018-01-15,2018-01-18,,,2018-01-13 03:42:00,2018-01-13 03:42:00,2018-01-18,Sporting Goods,Fitness,
28,DC-PO-75913,VND0000002,275.31,Received,2018-01-13,2018-01-17,2018-01-17,,,2018-01-13 03:21:00,2018-01-13 03:21:00,2018-01-17,Sporting Goods,Fitness,
29,DC-PO-75912,VND0000002,272.03,Received,2018-01-13,2018-01-17,2018-01-16,,,2018-01-13 03:00:00,2018-01-13 03:00:00,2018-01-16,Sporting Goods,Fitness,
30,DC-PO-75911,VND0000002,268.76,Received,2018-01-13,2018-01-17,2018-01-15,,,2018-01-13 02:39:00,2018-01-13 02:39:00,2018-01-15,Sporting Goods,Fitness,
31,DC-PO-75910,VND0000002,262.2,Received,2018-01-13,2018-01-17,2018-01-19,,,2018-01-13 02:18:00,2018-01-13 02:18:00,2018-01-19,Sporting Goods,Fitness,
32,DC-PO-75909,VND0000002,245.81,Received,2018-01-13,2018-01-17,2018-01-18,,,2018-01-13 01:57:00,2018-01-13 01:57:00,2018-01-18,Sporting Goods,Fitness,
33,DC-PO-75908,VND0000002,327.75,Received,2018-01-13,2018-01-17,2018-01-17,,,2018-01-13 01:36:00,2018-01-13 01:36:00,2018-01-17,Sporting Goods,Fitness,
34,DC-PO-75907,VND0000002,324.47,Received,2018-01-13,2018-01-14,2018-01-15,,,2018-01-13 01:15:00,2018-01-13 01:15:00,2018-01-15,Sporting Goods,Fitness,
35,DC-PO-75906,VND0000002,321.2,Received,2018-01-13,2018-01-14,2018-01-15,,,2018-01-13 00:54:00,2018-01-13 00:54:00,2018-01-15,Sporting Goods,Fitness,
36,DC-PO-75905,VND0000002,317.92,Received,2018-01-13,2018-01-14,2018-01-15,,,2018-01-13 00:33:00,2018-01-13 00:33:00,2018-01-15,Sporting Goods,Fitness,
37,DC-PO-75904,VND0000002,314.64,Received,2018-01-13,2018-01-14,2018-01-15,,,2018-01-13 00:12:00,2018-01-13 00:12:00,2018-01-15,Sporting Goods,Fitness,
38,DC-PO-75903,VND0000002,311.36,Received,2018-01-12,2018-01-13,2018-01-14,,,2018-01-12 23:51:00,2018-01-12 23:51:00,2018-01-14,Sporting Goods,Fitness,
39,DC-PO-75902,VND0000002,309.72,Received,2018-01-12,2018-01-12,2018-01-13,,,2018-01-12 23:30:00,2018-01-12 23:30:00,2018-01-13,Sporting Goods,Fitness,
40,DC-PO-75901,VND0000002,304.81,Received,2018-01-12,2018-01-12,2018-01-13,,,2018-01-12 23:09:00,2018-01-12 23:09:00,2018-01-13,Sporting Goods,Fitness,
41,DC-PO-75900,VND0000002,298.25,Received,2018-01-12,2018-01-12,2018-01-13,,,2018-01-12 22:48:00,2018-01-12 22:48:00,2018-01-13,Sporting Goods,Fitness,
42,DC-PO-75899,VND0000002,294.98,Received,2018-01-12,2018-01-12,2018-01-13,,,2018-01-12 22:27:00,2018-01-12 22:27:00,2018-01-13,Sporting Goods,Fitness,
43,DC-PO-75898,VND0000002,288.42,Received,2018-01-12,2018-01-16,2018-01-16,,,2018-01-12 22:05:00,2018-01-12 22:05:00,2018-01-16,Sporting Goods,Fitness,
44,DC-PO-75897,VND0000002,285.14,Received,2018-01-12,2018-01-16,2018-01-15,,,2018-01-12 21:44:00,2018-01-12 21:44:00,2018-01-15,Sporting Goods,Fitness,
45,DC-PO-75896,VND0000002,278.59,Received,2018-01-12,2018-01-16,2018-01-14,,,2018-01-12 21:23:00,2018-01-12 21:23:00,2018-01-14,Sporting Goods,Fitness,
46,DC-PO-75895,VND0000002,275.31,Received,2018-01-12,2018-01-16,2018-01-18,,,2018-01-12 21:02:00,2018-01-12 21:02:00,2018-01-18,Sporting Goods,Fitness,
47,DC-PO-75894,VND0000002,272.03,Received,2018-01-12,2018-01-14,2018-01-17,,,2018-01-12 20:41:00,2018-01-12 20:41:00,2018-01-17,Sporting Goods,Fitness,
48,DC-PO-75893,VND0000002,268.76,Received,2018-01-12,2018-01-16,2018-01-16,,,2018-01-12 20:20:00,2018-01-12 20:20:00,2018-01-16,Sporting Goods,Fitness,
49,DC-PO-28744,VND0000005,549.12,Received,2016-02-24,2016-02-26,2016-02-29,,,2016-02-24 13:57:00,2016-02-24 13:57:00,2016-02-29,Cleats,Apparel,
50,DC-PO-45461,VND0000005,620.6,Received,2016-10-25,2016-10-27,2016-10-27,,,2016-10-25 14:39:00,2016-10-25 14:39:00,2016-10-27,Shop By Sport,Golf,
51,DC-PO-31115,VND0000005,1140.83,Received,2016-03-30,2016-04-01,2016-04-05,,,2016-03-30 04:37:00,2016-03-30 04:37:00,2016-04-05,Women's Apparel,Golf,
52,DC-PO-45766,VND0000005,500.54,Received,2016-10-30,2016-11-01,2016-11-01,,,2016-10-30 01:31:00,2016-10-30 01:31:00,2016-11-01,Shop By Sport,Golf,
53,DC-PO-47752,VND0000002,741.11,Received,2016-11-28,2016-11-30,2016-12-01,,,2016-11-28 01:18:00,2016-11-28 01:18:00,2016-12-01,Women's Apparel,Golf,
54,DC-PO-50054,VND0000005,865.95,Received,2016-12-31,2017-01-02,2017-01-05,,,2016-12-31 15:47:00,2016-12-31 15:47:00,2017-01-05,Women's Apparel,Golf,
55,DC-PO-20365,VND0000005,714.96,Received,2015-10-25,2015-10-27,2015-10-31,,,2015-10-25 06:24:00,2015-10-25 06:24:00,2015-10-31,Women's Apparel,Golf,
56,DC-PO-36146,VND0000001,74.68,Received,2016-06-11,2016-06-13,2016-06-13,,,2016-06-11 15:12:00,2016-06-11 15:12:00,2016-06-13,Electronics,Footwear,
57,DC-PO-41234,VND0000002,90.15,Received,2016-08-24,2016-08-26,2016-08-29,,,2016-08-24 21:45:00,2016-08-24 21:45:00,2016-08-29,Boxing & MMA,Footwear,
58,DC-PO-32090,VND0000002,311.17,Received,2016-04-13,2016-04-15,2016-04-19,,,2016-04-13 10:12:00,2016-04-13 10:12:00,2016-04-19,Cleats,Apparel,
59,DC-PO-34773,VND0000003,241.48,Received,2016-05-22,2016-05-24,2016-05-26,,,2016-05-22 14:10:00,2016-05-22 14:10:00,2016-05-26,Cleats,Apparel,
60,DC-PO-44046,VND0000005,360.93,Received,2016-10-04,2016-10-06,2016-10-06,,,2016-10-04 22:55:00,2016-10-04 22:55:00,2016-10-06,Cardio Equipment,Footwear,
61,DC-PO-46414,VND0000005,793.93,Received,2016-11-08,2016-11-10,2016-11-13,,,2016-11-08 12:32:00,2016-11-08 12:32:00,2016-11-13,Shop By Sport,Golf,
62,DC-PO-46599,VND0000003,281.1,Received,2016-11-11,2016-11-13,2016-11-16,,,2016-11-11 05:21:00,2016-11-11 05:21:00,2016-11-16,Trade-In,Outdoors,
63,DC-PO-48434,VND0000003,434.55,Received,2016-12-08,2016-12-10,2016-12-13,,,2016-12-08 00:14:00,2016-12-08 00:14:00,2016-12-13,Electronics,Outdoors,
64,DC-PO-12827,VND0000005,680.0,Received,2015-07-07,2015-07-09,2015-07-10,,,2015-07-07 05:31:00,2015-07-07 05:31:00,2015-07-10,Cardio Equipment,Footwear,
65,DC-PO-63936,VND0000005,537.44,Received,2017-07-22,2017-07-24,2017-07-24,,,2017-07-22 07:16:00,2017-07-22 07:16:00,2017-07-24,Cardio Equipment,Footwear,
66,DC-PO-65030,VND0000003,877.4,Received,2017-08-07,2017-08-09,2017-08-13,,,2017-08-07 06:33:00,2017-08-07 06:33:00,2017-08-13,Cardio Equipment,Footwear,
67,DC-PO-18108,VND0000003,435.05,Received,2015-09-22,2015-09-24,2015-09-26,,,2015-09-22 07:41:00,2015-09-22 07:41:00,2015-09-26,Cleats,Apparel,
68,DC-PO-62571,VND0000005,343.3,Received,2017-07-02,2017-07-04,2017-07-04,,,2017-07-02 09:03:00,2017-07-02 09:03:00,2017-07-04,Cleats,Apparel,
69,DC-PO-17162,VND0000002,681.29,Received,2015-09-08,2015-09-10,2015-09-11,,,2015-09-08 12:15:00,2015-09-08 12:15:00,2015-09-11,Cleats,Apparel,
70,DC-PO-65922,VND0000005,710.18,Received,2017-08-20,2017-08-22,2017-08-23,,,2017-08-20 07:03:00,2017-08-20 07:03:00,2017-08-23,Cleats,Apparel,
71,DC-PO-64813,VND0000005,1000.3,Received,2017-08-04,2017-08-06,2017-08-08,,,2017-08-04 02:31:00,2017-08-04 02:31:00,2017-08-08,Shop By Sport,Golf,
72,DC-PO-67892,VND0000005,655.38,Received,2017-09-18,2017-09-20,2017-09-21,,,2017-09-18 01:14:00,2017-09-18 01:14:00,2017-09-21,Women's Apparel,Golf,
73,DC-PO-12525,VND0000005,501.84,Received,2015-07-02,2015-07-04,2015-07-08,,,2015-07-02 19:42:00,2015-07-02 19:42:00,2015-07-08,Trade-In,Outdoors,
74,DC-PO-5895,VND0000005,1141.89,Received,2015-03-28,2015-03-30,2015-04-03,,,2015-03-28 00:55:00,2015-03-28 00:55:00,2015-04-03,Cardio Equipment,Footwear,
75,DC-PO-56359,VND0000002,178.17,Received,2017-04-02,2017-04-04,2017-04-07,,,2017-04-02 16:43:00,2017-04-02 16:43:00,2017-04-07,Cleats,Apparel,
76,DC-PO-58613,VND0000005,671.43,Received,2017-05-05,2017-05-07,2017-05-09,,,2017-05-05 14:23:00,2017-05-05 14:23:00,2017-05-09,Cleats,Apparel,
77,DC-PO-7824,VND0000005,894.54,Received,2015-04-25,2015-04-27,2015-04-30,,,2015-04-25 04:44:00,2015-04-25 04:44:00,2015-04-30,Cleats,Apparel,
78,DC-PO-7814,VND0000002,517.13,Received,2015-04-25,2015-04-27,2015-04-30,,,2015-04-25 01:14:00,2015-04-25 01:14:00,2015-04-30,Cleats,Apparel,
79,DC-PO-60807,VND0000002,520.3,Received,2017-06-06,2017-06-08,2017-06-09,,,2017-06-06 15:03:00,2017-06-06 15:03:00,2017-06-09,Cleats,Apparel,
80,DC-PO-53413,VND0000002,738.84,Received,2017-02-18,2017-02-20,2017-02-22,,,2017-02-18 16:36:00,2017-02-18 16:36:00,2017-02-22,Cleats,Apparel,
81,DC-PO-7888,VND0000003,150.0,Received,2015-04-26,2015-04-28,2015-04-30,,,2015-04-26 03:10:00,2015-04-26 03:10:00,2015-04-30,Women's Apparel,Golf,
82,DC-PO-6783,VND0000005,1171.57,Received,2015-04-10,2015-04-12,2015-04-14,,,2015-04-10 00:02:00,2015-04-10 00:02:00,2015-04-14,Shop By Sport,Golf,
83,DC-PO-56973,VND0000005,983.5,Received,2017-04-11,2017-04-13,2017-04-15,,,2017-04-11 15:49:00,2017-04-11 15:49:00,2017-04-15,Women's Apparel,Golf,
84,DC-PO-55155,VND0000003,425.17,Received,2017-03-16,2017-03-18,2017-03-22,,,2017-03-16 02:54:00,2017-03-16 02:54:00,2017-03-22,Women's Apparel,Golf,
