id,shipment_id,inventory_item_id,purchase_order_item_id,item_code,item_description,quantity,uom,total_weight,weight_unit,total_volume,volume_unit,created_at
180520,65753,120,1,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.819197
180521,65754,120,2,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.819516
180522,65755,120,3,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.819620
180523,65756,120,4,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.819691
180524,65757,120,5,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.819754
180525,65758,120,6,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.819803
180526,65759,120,7,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.819850
180527,65760,120,8,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.819902
180528,65761,120,9,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.819964
180529,65762,120,10,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.820015
180530,65763,120,11,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.820126
180531,65764,120,12,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.820259
180532,65765,120,13,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.820375
180533,65766,120,14,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.820462
180534,65767,120,15,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.820587
180535,65768,120,16,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.820670
180536,65769,120,17,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.820716
180537,65770,120,18,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.820761
180538,65771,120,19,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.820805
180539,65772,120,20,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.820862
180540,65773,120,21,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.820906
180541,65774,120,22,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.820970
180542,65775,120,23,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821028
180543,65776,120,24,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821072
180544,65777,120,25,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821119
180545,65778,120,26,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821193
180546,65779,120,27,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821245
180547,65780,120,28,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821285
180548,65781,120,29,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821324
180549,65782,120,30,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821364
180550,65783,120,31,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821404
180551,65784,120,32,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821444
180552,65785,120,33,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821483
180553,65786,120,34,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821523
180554,65787,120,35,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821562
180555,65788,120,36,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821600
180556,65789,120,37,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821638
180557,65790,120,38,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821677
180558,65791,120,39,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821716
180559,65792,120,40,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821757
180560,65793,120,41,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821796
180561,65794,120,42,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821834
