id,issue,severity,status,detected_at,resolved_at,details
1,SYSTEMA-000001,Info,Open,2027-02-13 08:49:14,2026-06-14 08:51:24,SYSTEMA-000001
2,SYSTEMA-000002,Info,Open,2026-10-04 11:21:17,2026-02-03 13:44:44,SYSTEMA-000002
3,SYSTEMA-000003,Info,Open,2026-12-19 09:32:48,2027-01-02 09:25:11,SYSTEMA-000003
4,SYSTEMA-000004,Info,Open,2026-03-26 11:50:27,2027-02-23 11:00:39,SYSTEMA-000004
5,SYSTEMA-000005,Info,Open,2026-06-16 17:26:26,2025-09-10 18:26:32,SYSTEMA-000005
6,SYSTEMA-000006,Info,Open,2026-11-26 14:15:54,2027-01-23 10:19:05,SYSTEMA-000006
7,SYSTEMA-000007,Info,Open,2025-11-04 08:41:19,2025-12-19 08:00:41,SYSTEMA-000007
8,SYSTEMA-000008,Info,Open,2027-01-23 11:23:34,2026-03-10 11:30:34,SYSTEMA-000008
9,SYSTEMA-000009,Info,Open,2025-12-10 16:58:52,2025-11-21 09:00:41,SYSTEMA-000009
10,SYSTEMA-000010,Info,Open,2026-12-20 18:48:34,2026-12-09 12:25:19,SYSTEMA-000010
11,SYSTEMA-000011,Info,Open,2026-10-12 18:13:21,2026-10-07 10:26:39,SYSTEMA-000011
12,SYSTEMA-000012,Info,Open,2026-01-26 11:58:32,2026-11-11 15:33:00,SYSTEMA-000012
13,SYSTEMA-000013,Info,Open,2026-05-19 10:40:14,2025-10-20 10:38:03,SYSTEMA-000013
14,SYSTEMA-000014,Info,Open,2026-12-10 13:03:09,2026-06-07 15:31:34,SYSTEMA-000014
15,SYSTEMA-000015,Info,Open,2026-10-31 09:15:17,2026-04-04 11:08:39,SYSTEMA-000015
16,SYSTEMA-000016,Info,Open,2026-04-26 16:47:24,2026-06-03 11:08:55,SYSTEMA-000016
17,SYSTEMA-000017,Info,Open,2026-07-06 08:07:13,2025-11-15 09:23:47,SYSTEMA-000017
18,SYSTEMA-000018,Info,Open,2026-06-06 11:25:27,2027-03-28 11:47:32,SYSTEMA-000018
19,SYSTEMA-000019,Info,Open,2026-04-18 11:58:16,2025-09-12 15:27:46,SYSTEMA-000019
20,SYSTEMA-000020,Info,Open,2025-09-16 10:43:50,2026-01-29 11:03:13,SYSTEMA-000020
21,SYSTEMA-000021,Info,Open,2026-05-27 09:52:41,2026-06-01 09:41:18,SYSTEMA-000021
22,SYSTEMA-000022,Info,Open,2027-03-15 13:45:30,2026-12-18 17:25:02,SYSTEMA-000022
23,SYSTEMA-000023,Info,Open,2026-08-24 15:11:42,2026-09-17 11:07:49,SYSTEMA-000023
24,SYSTEMA-000024,Info,Open,2027-03-28 16:47:02,2026-04-16 14:58:08,SYSTEMA-000024
25,SYSTEMA-000025,Info,Open,2026-10-19 14:50:23,2025-12-08 10:33:01,SYSTEMA-000025
26,SYSTEMA-000026,Info,Open,2027-02-04 17:50:09,2025-12-03 15:31:24,SYSTEMA-000026
27,SYSTEMA-000027,Info,Open,2025-12-05 13:06:12,2026-06-06 11:10:44,SYSTEMA-000027
28,SYSTEMA-000028,Info,Open,2026-04-17 12:25:55,2026-08-05 14:25:00,SYSTEMA-000028
29,SYSTEMA-000029,Info,Open,2027-03-05 11:29:05,2025-10-18 11:16:52,SYSTEMA-000029
30,SYSTEMA-000030,Info,Open,2025-11-21 15:35:08,2025-11-18 13:21:35,SYSTEMA-000030
31,SYSTEMA-000031,Info,Open,2025-12-13 12:33:50,2026-06-27 10:33:48,SYSTEMA-000031
32,SYSTEMA-000032,Info,Open,2026-10-29 08:15:46,2025-11-06 13:59:27,SYSTEMA-000032
33,SYSTEMA-000033,Info,Open,2027-03-30 11:44:56,2025-12-06 15:11:59,SYSTEMA-000033
34,SYSTEMA-000034,Info,Open,2026-02-19 14:45:51,2025-11-16 12:06:24,SYSTEMA-000034
35,SYSTEMA-000035,Info,Open,2027-01-28 15:27:57,2026-01-11 09:52:01,SYSTEMA-000035
36,SYSTEMA-000036,Info,Open,2025-11-30 09:01:21,2026-05-25 10:30:02,SYSTEMA-000036
37,SYSTEMA-000037,Info,Open,2026-07-01 16:14:28,2027-02-17 10:26:15,SYSTEMA-000037
38,SYSTEMA-000038,Info,Open,2026-04-05 08:08:17,2025-09-26 11:33:42,SYSTEMA-000038
