id,vendor_id,month,year,on_time_deliveries,delayed_deliveries,quality_rating,response_time,issue_resolution_time,order_completion_rate,overall_score,compliance_score
1,VND0000001,January,2015,61.0,65.0,3.4,0.0,0.0,48.41,52.32,48.41
2,VND0000001,February,2015,49.0,59.0,3.19,0.0,0.0,45.37,49.07,45.37
3,VND0000001,March,2015,42.0,81.0,3.38,0.0,0.0,34.15,40.83,34.15
4,VND0000001,April,2015,38.0,59.0,3.22,0.0,0.0,39.18,44.22,39.18
5,VND0000001,May,2015,47.0,73.0,3.26,0.0,0.0,39.17,44.39,39.17
6,VND0000001,June,2015,51.0,58.0,3.3,0.0,0.0,46.79,50.62,46.79
7,VND0000001,July,2015,49.0,70.0,3.15,0.0,0.0,41.18,45.56,41.18
8,VND0000001,August,2015,50.0,69.0,3.37,0.0,0.0,42.02,47.11,42.02
9,VND0000001,September,2015,48.0,70.0,3.28,0.0,0.0,40.68,45.66,40.68
10,VND0000001,October,2015,34.0,67.0,3.21,0.0,0.0,33.66,39.77,33.66
11,VND0000001,November,2015,48.0,89.0,3.23,0.0,0.0,35.04,40.95,35.04
12,VND0000001,December,2015,60.0,80.0,3.29,0.0,0.0,42.86,47.45,42.86
13,VND0000001,January,2016,45.0,63.0,3.2,0.0,0.0,41.67,46.12,41.67
14,VND0000001,February,2016,50.0,66.0,3.14,0.0,0.0,43.1,47.02,43.1
15,VND0000001,March,2016,42.0,63.0,3.25,0.0,0.0,40.0,45.01,40.0
16,VND0000001,April,2016,43.0,49.0,3.25,0.0,0.0,46.74,50.41,46.74
17,VND0000001,May,2016,47.0,63.0,3.19,0.0,0.0,42.73,46.95,42.73
18,VND0000001,June,2016,49.0,68.0,3.14,0.0,0.0,41.88,46.05,41.88
19,VND0000001,July,2016,39.0,75.0,3.19,0.0,0.0,34.21,40.12,34.21
20,VND0000001,August,2016,52.0,72.0,3.2,0.0,0.0,41.94,46.34,41.94
21,VND0000001,September,2016,59.0,60.0,3.29,0.0,0.0,49.58,52.84,49.58
22,VND0000001,October,2016,59.0,67.0,3.21,0.0,0.0,46.83,50.3,46.83
23,VND0000001,November,2016,50.0,66.0,3.37,0.0,0.0,43.1,47.97,43.1
24,VND0000001,December,2016,40.0,64.0,3.33,0.0,0.0,38.46,44.08,38.46
25,VND0000001,January,2017,43.0,52.0,3.19,0.0,0.0,45.26,48.96,45.26
26,VND0000001,February,2017,37.0,64.0,3.34,0.0,0.0,36.63,42.67,36.63
27,VND0000001,March,2017,43.0,73.0,3.15,0.0,0.0,37.07,42.27,37.07
28,VND0000001,April,2017,34.0,42.0,3.21,0.0,0.0,44.74,48.64,44.74
29,VND0000001,October,2017,465.0,642.0,3.25,0.0,0.0,42.01,46.6,42.01
30,VND0000001,November,2017,370.0,523.0,3.2,0.0,0.0,41.43,45.93,41.43
31,VND0000001,December,2017,330.0,400.0,3.28,0.0,0.0,45.21,49.28,45.21
32,VND0000001,January,2018,322.0,439.0,3.21,0.0,0.0,42.31,46.68,42.31
33,VND0000002,January,2015,597.0,770.0,3.23,0.0,0.0,43.67,47.86,43.67
