id,warehouse_code,warehouse_name,location,manager_name,status,created_at,updated_at,capacity_sq_ft,latitude,longitude
1,WH-001,Canada Warehouse,Canada,DataCo Operations,Active,2026-09-14 12:15:43.718807,2026-09-14 12:15:43.718812,100000.0,,
2,WH-002,Caribbean Warehouse,Caribbean,DataCo Operations,Active,2026-09-14 12:15:43.721055,2026-09-14 12:15:43.721059,100000.0,,
3,WH-003,Central Africa Warehouse,Central Africa,DataCo Operations,Active,2026-09-14 12:15:43.721985,2026-09-14 12:15:43.721989,100000.0,,
4,WH-004,Central America Warehouse,Central America,DataCo Operations,Active,2026-09-14 12:15:43.722781,2026-09-14 12:15:43.722785,100000.0,,
5,WH-005,Central Asia Warehouse,Central Asia,DataCo Operations,Active,2026-09-14 12:15:43.723517,2026-09-14 12:15:43.723520,100000.0,,
6,WH-006,East Africa Warehouse,East Africa,DataCo Operations,Active,2026-09-14 12:15:43.724320,2026-09-14 12:15:43.724324,100000.0,,
7,WH-007,East of USA Warehouse,East of USA,DataCo Operations,Active,2026-09-14 12:15:43.725056,2026-09-14 12:15:43.725060,100000.0,,
8,WH-008,Eastern Asia Warehouse,Eastern Asia,DataCo Operations,Active,2026-09-14 12:15:43.725701,2026-09-14 12:15:43.725704,100000.0,,
9,WH-009,Eastern Europe Warehouse,Eastern Europe,DataCo Operations,Active,2026-09-14 12:15:43.726465,2026-09-14 12:15:43.726469,100000.0,,
10,WH-010,North Africa Warehouse,North Africa,DataCo Operations,Active,2026-09-14 12:15:43.727340,2026-09-14 12:15:43.727343,100000.0,,
11,WH-011,Northern Europe Warehouse,Northern Europe,DataCo Operations,Active,2026-09-14 12:15:43.727988,2026-09-14 12:15:43.727991,100000.0,,
12,WH-012,Oceania Warehouse,Oceania,DataCo Operations,Active,2026-09-14 12:15:43.728638,2026-09-14 12:15:43.728641,100000.0,,
13,WH-013,South America Warehouse,South America,DataCo Operations,Active,2026-09-14 12:15:43.729272,2026-09-14 12:15:43.729275,100000.0,,
14,WH-014,South Asia Warehouse,South Asia,DataCo Operations,Active,2026-09-14 12:15:43.729914,2026-09-14 12:15:43.729917,100000.0,,
15,WH-015,South of USA Warehouse,South of USA,DataCo Operations,Active,2026-09-14 12:15:43.730588,2026-09-14 12:15:43.730591,100000.0,,
16,WH-016,Southeast Asia Warehouse,Southeast Asia,DataCo Operations,Active,2026-09-14 12:15:43.731143,2026-09-14 12:15:43.731146,100000.0,,
17,WH-017,Southern Africa Warehouse,Southern Africa,DataCo Operations,Active,2026-09-14 12:15:43.731667,2026-09-14 12:15:43.731670,100000.0,,
18,WH-018,Southern Europe Warehouse,Southern Europe,DataCo Operations,Active,2026-09-14 12:15:43.732193,2026-09-14 12:15:43.732196,100000.0,,
19,WH-019,US Center Warehouse,US Center,DataCo Operations,Active,2026-09-14 12:15:43.732756,2026-09-14 12:15:43.732759,100000.0,,
20,WH-020,West Africa Warehouse,West Africa,DataCo Operations,Active,2026-09-14 12:15:43.733290,2026-09-14 12:15:43.733293,100000.0,,
21,WH-021,West Asia Warehouse,West Asia,DataCo Operations,Active,2026-09-14 12:15:43.733807,2026-09-14 12:15:43.733810,100000.0,,
22,WH-022,West of USA Warehouse,West of USA,DataCo Operations,Active,2026-09-14 12:15:43.734328,2026-09-14 12:15:43.734331,100000.0,,
23,WH-023,Western Europe Warehouse,Western Europe,DataCo Operations,Active,2026-09-14 12:15:43.734886,2026-09-14 12:15:43.734889,100000.0,,
