id,userId,action,entity,entityId,timestamp
1,2,Contract Created,Vendor,457,2024-07-11
2,5,Purchase Order Created,PurchaseOrder,774,2026-05-18
3,5,User Account Updated,Contract,634,2025-10-07
4,1,Vendor Approved,Reliability,940,2026-02-20
5,5,Vendor Updated,Reliability,600,2025-03-09
6,6,Invoice Reviewed,ProcurementRequest,445,2024-04-21
7,2,Reliability Score Calculated,Vendor,801,2026-05-10
8,4,Purchase Order Approved,Contract,285,2026-01-08
9,4,Compliance Review Completed,Contract,386,2024-09-22
10,4,Contract Created,Reliability,365,2025-01-26
11,2,Purchase Order Updated,Vendor,569,2024-09-24
12,3,Vendor Approved,User,697,2024-03-20
13,6,Compliance Review Completed,ProcurementRequest,254,2026-03-24
14,5,Contract Updated,Invoice,159,2024-12-30
15,4,Vendor Approved,Invoice,593,2026-06-24
16,2,Contract Created,Contract,123,2024-01-09
17,2,Contract Created,ProcurementRequest,644,2024-12-08
18,1,Purchase Order Approved,PurchaseOrder,542,2025-11-23
19,2,Purchase Order Updated,User,342,2024-05-24
20,1,Purchase Order Created,PurchaseOrder,962,2026-08-05
21,6,Compliance Review Completed,User,555,2026-02-18
22,4,Purchase Order Updated,Reliability,578,2024-04-30
23,5,Reliability Score Calculated,Vendor,882,2026-05-09
24,5,Reliability Score Calculated,Reliability,542,2024-02-06
25,3,Vendor Updated,Invoice,877,2024-07-29
26,5,Reliability Score Calculated,Vendor,871,2026-05-31
27,3,Purchase Order Created,Vendor,995,2025-03-19
28,4,Purchase Order Created,Vendor,752,2025-11-17
29,5,Purchase Order Created,Reliability,55,2024-08-20
30,5,Contract Created,ProcurementRequest,20,2024-04-17
31,6,Procurement Request Created,User,487,2025-04-20
32,4,Contract Updated,PurchaseOrder,713,2025-12-06
33,1,Contract Updated,Reliability,663,2024-05-05
34,6,Vendor Approved,ProcurementRequest,14,2026-05-14
35,4,Vendor Rejected,Invoice,470,2024-02-05
36,5,Purchase Order Updated,Contract,301,2026-07-22
37,3,Purchase Order Updated,User,285,2024-01-26
38,4,Contract Updated,Vendor,911,2024-11-12
39,2,Contract Created,Contract,818,2025-03-20
40,4,Purchase Order Created,Invoice,659,2024-11-08
41,2,Vendor Rejected,Reliability,709,2026-08-05
42,6,Purchase Order Updated,User,821,2025-01-16
43,4,Procurement Request Approved,Contract,623,2024-11-18
44,5,Procurement Request Approved,Invoice,168,2025-07-30
45,4,Vendor Updated,User,419,2024-08-20
46,2,User Account Updated,Contract,224,2024-06-20
47,3,Purchase Order Created,Contract,775,2024-02-13
48,2,Invoice Reviewed,Reliability,650,2025-09-22
49,1,Contract Updated,User,42,2024-11-30
50,4,Procurement Request Created,Reliability,329,2025-11-30
51,1,Purchase Order Approved,Vendor,702,2024-08-27
52,3,Purchase Order Created,Vendor,915,2025-04-04
53,4,Contract Created,User,877,2024-08-24
54,2,Contract Updated,Reliability,520,2025-03-30
55,4,Reliability Score Calculated,User,561,2024-03-28
56,6,Invoice Reviewed,User,442,2024-02-04
57,3,Reliability Score Calculated,User,643,2024-03-29
58,5,Vendor Rejected,Contract,812,2024-01-08
59,2,Invoice Reviewed,ProcurementRequest,191,2026-06-05
60,2,Procurement Request Created,User,247,2025-03-28
61,3,User Account Updated,User,221,2025-04-18
62,2,Contract Created,Vendor,69,2024-08-11
63,1,Contract Created,ProcurementRequest,198,2024-10-21
64,1,Purchase Order Created,ProcurementRequest,881,2025-11-21
65,4,User Account Updated,Vendor,825,2025-03-23
66,6,Contract Created,PurchaseOrder,424,2024-05-07
67,1,Vendor Rejected,User,294,2025-04-17
68,4,Vendor Updated,Vendor,456,2024-07-28
69,3,Procurement Request Approved,Invoice,494,2026-06-26
70,2,User Account Updated,ProcurementRequest,320,2024-05-03
71,3,Compliance Review Completed,ProcurementRequest,955,2024-12-23
72,4,Compliance Review Completed,ProcurementRequest,463,2026-07-13
73,2,Vendor Rejected,User,101,2026-03-08
74,4,Contract Created,Invoice,335,2025-08-29
75,2,Procurement Request Created,Contract,237,2025-04-29
76,6,User Account Updated,Vendor,15,2025-07-12
77,6,Contract Created,Invoice,275,2024-08-16
78,5,Purchase Order Created,Vendor,128,2024-11-01
79,5,Invoice Reviewed,ProcurementRequest,486,2025-06-03
80,6,Vendor Rejected,Contract,383,2026-07-12
81,4,Vendor Approved,Invoice,543,2024-02-18
82,6,Reliability Score Calculated,ProcurementRequest,919,2024-03-11
83,5,Invoice Reviewed,Invoice,39,2026-02-08
84,6,Vendor Updated,ProcurementRequest,292,2026-08-28
85,4,Reliability Score Calculated,User,190,2025-07-23
86,5,Reliability Score Calculated,PurchaseOrder,443,2024-03-08
87,4,Purchase Order Created,ProcurementRequest,710,2025-01-21
88,1,Reliability Score Calculated,Invoice,469,2024-08-10
89,4,Compliance Review Completed,PurchaseOrder,81,2024-09-25
90,5,Purchase Order Created,User,96,2025-06-12
91,1,Purchase Order Created,Contract,933,2024-05-16
92,2,Contract Updated,User,207,2025-06-16
93,6,Vendor Approved,ProcurementRequest,348,2024-01-07
94,6,Purchase Order Created,Vendor,795,2026-07-08
95,6,Contract Created,Reliability,757,2024-08-23
96,3,Contract Updated,Vendor,671,2024-03-23
97,4,Purchase Order Approved,Contract,423,2024-09-18
98,5,Vendor Updated,User,489,2024-07-21
99,5,User Account Updated,Contract,569,2026-04-09
100,1,Purchase Order Created,PurchaseOrder,949,2026-01-15
101,4,Invoice Reviewed,PurchaseOrder,910,2025-12-16
102,2,Invoice Reviewed,Contract,830,2025-12-13
103,5,Vendor Rejected,Invoice,77,2025-01-07
104,3,Purchase Order Created,User,594,2024-07-08
105,3,User Account Updated,Invoice,548,2024-09-12
106,1,Vendor Updated,Vendor,205,2025-02-11
107,4,Vendor Rejected,Contract,53,2025-10-29
108,2,Purchase Order Created,Invoice,319,2024-03-15
109,6,Procurement Request Approved,Reliability,534,2025-04-10
110,4,Vendor Approved,PurchaseOrder,524,2025-05-19
111,3,Contract Updated,Vendor,484,2024-06-12
112,4,User Account Updated,User,257,2025-06-27
113,5,Vendor Rejected,Vendor,347,2025-12-12
114,1,Purchase Order Created,Invoice,91,2025-03-03
115,4,Contract Created,Vendor,178,2025-06-27
