id,contractNumber,vendorId,title,value,startDate,endDate,status,complianceStatus
1,CTR-2026-00001,74,Supplier Agreement 0001,829378,2025-04-24,2026-05-04,Expiring,Non-Compliant
2,CTR-2026-00002,36,Supplier Agreement 0002,799831,2025-04-21,2027-01-23,Expired,Compliant
3,CTR-2026-00003,84,Supplier Agreement 0003,628165,2024-12-04,2025-08-15,Active,Review Required
4,CTR-2026-00004,59,Supplier Agreement 0004,445967,2025-06-24,2027-03-08,Expired,Review Required
5,CTR-2026-00005,1,Supplier Agreement 0005,363044,2025-02-03,2025-08-21,Active,Non-Compliant
6,CTR-2026-00006,20,Supplier Agreement 0006,830074,2024-09-22,2025-11-04,Active,Review Required
7,CTR-2026-00007,69,Supplier Agreement 0007,627342,2025-04-13,2026-05-03,Expiring,Review Required
8,CTR-2026-00008,92,Supplier Agreement 0008,180486,2025-08-13,2026-07-15,Active,Compliant
9,CTR-2026-00009,40,Supplier Agreement 0009,656160,2024-07-04,2025-04-13,Active,Compliant
10,CTR-2026-00010,100,Supplier Agreement 0010,368367,2024-05-10,2025-10-28,Draft,Review Required
11,CTR-2026-00011,30,Supplier Agreement 0011,469893,2024-08-01,2025-08-22,Active,Review Required
12,CTR-2026-00012,30,Supplier Agreement 0012,945269,2024-08-10,2026-02-04,Active,Non-Compliant
13,CTR-2026-00013,16,Supplier Agreement 0013,805080,2025-01-19,2025-08-13,Active,Compliant
14,CTR-2026-00014,49,Supplier Agreement 0014,233286,2024-02-20,2025-11-18,Active,Compliant
15,CTR-2026-00015,99,Supplier Agreement 0015,208602,2025-01-24,2025-11-27,Active,Compliant
16,CTR-2026-00016,21,Supplier Agreement 0016,801619,2024-08-02,2025-06-01,Draft,Review Required
17,CTR-2026-00017,96,Supplier Agreement 0017,120201,2024-11-20,2026-07-18,Active,Review Required
18,CTR-2026-00018,62,Supplier Agreement 0018,504150,2024-09-18,2026-08-19,Active,Compliant
19,CTR-2026-00019,1,Supplier Agreement 0019,924146,2025-01-24,2026-09-26,Active,Compliant
20,CTR-2026-00020,46,Supplier Agreement 0020,480238,2025-01-04,2026-05-16,Expired,Review Required
21,CTR-2026-00021,30,Supplier Agreement 0021,41619,2024-03-27,2025-10-27,Expired,Review Required
22,CTR-2026-00022,94,Supplier Agreement 0022,286093,2024-11-27,2025-07-11,Active,Compliant
23,CTR-2026-00023,73,Supplier Agreement 0023,172031,2024-01-10,2024-11-16,Active,Non-Compliant
24,CTR-2026-00024,98,Supplier Agreement 0024,245018,2024-02-09,2024-10-08,Active,Review Required
25,CTR-2026-00025,48,Supplier Agreement 0025,208120,2025-02-28,2026-02-04,Active,Compliant
26,CTR-2026-00026,95,Supplier Agreement 0026,139705,2024-07-04,2026-01-08,Expired,Compliant
27,CTR-2026-00027,4,Supplier Agreement 0027,680687,2025-05-24,2026-06-16,Active,Review Required
28,CTR-2026-00028,34,Supplier Agreement 0028,372688,2024-11-24,2025-06-21,Expiring,Compliant
29,CTR-2026-00029,61,Supplier Agreement 0029,73758,2024-02-05,2024-12-28,Draft,Non-Compliant
30,CTR-2026-00030,98,Supplier Agreement 0030,40664,2025-06-21,2026-06-09,Active,Review Required
31,CTR-2026-00031,29,Supplier Agreement 0031,142871,2024-04-04,2025-12-04,Draft,Non-Compliant
32,CTR-2026-00032,60,Supplier Agreement 0032,923541,2025-03-01,2027-02-28,Active,Compliant
33,CTR-2026-00033,40,Supplier Agreement 0033,294338,2025-05-02,2027-02-21,Expired,Compliant
34,CTR-2026-00034,42,Supplier Agreement 0034,725901,2025-07-06,2027-01-11,Draft,Compliant
35,CTR-2026-00035,62,Supplier Agreement 0035,564737,2025-05-19,2026-06-03,Active,Compliant
36,CTR-2026-00036,19,Supplier Agreement 0036,777110,2024-08-18,2025-05-09,Expiring,Non-Compliant
37,CTR-2026-00037,37,Supplier Agreement 0037,218595,2024-04-17,2025-06-26,Active,Review Required
38,CTR-2026-00038,43,Supplier Agreement 0038,951503,2025-04-18,2027-03-31,Active,Review Required
39,CTR-2026-00039,98,Supplier Agreement 0039,718320,2024-05-14,2025-10-11,Active,Compliant
40,CTR-2026-00040,75,Supplier Agreement 0040,857773,2024-02-05,2025-09-01,Active,Compliant
41,CTR-2026-00041,24,Supplier Agreement 0041,900958,2024-01-15,2024-12-06,Active,Compliant
42,CTR-2026-00042,21,Supplier Agreement 0042,529130,2025-02-10,2026-07-05,Active,Non-Compliant
43,CTR-2026-00043,45,Supplier Agreement 0043,250272,2024-07-11,2026-02-26,Active,Non-Compliant
44,CTR-2026-00044,80,Supplier Agreement 0044,317872,2024-09-26,2026-06-18,Active,Review Required
45,CTR-2026-00045,44,Supplier Agreement 0045,939327,2024-07-09,2025-09-23,Active,Non-Compliant
46,CTR-2026-00046,99,Supplier Agreement 0046,725462,2025-07-16,2027-04-24,Expiring,Review Required
47,CTR-2026-00047,98,Supplier Agreement 0047,408172,2025-06-15,2026-09-07,Active,Non-Compliant
48,CTR-2026-00048,83,Supplier Agreement 0048,504653,2024-01-27,2024-12-01,Active,Compliant
49,CTR-2026-00049,16,Supplier Agreement 0049,389510,2025-07-17,2026-11-11,Active,Review Required
50,CTR-2026-00050,58,Supplier Agreement 0050,554241,2025-03-22,2025-12-11,Draft,Compliant
51,CTR-2026-00051,51,Supplier Agreement 0051,738633,2025-06-07,2026-06-21,Active,Compliant
52,CTR-2026-00052,100,Supplier Agreement 0052,396129,2024-01-18,2025-02-04,Expiring,Compliant
53,CTR-2026-00053,73,Supplier Agreement 0053,584054,2025-06-27,2027-06-14,Active,Review Required
54,CTR-2026-00054,70,Supplier Agreement 0054,191461,2024-08-23,2026-08-16,Active,Compliant
55,CTR-2026-00055,88,Supplier Agreement 0055,812589,2024-06-18,2025-08-03,Expired,Compliant
56,CTR-2026-00056,70,Supplier Agreement 0056,445345,2025-03-10,2026-04-01,Active,Review Required
57,CTR-2026-00057,50,Supplier Agreement 0057,515737,2025-06-18,2027-02-19,Expired,Review Required
58,CTR-2026-00058,18,Supplier Agreement 0058,767749,2024-11-03,2025-05-02,Active,Review Required
59,CTR-2026-00059,27,Supplier Agreement 0059,455309,2025-08-31,2026-05-06,Active,Compliant
60,CTR-2026-00060,19,Supplier Agreement 0060,871188,2025-05-07,2026-04-16,Expiring,Compliant
61,CTR-2026-00061,51,Supplier Agreement 0061,227764,2024-06-12,2026-02-11,Active,Compliant
