id,invoiceNumber,vendorId,poNumber,amount,status,invoiceDate,dueDate,paymentDate
1,INV-2026-000001,15,PO-2026-000001,189674,Pending,2025-07-29,2025-10-18,
2,INV-2026-000002,69,PO-2026-000002,449229,Paid,2025-03-08,2025-06-03,2025-06-03
3,INV-2026-000003,19,PO-2026-000003,356406,Overdue,2024-02-27,2024-05-22,
4,INV-2026-000004,33,PO-2026-000004,445077,Paid,2024-03-04,2024-05-29,2024-05-28
5,INV-2026-000005,70,PO-2026-000005,193052,Paid,2026-04-13,2026-07-12,2026-07-03
6,INV-2026-000006,72,PO-2026-000006,129568,Paid,2025-06-07,2025-07-28,2025-07-16
7,INV-2026-000007,7,PO-2026-000007,205059,Paid,2025-01-31,2025-03-12,2025-03-08
8,INV-2026-000008,2,PO-2026-000008,136775,Paid,2024-07-26,2024-09-01,2024-08-28
9,INV-2026-000009,82,PO-2026-000009,377006,Paid,2025-10-25,2025-12-03,2025-11-20
10,INV-2026-000010,25,PO-2026-000010,240308,Pending,2024-06-30,2024-09-10,
11,INV-2026-000011,66,PO-2026-000011,202760,Paid,2024-02-11,2024-04-14,2024-04-07
12,INV-2026-000012,75,PO-2026-000012,138701,Paid,2024-01-06,2024-03-18,2024-03-03
13,INV-2026-000013,42,PO-2026-000013,31662,Overdue,2026-03-03,2026-04-22,
14,INV-2026-000014,74,PO-2026-000014,192739,Pending,2024-03-15,2024-05-14,
15,INV-2026-000015,9,PO-2026-000015,269839,Paid,2024-06-12,2024-07-28,2024-07-19
16,INV-2026-000016,28,PO-2026-000016,179002,Pending,2024-12-05,2025-01-26,
17,INV-2026-000017,68,PO-2026-000017,299301,Paid,2026-04-23,2026-07-17,2026-07-10
18,INV-2026-000018,83,PO-2026-000018,330651,Pending,2024-09-06,2024-11-22,
19,INV-2026-000019,33,PO-2026-000019,384571,Overdue,2024-10-16,2024-12-29,
20,INV-2026-000020,66,PO-2026-000020,260225,Paid,2024-02-14,2024-04-15,2024-04-14
21,INV-2026-000021,99,PO-2026-000021,284553,Paid,2024-01-08,2024-03-20,2024-03-14
22,INV-2026-000022,100,PO-2026-000022,364349,Paid,2025-03-10,2025-05-03,2025-04-27
23,INV-2026-000023,90,PO-2026-000023,393694,Paid,2026-03-04,2026-04-24,2026-04-18
24,INV-2026-000024,20,PO-2026-000024,245766,Pending,2026-01-04,2026-03-23,
25,INV-2026-000025,23,PO-2026-000025,137072,Paid,2025-07-25,2025-10-17,2025-10-07
26,INV-2026-000026,58,PO-2026-000026,217047,Pending,2025-03-19,2025-05-07,
27,INV-2026-000027,69,PO-2026-000027,341290,Pending,2026-01-07,2026-03-19,
28,INV-2026-000028,10,PO-2026-000028,268631,Paid,2024-04-18,2024-06-19,2024-06-16
29,INV-2026-000029,37,PO-2026-000029,234468,Overdue,2025-01-25,2025-03-10,
30,INV-2026-000030,69,PO-2026-000030,76503,Overdue,2026-02-03,2026-03-29,
31,INV-2026-000031,39,PO-2026-000031,421817,Overdue,2026-06-06,2026-08-30,
32,INV-2026-000032,72,PO-2026-000032,69610,Pending,2024-02-12,2024-03-25,
33,INV-2026-000033,96,PO-2026-000033,385600,Pending,2024-12-18,2025-01-29,
34,INV-2026-000034,29,PO-2026-000034,442648,Paid,2024-09-15,2024-11-11,2024-11-06
35,INV-2026-000035,73,PO-2026-000035,33515,Pending,2026-05-21,2026-08-19,
36,INV-2026-000036,9,PO-2026-000036,56486,Overdue,2024-07-21,2024-09-30,
37,INV-2026-000037,86,PO-2026-000037,127962,Paid,2024-04-12,2024-06-10,2024-06-07
38,INV-2026-000038,58,PO-2026-000038,328140,Pending,2025-11-06,2025-12-21,
39,INV-2026-000039,55,PO-2026-000039,7533,Paid,2024-11-16,2025-01-14,2025-01-09
40,INV-2026-000040,83,PO-2026-000040,150059,Paid,2026-05-10,2026-07-09,2026-06-25
41,INV-2026-000041,58,PO-2026-000041,411201,Paid,2024-11-08,2024-12-15,2024-12-13
42,INV-2026-000042,18,PO-2026-000042,287390,Paid,2024-07-20,2024-09-01,2024-08-28
43,INV-2026-000043,3,PO-2026-000043,270907,Paid,2025-10-08,2025-12-04,2025-11-24
44,INV-2026-000044,28,PO-2026-000044,24218,Paid,2025-07-18,2025-09-03,2025-08-23
45,INV-2026-000045,20,PO-2026-000045,210782,Paid,2024-08-16,2024-10-26,2024-10-14
46,INV-2026-000046,65,PO-2026-000046,52476,Pending,2025-02-10,2025-04-08,
47,INV-2026-000047,22,PO-2026-000047,274555,Paid,2024-05-23,2024-07-04,2024-06-22
48,INV-2026-000048,73,PO-2026-000048,81650,Paid,2026-01-23,2026-03-11,2026-02-24
49,INV-2026-000049,98,PO-2026-000049,126503,Paid,2024-03-05,2024-04-10,2024-04-09
50,INV-2026-000050,27,PO-2026-000050,419953,Pending,2025-01-04,2025-02-10,
51,INV-2026-000051,84,PO-2026-000051,59119,Paid,2025-12-21,2026-01-23,2026-01-22
52,INV-2026-000052,73,PO-2026-000052,202478,Paid,2025-10-31,2025-12-15,2025-12-13
53,INV-2026-000053,49,PO-2026-000053,121863,Paid,2025-06-12,2025-07-29,2025-07-22
54,INV-2026-000054,62,PO-2026-000054,321780,Overdue,2024-01-07,2024-03-21,
55,INV-2026-000055,10,PO-2026-000055,342367,Pending,2024-10-14,2024-12-08,
56,INV-2026-000056,78,PO-2026-000056,433319,Paid,2024-05-01,2024-06-14,2024-06-06
57,INV-2026-000057,15,PO-2026-000057,359014,Paid,2025-05-05,2025-06-14,2025-06-08
58,INV-2026-000058,53,PO-2026-000058,132753,Paid,2024-02-14,2024-04-02,2024-03-24
59,INV-2026-000059,6,PO-2026-000059,305033,Pending,2024-05-30,2024-07-05,
60,INV-2026-000060,52,PO-2026-000060,300491,Paid,2025-10-14,2026-01-10,2025-12-26
61,INV-2026-000061,58,PO-2026-000061,252156,Pending,2026-06-07,2026-08-30,
62,INV-2026-000062,19,PO-2026-000062,310474,Overdue,2026-04-20,2026-06-04,
63,INV-2026-000063,88,PO-2026-000063,242748,Paid,2025-09-02,2025-11-14,2025-11-12
64,INV-2026-000064,17,PO-2026-000064,13683,Paid,2024-07-26,2024-09-15,2024-09-01
65,INV-2026-000065,13,PO-2026-000065,254492,Paid,2026-07-12,2026-08-11,2026-07-27
66,INV-2026-000066,85,PO-2026-000066,321394,Paid,2025-07-06,2025-08-06,2025-08-01
67,INV-2026-000067,48,PO-2026-000067,27774,Overdue,2025-12-15,2026-03-11,
68,INV-2026-000068,99,PO-2026-000068,188772,Paid,2025-08-26,2025-11-07,2025-11-07
69,INV-2026-000069,33,PO-2026-000069,406530,Paid,2024-08-26,2024-10-25,2024-10-25
70,INV-2026-000070,1,PO-2026-000070,394884,Paid,2026-03-19,2026-05-03,2026-04-18
71,INV-2026-000071,27,PO-2026-000071,426678,Paid,2024-11-19,2025-02-09,2025-02-09
72,INV-2026-000072,84,PO-2026-000072,137976,Paid,2024-09-24,2024-11-11,2024-11-04
73,INV-2026-000073,88,PO-2026-000073,400822,Paid,2024-07-27,2024-09-05,2024-09-01
74,INV-2026-000074,72,PO-2026-000074,258629,Pending,2024-09-16,2024-10-22,
75,INV-2026-000075,85,PO-2026-000075,397070,Paid,2024-08-23,2024-11-08,2024-10-29
76,INV-2026-000076,66,PO-2026-000076,417132,Paid,2024-12-12,2025-02-27,2025-02-16
77,INV-2026-000077,82,PO-2026-000077,426721,Overdue,2024-04-03,2024-05-19,
78,INV-2026-000078,12,PO-2026-000078,142935,Pending,2024-08-15,2024-09-30,
79,INV-2026-000079,52,PO-2026-000079,349024,Paid,2025-06-17,2025-07-17,2025-07-06
80,INV-2026-000080,23,PO-2026-000080,264191,Paid,2025-03-25,2025-05-15,2025-04-30
81,INV-2026-000081,77,PO-2026-000081,275434,Paid,2025-12-16,2026-02-27,2026-02-27
82,INV-2026-000082,84,PO-2026-000082,87546,Paid,2024-03-29,2024-05-24,2024-05-17
83,INV-2026-000083,51,PO-2026-000083,312274,Pending,2024-07-24,2024-09-01,
84,INV-2026-000084,37,PO-2026-000084,440035,Paid,2025-07-26,2025-08-26,2025-08-19
85,INV-2026-000085,78,PO-2026-000085,106987,Paid,2025-04-10,2025-06-23,2025-06-10
86,INV-2026-000086,14,PO-2026-000086,42951,Paid,2025-05-30,2025-08-15,2025-08-13
87,INV-2026-000087,33,PO-2026-000087,287016,Paid,2026-04-12,2026-06-05,2026-06-02
88,INV-2026-000088,62,PO-2026-000088,132545,Overdue,2026-02-14,2026-05-11,
89,INV-2026-000089,76,PO-2026-000089,19339,Pending,2025-05-08,2025-07-11,
90,INV-2026-000090,29,PO-2026-000090,372618,Overdue,2024-08-23,2024-10-20,
91,INV-2026-000091,69,PO-2026-000091,372430,Overdue,2026-05-02,2026-07-27,
92,INV-2026-000092,87,PO-2026-000092,435479,Paid,2024-12-16,2025-01-31,2025-01-20
93,INV-2026-000093,28,PO-2026-000093,305790,Overdue,2024-10-02,2024-11-26,
94,INV-2026-000094,26,PO-2026-000094,390576,Paid,2024-09-04,2024-12-03,2024-11-25
95,INV-2026-000095,32,PO-2026-000095,329322,Paid,2024-12-30,2025-01-31,2025-01-21
96,INV-2026-000096,11,PO-2026-000096,352825,Pending,2025-05-19,2025-06-25,
97,INV-2026-000097,80,PO-2026-000097,263128,Paid,2026-07-08,2026-09-05,2026-08-25
98,INV-2026-000098,98,PO-2026-000098,272981,Paid,2024-10-13,2024-11-12,2024-10-28
99,INV-2026-000099,55,PO-2026-000099,288518,Overdue,2024-02-03,2024-03-13,
100,INV-2026-000100,23,PO-2026-000100,68107,Paid,2025-12-16,2026-01-24,2026-01-15
101,INV-2026-000101,2,PO-2026-000101,115494,Pending,2025-01-23,2025-04-05,
102,INV-2026-000102,34,PO-2026-000102,292605,Paid,2024-09-26,2024-11-26,2024-11-17
103,INV-2026-000103,47,PO-2026-000103,266499,Paid,2025-03-10,2025-04-27,2025-04-27
104,INV-2026-000104,52,PO-2026-000104,241311,Paid,2024-07-03,2024-08-15,2024-08-06
105,INV-2026-000105,35,PO-2026-000105,128629,Pending,2025-07-22,2025-08-28,
106,INV-2026-000106,95,PO-2026-000106,252981,Paid,2026-04-05,2026-05-24,2026-05-24
107,INV-2026-000107,81,PO-2026-000107,284960,Paid,2026-01-07,2026-03-20,2026-03-20
108,INV-2026-000108,72,PO-2026-000108,302708,Paid,2024-02-18,2024-03-27,2024-03-16
109,INV-2026-000109,33,PO-2026-000109,444862,Overdue,2025-10-06,2025-12-25,
110,INV-2026-000110,47,PO-2026-000110,297286,Overdue,2026-08-12,2026-10-23,
111,INV-2026-000111,16,PO-2026-000111,361298,Overdue,2025-09-12,2025-11-16,
112,INV-2026-000112,46,PO-2026-000112,357946,Paid,2025-06-06,2025-07-11,2025-07-03
113,INV-2026-000113,79,PO-2026-000113,248139,Paid,2025-10-08,2025-12-23,2025-12-17
114,INV-2026-000114,44,PO-2026-000114,335969,Paid,2025-09-19,2025-12-16,2025-12-14
115,INV-2026-000115,44,PO-2026-000115,169354,Paid,2024-11-20,2024-12-22,2024-12-07
116,INV-2026-000116,51,PO-2026-000116,238254,Overdue,2026-03-10,2026-04-24,
117,INV-2026-000117,24,PO-2026-000117,17111,Pending,2024-05-08,2024-07-17,
118,INV-2026-000118,96,PO-2026-000118,115400,Paid,2024-06-19,2024-08-13,2024-08-10
119,INV-2026-000119,61,PO-2026-000119,33220,Overdue,2024-01-27,2024-04-24,
120,INV-2026-000120,80,PO-2026-000120,49203,Paid,2025-11-01,2025-12-20,2025-12-15
121,INV-2026-000121,37,PO-2026-000121,333456,Paid,2024-05-09,2024-07-21,2024-07-11
122,INV-2026-000122,46,PO-2026-000122,175499,Pending,2026-06-03,2026-07-11,
123,INV-2026-000123,18,PO-2026-000123,370755,Pending,2025-07-06,2025-08-17,
124,INV-2026-000124,82,PO-2026-000124,167351,Paid,2026-07-19,2026-09-13,2026-09-07
125,INV-2026-000125,40,PO-2026-000125,221113,Paid,2024-09-23,2024-10-28,2024-10-19
126,INV-2026-000126,98,PO-2026-000126,76460,Paid,2024-12-18,2025-02-26,2025-02-12
127,INV-2026-000127,63,PO-2026-000127,401085,Paid,2025-05-03,2025-06-26,2025-06-13
128,INV-2026-000128,30,PO-2026-000128,8784,Paid,2025-07-15,2025-09-16,2025-09-02
129,INV-2026-000129,51,PO-2026-000129,90600,Pending,2026-01-02,2026-03-05,
130,INV-2026-000130,11,PO-2026-000130,332849,Overdue,2024-09-02,2024-11-16,
131,INV-2026-000131,96,PO-2026-000131,429048,Paid,2024-10-02,2024-11-23,2024-11-10
132,INV-2026-000132,38,PO-2026-000132,338915,Paid,2025-04-11,2025-06-06,2025-05-23
133,INV-2026-000133,63,PO-2026-000133,173109,Paid,2024-01-20,2024-03-25,2024-03-25
134,INV-2026-000134,37,PO-2026-000134,70556,Overdue,2026-01-02,2026-02-27,
135,INV-2026-000135,64,PO-2026-000135,184260,Paid,2025-03-06,2025-04-13,2025-04-04
136,INV-2026-000136,90,PO-2026-000136,21639,Pending,2024-12-04,2025-02-09,
137,INV-2026-000137,100,PO-2026-000137,42426,Paid,2025-07-10,2025-08-17,2025-08-08
138,INV-2026-000138,49,PO-2026-000138,11614,Paid,2024-05-04,2024-07-27,2024-07-15
139,INV-2026-000139,5,PO-2026-000139,246610,Paid,2026-01-22,2026-04-04,2026-04-04
140,INV-2026-000140,88,PO-2026-000140,168635,Paid,2026-08-16,2026-11-02,2026-10-19
141,INV-2026-000141,71,PO-2026-000141,69037,Pending,2024-09-16,2024-10-21,
142,INV-2026-000142,86,PO-2026-000142,64207,Paid,2024-08-29,2024-11-20,2024-11-17
143,INV-2026-000143,36,PO-2026-000143,67730,Paid,2025-02-09,2025-03-17,2025-03-08
144,INV-2026-000144,89,PO-2026-000144,365923,Paid,2025-09-02,2025-11-15,2025-11-05
145,INV-2026-000145,64,PO-2026-000145,364632,Overdue,2025-09-25,2025-11-01,
146,INV-2026-000146,83,PO-2026-000146,372697,Pending,2025-07-03,2025-09-14,
147,INV-2026-000147,41,PO-2026-000147,418433,Paid,2025-10-22,2026-01-05,2026-01-04
148,INV-2026-000148,3,PO-2026-000148,203059,Pending,2025-01-01,2025-03-05,
