id,fromUserId,toUserId,subject,message,date,read
1,1,3,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2026-08-30,false
2,4,2,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2025-01-21,true
3,5,5,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2025-08-17,true
4,5,5,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2025-03-25,false
5,4,6,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-02-02,false
6,3,2,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-10-23,false
7,5,4,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2025-06-02,false
8,6,3,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-04-29,true
9,1,6,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-09-25,false
10,6,5,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-03-07,false
11,2,5,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2024-07-04,false
12,4,3,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-05-03,false
13,3,2,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-10-17,true
14,1,2,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-06-03,false
15,5,4,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-01-13,false
16,1,5,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2026-08-08,false
17,3,3,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-08-29,true
18,2,6,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-04-13,true
19,6,1,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2024-11-27,true
20,3,3,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2026-01-27,true
21,4,2,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-11-25,false
22,3,1,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2026-01-16,true
23,5,2,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-11-06,true
24,3,4,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-05-30,false
25,1,2,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-09-16,true
26,2,1,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-12-10,true
27,2,3,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2026-06-16,false
28,5,4,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2026-08-13,true
29,5,4,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2025-05-30,true
30,6,6,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2025-08-31,false
31,1,5,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-07-27,false
32,6,3,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-05-31,true
33,6,4,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-04-21,false
34,2,1,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-04-11,true
35,5,6,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2026-06-07,false
36,4,4,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-08-05,false
37,6,5,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-05-30,false
38,3,1,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-12-03,false
39,3,3,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-03-30,true
40,5,4,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-08-25,true
41,6,1,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-08-09,false
42,5,2,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2025-12-07,true
