id,vendorId,date,onTimeDeliveryPercent,qualityRating,responseTimeHours,issueResolutionDays,defectRatePercent,orderCompletionPercent
1,92,2024-01-17,95,4.87,11,6,9.08,91
2,80,2025-06-09,82,3.54,22,6,12.78,72
3,36,2024-02-23,78,4.76,4,8,4.85,70
4,84,2024-02-11,60,4.25,34,8,14.94,81
5,35,2024-02-02,92,4.99,59,11,1.3,95
6,17,2025-01-24,84,2.53,3,5,5.77,90
7,50,2026-04-02,47,4.24,35,12,5.69,83
8,66,2026-08-23,99,4.98,55,7,10.64,68
9,45,2026-07-24,91,3.15,25,8,4.3,65
10,58,2024-01-24,87,2.71,41,14,7.68,67
11,17,2024-06-06,96,4.41,32,2,2.74,64
12,74,2026-01-24,96,3.09,12,14,1.22,60
13,44,2025-09-19,84,2.68,59,11,13.11,66
14,16,2024-07-09,48,4.26,26,15,11.22,65
15,12,2024-08-03,90,4.88,1,7,11.89,74
16,7,2026-04-17,90,2.7,42,11,7.99,90
17,26,2026-06-04,90,4.97,24,8,4.39,97
18,8,2024-09-26,73,2.96,1,2,2.72,72
19,19,2024-07-11,79,3.94,25,12,1.95,64
20,24,2024-10-30,99,3.3,30,3,5.98,97
21,77,2026-01-23,71,3.77,37,4,6.46,82
22,31,2024-03-04,78,2.52,33,5,11.34,64
23,9,2024-03-22,76,3.36,8,10,11.36,87
24,87,2024-11-22,93,4.75,58,1,14.66,65
25,76,2025-08-05,94,4.79,47,12,10.25,64
26,34,2025-01-14,91,4.6,58,6,11.16,90
27,64,2024-08-21,64,4.41,41,9,14.99,72
28,76,2024-11-28,55,2.61,46,7,7.03,89
29,52,2025-03-05,74,4.67,60,8,2.38,84
30,4,2025-01-09,53,4.47,49,14,9.52,85
31,2,2024-08-10,72,4.48,23,3,8.93,71
32,13,2025-05-24,46,3.48,20,5,5.13,61
33,51,2025-09-13,55,3.26,71,5,3.49,91
34,93,2024-12-27,76,3.58,21,8,14.54,63
35,14,2025-06-15,49,4.88,62,10,4.41,75
36,64,2024-06-11,96,3.04,63,1,14.36,100
37,44,2025-06-26,85,3.28,55,10,1.92,68
38,37,2024-03-05,66,4.31,17,6,8.52,90
39,3,2026-07-20,73,3.43,32,4,14.17,74
40,41,2025-08-14,85,4.79,61,13,4.28,81
41,43,2026-07-22,89,2.99,17,6,11.75,96
42,30,2025-07-30,90,3.98,31,14,12.31,91
43,61,2024-11-25,46,3.28,13,7,11.28,99
44,11,2026-03-21,78,3.73,35,2,6.8,72
45,99,2024-09-09,62,4.28,47,14,11.69,90
46,29,2024-05-29,85,2.51,46,14,9.35,95
47,35,2026-04-23,65,3.71,41,10,13.26,72
48,83,2025-06-20,57,4.89,16,5,11.03,72
