id,poNumber,vendorId,requestId,amount,status,category,itemName,quantity,orderDate,expectedDeliveryDate,actualDeliveryDate
1,PO-2026-000001,15,390,189674,Delivered,Industrial Equipment,Supply Item 173,1541,2025-07-29,2025-09-04,2025-09-05
2,PO-2026-000002,69,147,449229,Draft,Electronics,Supply Item 7,790,2025-03-08,2025-05-05,
3,PO-2026-000003,19,28,356406,Approved,Logistics,Supply Item 74,1409,2024-02-27,2024-03-17,
4,PO-2026-000004,33,75,445077,Cancelled,IT Services,Supply Item 53,1553,2024-03-04,2024-04-24,
5,PO-2026-000005,70,17,193052,Draft,Packaging,Supply Item 191,1335,2026-04-13,2026-05-18,
6,PO-2026-000006,72,200,129568,Cancelled,IT Services,Supply Item 178,1370,2025-06-07,2025-08-03,
7,PO-2026-000007,7,475,205059,Cancelled,Office Supplies,Supply Item 142,120,2025-01-31,2025-03-05,
8,PO-2026-000008,2,381,136775,Cancelled,Maintenance Services,Supply Item 58,1876,2024-07-26,2024-09-10,
9,PO-2026-000009,82,361,377006,Cancelled,Packaging,Supply Item 199,1494,2025-10-25,2025-11-24,
10,PO-2026-000010,25,151,240308,Draft,Logistics,Supply Item 45,1515,2024-06-30,2024-08-19,
11,PO-2026-000011,66,62,202760,Approved,IT Services,Supply Item 34,339,2024-02-11,2024-03-16,
12,PO-2026-000012,75,434,138701,Ordered,Logistics,Supply Item 11,324,2024-01-06,2024-02-03,
13,PO-2026-000013,42,306,31662,Delivered,IT Services,Supply Item 126,1627,2026-03-03,2026-04-19,2026-04-26
14,PO-2026-000014,74,282,192739,Completed,Packaging,Supply Item 48,1076,2024-03-15,2024-05-11,2024-05-11
15,PO-2026-000015,9,403,269839,Delivered,Electronics,Supply Item 90,463,2024-06-12,2024-07-15,2024-07-15
16,PO-2026-000016,28,340,179002,Approved,Packaging,Supply Item 193,1276,2024-12-05,2025-01-04,
17,PO-2026-000017,68,244,299301,Completed,Office Supplies,Supply Item 115,502,2026-04-23,2026-06-17,2026-06-17
18,PO-2026-000018,83,315,330651,Completed,Industrial Equipment,Supply Item 30,800,2024-09-06,2024-09-15,2024-09-22
19,PO-2026-000019,33,277,384571,Delivered,Office Supplies,Supply Item 132,1654,2024-10-16,2024-10-24,2024-10-31
20,PO-2026-000020,66,229,260225,Completed,Electronics,Supply Item 25,352,2024-02-14,2024-03-10,2024-03-10
21,PO-2026-000021,99,276,284553,Draft,Packaging,Supply Item 172,1299,2024-01-08,2024-02-24,
22,PO-2026-000022,100,110,364349,Draft,Packaging,Supply Item 138,1707,2025-03-10,2025-05-09,
23,PO-2026-000023,90,450,393694,Completed,Electronics,Supply Item 192,1415,2026-03-04,2026-04-07,2026-04-10
24,PO-2026-000024,20,13,245766,Draft,Electronics,Supply Item 19,121,2026-01-04,2026-02-01,
25,PO-2026-000025,23,407,137072,Delivered,IT Services,Supply Item 105,804,2025-07-25,2025-08-05,2025-08-12
26,PO-2026-000026,58,323,217047,Draft,Industrial Equipment,Supply Item 173,252,2025-03-19,2025-04-15,
27,PO-2026-000027,69,4,341290,Draft,Raw Materials,Supply Item 180,1747,2026-01-07,2026-02-22,
28,PO-2026-000028,10,184,268631,Cancelled,IT Services,Supply Item 156,187,2024-04-18,2024-05-13,
29,PO-2026-000029,37,392,234468,Cancelled,Raw Materials,Supply Item 122,330,2025-01-25,2025-02-26,
30,PO-2026-000030,69,113,76503,Cancelled,IT Services,Supply Item 163,305,2026-02-03,2026-03-07,
31,PO-2026-000031,39,347,421817,Completed,Raw Materials,Supply Item 142,1801,2026-06-06,2026-07-29,2026-07-29
32,PO-2026-000032,72,73,69610,Delivered,Electronics,Supply Item 79,440,2024-02-12,2024-02-19,2024-02-20
33,PO-2026-000033,96,380,385600,Ordered,Logistics,Supply Item 42,386,2024-12-18,2025-01-07,
34,PO-2026-000034,29,316,442648,Draft,Logistics,Supply Item 172,1647,2024-09-15,2024-10-04,
35,PO-2026-000035,73,437,33515,Delivered,Electronics,Supply Item 75,1385,2026-05-21,2026-07-15,2026-07-15
36,PO-2026-000036,9,129,56486,Delivered,Office Supplies,Supply Item 92,272,2024-07-21,2024-09-12,2024-09-12
37,PO-2026-000037,86,336,127962,Delivered,Packaging,Supply Item 82,1005,2024-04-12,2024-05-07,2024-05-07
38,PO-2026-000038,58,169,328140,Completed,Office Supplies,Supply Item 81,1973,2025-11-06,2025-12-02,2025-12-03
39,PO-2026-000039,55,87,7533,Cancelled,Packaging,Supply Item 183,1525,2024-11-16,2024-12-08,
40,PO-2026-000040,83,224,150059,Pending Approval,Office Supplies,Supply Item 123,957,2026-05-10,2026-06-09,
41,PO-2026-000041,58,184,411201,Delivered,Electronics,Supply Item 72,1768,2024-11-08,2024-12-16,2024-12-16
42,PO-2026-000042,18,457,287390,Completed,Electronics,Supply Item 187,164,2024-07-20,2024-08-12,2024-08-19
43,PO-2026-000043,3,435,270907,Cancelled,Industrial Equipment,Supply Item 197,1218,2025-10-08,2025-10-16,
44,PO-2026-000044,28,465,24218,Delivered,Maintenance Services,Supply Item 168,1597,2025-07-18,2025-08-10,2025-08-17
45,PO-2026-000045,20,188,210782,Delivered,IT Services,Supply Item 35,961,2024-08-16,2024-10-11,2024-10-14
46,PO-2026-000046,65,262,52476,Delivered,Packaging,Supply Item 158,1411,2025-02-10,2025-03-12,2025-03-12
47,PO-2026-000047,22,388,274555,Pending Approval,Logistics,Supply Item 145,1952,2024-05-23,2024-06-27,
48,PO-2026-000048,73,338,81650,Ordered,Office Supplies,Supply Item 11,458,2026-01-23,2026-03-17,
49,PO-2026-000049,98,250,126503,Approved,Packaging,Supply Item 11,1379,2024-03-05,2024-03-28,
50,PO-2026-000050,27,266,419953,Ordered,Maintenance Services,Supply Item 12,91,2025-01-04,2025-02-04,
51,PO-2026-000051,84,166,59119,Completed,IT Services,Supply Item 149,1124,2025-12-21,2026-01-30,2026-02-06
52,PO-2026-000052,73,90,202478,Approved,Electronics,Supply Item 133,525,2025-10-31,2025-12-01,
53,PO-2026-000053,49,499,121863,Approved,Office Supplies,Supply Item 125,1633,2025-06-12,2025-07-14,
54,PO-2026-000054,62,455,321780,Pending Approval,Maintenance Services,Supply Item 43,481,2024-01-07,2024-02-15,
55,PO-2026-000055,10,264,342367,Pending Approval,Logistics,Supply Item 41,751,2024-10-14,2024-11-03,
56,PO-2026-000056,78,368,433319,Pending Approval,Industrial Equipment,Supply Item 85,1485,2024-05-01,2024-06-19,
57,PO-2026-000057,15,247,359014,Pending Approval,Logistics,Supply Item 166,1716,2025-05-05,2025-06-11,
58,PO-2026-000058,53,12,132753,Delivered,Logistics,Supply Item 162,1059,2024-02-14,2024-02-29,2024-03-01
59,PO-2026-000059,6,457,305033,Pending Approval,IT Services,Supply Item 47,1068,2024-05-30,2024-06-09,
60,PO-2026-000060,52,307,300491,Completed,IT Services,Supply Item 22,453,2025-10-14,2025-10-22,2025-10-25
61,PO-2026-000061,58,311,252156,Pending Approval,Packaging,Supply Item 106,1240,2026-06-07,2026-07-14,
62,PO-2026-000062,19,407,310474,Pending Approval,IT Services,Supply Item 43,1493,2026-04-20,2026-06-15,
63,PO-2026-000063,88,176,242748,Draft,Packaging,Supply Item 97,799,2025-09-02,2025-10-16,
64,PO-2026-000064,17,56,13683,Cancelled,Industrial Equipment,Supply Item 39,1250,2024-07-26,2024-09-04,
65,PO-2026-000065,13,91,254492,Delivered,Electronics,Supply Item 24,997,2026-07-12,2026-08-27,2026-08-27
66,PO-2026-000066,85,67,321394,Draft,Industrial Equipment,Supply Item 134,871,2025-07-06,2025-09-03,
67,PO-2026-000067,48,448,27774,Ordered,Packaging,Supply Item 124,1627,2025-12-15,2026-01-24,
68,PO-2026-000068,99,196,188772,Completed,Electronics,Supply Item 109,284,2025-08-26,2025-10-23,2025-10-30
69,PO-2026-000069,33,245,406530,Approved,Industrial Equipment,Supply Item 66,397,2024-08-26,2024-09-07,
70,PO-2026-000070,1,364,394884,Delivered,Raw Materials,Supply Item 97,1350,2026-03-19,2026-03-26,2026-03-26
71,PO-2026-000071,27,353,426678,Approved,Electronics,Supply Item 40,882,2024-11-19,2024-12-22,
