id,vendorId,date,reliabilityScore,riskLevel,deliveryScore,qualityScore,communicationScore,complianceScore
1,2,2025-05-19,67.93,High,52.68,88.05,91.25,91.92
2,41,2024-09-06,66.54,High,45.68,64.48,89.75,50.09
3,60,2025-01-10,97.0,Low,89.97,66.92,50.68,92.0
4,54,2025-09-03,50.48,High,58.31,64.63,69.28,73.63
5,10,2026-05-09,49.7,Critical,93.5,71.53,81.38,75.4
6,75,2024-02-24,92.01,Low,63.52,98.68,50.0,42.84
7,98,2026-04-23,55.98,High,40.78,44.61,99.47,60.88
8,88,2024-04-27,81.87,Medium,63.34,88.15,81.46,65.3
9,16,2024-09-04,87.52,Low,44.61,76.84,71.61,56.07
10,5,2024-02-16,84.98,Medium,58.63,76.12,43.38,68.57
11,21,2026-02-06,76.87,Medium,57.75,70.95,59.97,53.49
12,89,2026-04-20,67.32,High,92.05,80.8,95.02,72.89
13,16,2026-05-21,53.12,High,56.71,83.95,76.23,49.25
14,42,2026-07-02,86.19,Low,60.52,66.28,56.34,90.02
15,90,2024-11-26,84.21,Medium,73.46,92.69,77.76,90.58
16,33,2026-06-07,89.1,Low,65.26,50.77,96.1,89.13
17,24,2025-02-19,82.45,Medium,88.67,47.29,72.52,54.0
18,77,2024-09-21,58.84,High,45.86,52.47,86.35,55.1
19,30,2025-02-02,49.97,Critical,53.06,43.16,54.54,93.69
20,61,2025-06-17,76.68,Medium,79.69,60.26,97.48,42.77
21,76,2025-11-08,67.72,High,58.35,92.92,74.76,67.89
22,81,2026-01-16,59.71,High,41.93,99.12,76.68,91.97
23,90,2025-05-10,50.7,High,78.16,93.52,59.72,96.74
24,12,2025-06-04,67.18,High,43.86,92.64,52.95,77.3
25,25,2025-04-08,94.52,Low,41.73,81.54,47.26,79.41
26,91,2024-01-12,60.57,High,82.38,50.82,47.96,50.3
27,22,2026-08-25,83.95,Medium,56.22,81.3,71.51,87.51
28,93,2026-04-08,57.17,High,43.68,80.42,54.74,84.01
29,56,2026-07-12,61.57,High,40.86,93.49,45.99,87.45
30,38,2024-10-30,59.23,High,85.65,73.16,91.18,49.32
31,86,2025-12-10,46.63,Critical,56.77,88.51,85.24,40.44
32,77,2025-02-25,61.31,High,61.06,93.67,45.45,80.1
33,66,2024-03-07,67.57,High,98.79,64.99,56.44,76.76
34,74,2024-11-12,60.11,High,69.7,51.54,72.35,82.4
35,25,2024-11-23,69.78,High,58.66,78.18,58.0,59.49
36,12,2025-09-30,81.27,Medium,43.35,94.56,50.75,91.6
37,86,2026-03-09,92.8,Low,44.24,78.58,59.1,59.17
38,35,2025-08-14,54.61,High,75.62,50.53,78.05,50.47
39,62,2025-01-25,65.26,High,65.97,79.84,99.94,76.0
40,100,2024-12-21,53.9,High,54.02,72.24,45.6,55.0
41,9,2025-07-08,78.13,Medium,86.95,51.51,80.61,90.15
42,30,2024-11-08,86.52,Low,47.61,79.22,91.52,57.64
43,49,2024-06-30,67.51,High,70.74,51.27,64.61,52.09
44,39,2025-07-05,80.75,Medium,76.27,97.14,55.44,68.36
45,14,2026-01-25,94.77,Low,71.61,66.17,76.74,83.9
46,65,2026-04-07,68.04,High,61.72,57.28,57.06,83.65
47,23,2025-09-27,65.34,High,96.68,73.27,60.61,66.99
48,27,2026-05-02,63.02,High,41.3,91.72,49.79,85.55
49,72,2026-08-16,78.58,Medium,71.38,77.29,62.39,56.32
50,62,2026-06-05,89.71,Low,40.5,74.16,88.4,76.3
51,55,2024-08-02,60.02,High,59.36,45.77,91.71,64.29
52,6,2024-05-07,58.71,High,88.15,71.38,40.27,85.72
53,76,2024-05-19,63.03,High,73.03,96.97,52.74,56.49
54,37,2025-09-17,84.2,Medium,78.7,80.02,70.98,66.02
55,58,2025-09-17,76.22,Medium,74.76,67.42,64.51,46.39
56,90,2025-10-19,90.23,Low,41.33,91.8,91.31,75.05
57,11,2025-09-28,89.85,Low,66.42,44.92,41.58,85.52
58,68,2026-08-31,58.82,High,82.95,96.72,46.16,63.53
59,46,2026-01-15,67.2,High,59.55,79.16,44.59,83.68
60,55,2025-12-03,95.02,Low,45.76,69.48,57.55,73.78
61,93,2024-07-28,81.2,Medium,57.05,52.45,97.93,76.64
62,82,2025-08-12,97.12,Low,71.03,41.12,98.58,95.58
63,42,2024-01-18,85.25,Low,78.74,86.89,64.51,82.44
64,30,2024-11-14,70.68,Medium,42.73,89.49,84.96,55.86
65,23,2025-03-21,87.16,Low,44.33,89.89,72.22,50.07
66,43,2024-05-07,87.48,Low,58.04,42.0,47.8,43.34
